gene	S1_A2	S2_A2
MvSl-1064-A2-R4_MC04-1g05964	3295	1727
MvSl-1064-A2-R4_MC04-1g05965	1115	707
MvSl-1064-A2-R4_MC04-1g05966	2296	1906
MvSl-1064-A2-R4_MC04-1g05967	1191	1571
MvSl-1064-A2-R4_MC04-1g05968	590	436
MvSl-1064-A2-R4_MC04-1g05969	2076	2368
MvSl-1064-A2-R4_MC04-1g05970	566	521
MvSl-1064-A2-R4_MC04-1g05971	1336	1212
MvSl-1064-A2-R4_MC04-1g05972	466	467
MvSl-1064-A2-R4_MC04-1g05973	1034	1365
MvSl-1064-A2-R4_MC04-1g05974	1923	1863
MvSl-1064-A2-R4_MC04-1g05975	2842	2252
MvSl-1064-A2-R4_MC04-1g05976	450	761
MvSl-1064-A2-R4_MC04-1g05977	3203	3247
MvSl-1064-A2-R4_MC04-1g05978	4131	3265
MvSl-1064-A2-R4_MC04-1g05979	255	234
MvSl-1064-A2-R4_MC04-1g05980	160	210
MvSl-1064-A2-R4_MC04-1g05981	1834	1609
MvSl-1064-A2-R4_MC04-1g05982	2	0
MvSl-1064-A2-R4_MC04-1g05983	3	2
MvSl-1064-A2-R4_MC04-1g05984	2307	2310
MvSl-1064-A2-R4_MC04-1g05985	787	593
MvSl-1064-A2-R4_MC04-1g05986	919	858
MvSl-1064-A2-R4_MC04-1g05987	1419	1259
MvSl-1064-A2-R4_MC04-1g05988	355	322
MvSl-1064-A2-R4_MC04-1g05989	1439	1320
MvSl-1064-A2-R4_MC04-1g05990	2	1
MvSl-1064-A2-R4_MC04-1g05991	2742	2435
MvSl-1064-A2-R4_MC04-1g05992	1745	1283
MvSl-1064-A2-R4_MC04-1g05993	1192	768
MvSl-1064-A2-R4_MC04-1g05994	4083	3454
MvSl-1064-A2-R4_MC04-1g05995	525	565
MvSl-1064-A2-R4_MC04-1g05996	46	40
MvSl-1064-A2-R4_MC04-1g05997	211	231
MvSl-1064-A2-R4_MC04-1g05998	2179	1631
MvSl-1064-A2-R4_MC04-1g05999	690	719
MvSl-1064-A2-R4_MC04-1g06000	1968	1972
MvSl-1064-A2-R4_MC04-1g06001	11	5
MvSl-1064-A2-R4_MC04-1g06002	2176	2372
MvSl-1064-A2-R4_MC04-1g06003	1915	1659
MvSl-1064-A2-R4_MC04-1g06004	4060	4142
MvSl-1064-A2-R4_MC04-1g06005	963	1174
MvSl-1064-A2-R4_MC04-1g06006	887	790
MvSl-1064-A2-R4_MC04-1g06007	7618	7669
MvSl-1064-A2-R4_MC04-1g06008	989	872
MvSl-1064-A2-R4_MC04-1g06009	1070	1083
MvSl-1064-A2-R4_MC04-1g06010	483	509
MvSl-1064-A2-R4_MC04-1g06011	3687	1996
MvSl-1064-A2-R4_MC04-1g06012	3782	3857
MvSl-1064-A2-R4_MC04-1g06013	6911	4434
MvSl-1064-A2-R4_MC04-1g06014	2274	1871
MvSl-1064-A2-R4_MC04-1g06015	2950	3122
MvSl-1064-A2-R4_MC04-1g06016	6041	6099
MvSl-1064-A2-R4_MC04-1g06017	2764	2449
MvSl-1064-A2-R4_MC04-1g06018	668.671	628.663
MvSl-1064-A2-R4_MC04-1g06019	272.424	374.035
MvSl-1064-A2-R4_MC04-1g06020	2277.01	2441.97
MvSl-1064-A2-R4_MC04-1g06021	1428	980
MvSl-1064-A2-R4_MC04-1g06022	940	810
MvSl-1064-A2-R4_MC04-1g06023	2104	1873
MvSl-1064-A2-R4_MC04-1g06024	4529	4895
MvSl-1064-A2-R4_MC04-1g06025	986	1037
MvSl-1064-A2-R4_MC04-1g06026	1999	2199
MvSl-1064-A2-R4_MC04-1g06027	2450	1951
MvSl-1064-A2-R4_MC04-1g06028	914	702
MvSl-1064-A2-R4_MC04-1g06029	0	0
MvSl-1064-A2-R4_MC04-1g06030	7329	6106
MvSl-1064-A2-R4_MC04-1g06031	444	253
MvSl-1064-A2-R4_MC04-1g06032	1535	727
MvSl-1064-A2-R4_MC04-1g06033	520	431
MvSl-1064-A2-R4_MC04-1g06034	1	1
MvSl-1064-A2-R4_MC04-1g06035	355	348
MvSl-1064-A2-R4_MC04-1g06036	2703	2508
MvSl-1064-A2-R4_MC04-1g06037	2461	2359
MvSl-1064-A2-R4_MC04-1g06038	6925	6074
MvSl-1064-A2-R4_MC04-1g06039	1451	1325
MvSl-1064-A2-R4_MC04-1g06040	125	70
MvSl-1064-A2-R4_MC04-1g06041	1	0
MvSl-1064-A2-R4_MC04-1g06042	0	1
MvSl-1064-A2-R4_MC04-1g06043	1700	1392
MvSl-1064-A2-R4_MC04-1g06044	5608	4421
MvSl-1064-A2-R4_MC04-1g06045	7139	6227
MvSl-1064-A2-R4_MC04-1g06046	3293	4057
MvSl-1064-A2-R4_MC04-1g06047	878	755
MvSl-1064-A2-R4_MC04-1g06048	607	651
MvSl-1064-A2-R4_MC04-1g06049	355	347
MvSl-1064-A2-R4_MC04-1g06050	2653	2392
MvSl-1064-A2-R4_MC04-1g06051	226	263
MvSl-1064-A2-R4_MC04-1g06052	939.827	739.469
MvSl-1064-A2-R4_MC04-1g06053	582.836	583.89
MvSl-1064-A2-R4_MC04-1g06054	664.084	671.644
MvSl-1064-A2-R4_MC04-1g06055	894.979	1356.71
MvSl-1064-A2-R4_MC04-1g06056	1554.5	1430.05
MvSl-1064-A2-R4_MC04-1g06057	1588	1485
MvSl-1064-A2-R4_MC04-1g06058	1736	1549
MvSl-1064-A2-R4_MC04-1g06059	1281	762
MvSl-1064-A2-R4_MC04-1g06060	1823	2077
MvSl-1064-A2-R4_MC04-1g06061	3832	3772
MvSl-1064-A2-R4_MC04-1g06062	705	624
MvSl-1064-A2-R4_MC04-1g06063	1002	1066
MvSl-1064-A2-R4_MC04-1g06064	1095	1026
MvSl-1064-A2-R4_MC04-1g06065	1450	1234
MvSl-1064-A2-R4_MC04-1g06066	5	2
MvSl-1064-A2-R4_MC04-1g06067	7638	3500
MvSl-1064-A2-R4_MC04-1g06068	725	657
MvSl-1064-A2-R4_MC04-1g06069	499	362
MvSl-1064-A2-R4_MC04-1g06070	503	514
MvSl-1064-A2-R4_MC04-1g06071	223	203
MvSl-1064-A2-R4_MC04-1g06072	1066	972
MvSl-1064-A2-R4_MC04-1g06073	480	448
MvSl-1064-A2-R4_MC04-1g06074	1133	1802
MvSl-1064-A2-R4_MC04-1g06075	61.836	69.2804
MvSl-1064-A2-R4_MC04-1g06076	42.9236	65.1819
MvSl-1064-A2-R4_MC04-1g06077	1584	1514
MvSl-1064-A2-R4_MC04-1g06078	3287	3286
MvSl-1064-A2-R4_MC04-1g06079	4.0277	6.05642
MvSl-1064-A2-R4_MC04-1g06080	440	346
MvSl-1064-A2-R4_MC04-1g06081	589	457
MvSl-1064-A2-R4_MC04-1g06082	1958	1964
MvSl-1064-A2-R4_MC04-1g06083	1195	1068
MvSl-1064-A2-R4_MC04-1g06084	616	515
MvSl-1064-A2-R4_MC04-1g06085	2246	1985
MvSl-1064-A2-R4_MC04-1g06086	16022	20234
MvSl-1064-A2-R4_MC04-1g06087	1444	1377
MvSl-1064-A2-R4_MC04-1g06088	489	409
MvSl-1064-A2-R4_MC04-1g06089	656	525
MvSl-1064-A2-R4_MC04-1g06090	771	488
MvSl-1064-A2-R4_MC04-1g06091	2429	1616
MvSl-1064-A2-R4_MC04-1g06092	1	0
MvSl-1064-A2-R4_MC04-1g06093	0	0
MvSl-1064-A2-R4_MC04-1g06094	15.0717	13.0624
MvSl-1064-A2-R4_MC04-1g06095	849	687
MvSl-1064-A2-R4_MC04-1g06096	1558	1174
MvSl-1064-A2-R4_MC04-1g06097	4702	3754
MvSl-1064-A2-R4_MC04-1g06098	237	229
MvSl-1064-A2-R4_MC04-1g06099	3203	3681
MvSl-1064-A2-R4_MC04-1g06100	570	568
MvSl-1064-A2-R4_MC04-1g06101	3470	2528
MvSl-1064-A2-R4_MC04-1g06102	242.527	283.875
MvSl-1064-A2-R4_MC04-1g06103	1258.38	1600.18
MvSl-1064-A2-R4_MC04-1g06104	3.25501	10.534
MvSl-1064-A2-R4_MC04-1g06105	174.914	303.213
MvSl-1064-A2-R4_MC04-1g06106	2912	3101
MvSl-1064-A2-R4_MC04-1g06107	455	688
MvSl-1064-A2-R4_MC04-1g06108	7.40345	13.5795
MvSl-1064-A2-R4_MC04-1g06109	3.68497	4.7409
MvSl-1064-A2-R4_MC04-1g06110	111.565	104.514
MvSl-1064-A2-R4_MC04-1g06111	2.14426	5.78436
MvSl-1064-A2-R4_MC04-1g06112	120.284	168.488
MvSl-1064-A2-R4_MC04-1g06113	23	23
MvSl-1064-A2-R4_MC04-1g06114	6594	7198
MvSl-1064-A2-R4_MC04-1g06115	828	585
MvSl-1064-A2-R4_MC04-1g06116	4517	3103
MvSl-1064-A2-R4_MC04-1g06117	1828	1824
MvSl-1064-A2-R4_MC04-1g06118	24	16
MvSl-1064-A2-R4_MC04-1g06119	80	39
MvSl-1064-A2-R4_MC04-1g06120	212	206
MvSl-1064-A2-R4_MC04-1g06121	139	183
MvSl-1064-A2-R4_MC04-1g06122	1540	1346
MvSl-1064-A2-R4_MC04-1g06123	464	360
MvSl-1064-A2-R4_MC04-1g06124	3817	3042
MvSl-1064-A2-R4_MC04-1g06125	1056	1045
MvSl-1064-A2-R4_MC04-1g06126	897	804
MvSl-1064-A2-R4_MC04-1g06127	674	583
MvSl-1064-A2-R4_MC04-1g06128	11	7
MvSl-1064-A2-R4_MC04-1g06129	1288	993
MvSl-1064-A2-R4_MC04-1g06130	2848	2890
MvSl-1064-A2-R4_MC04-1g06131	5544	4711
MvSl-1064-A2-R4_MC04-1g06132	1283	1175
MvSl-1064-A2-R4_MC04-1g06133	591	437
MvSl-1064-A2-R4_MC04-1g06134	528.154	540.054
MvSl-1064-A2-R4_MC04-1g06135	1617	1492
MvSl-1064-A2-R4_MC04-1g06136	75	115
MvSl-1064-A2-R4_MC04-1g06137	258	282
MvSl-1064-A2-R4_MC04-1g06138	138.962	211.984
MvSl-1064-A2-R4_MC04-1g06139	8.02491	9.0452
MvSl-1064-A2-R4_MC04-1g06140	6.72999	7.95102
MvSl-1064-A2-R4_MC04-1g06141	5114	7333
MvSl-1064-A2-R4_MC04-1g06142	3299	3712
MvSl-1064-A2-R4_MC04-1g06143	771	768
MvSl-1064-A2-R4_MC04-1g06144	678	486
MvSl-1064-A2-R4_MC04-1g06145	2785	2806
MvSl-1064-A2-R4_MC04-1g06146	3765	3670
MvSl-1064-A2-R4_MC04-1g06147	1389	4333
MvSl-1064-A2-R4_MC04-1g06148	1304	1263
MvSl-1064-A2-R4_MC04-1g06149	3486.54	3113.77
MvSl-1064-A2-R4_MC04-1g06150	4500	4895
MvSl-1064-A2-R4_MC04-1g06151	1449	1105
MvSl-1064-A2-R4_MC04-1g06152	5809	5809
MvSl-1064-A2-R4_MC04-1g06153	180	180
MvSl-1064-A2-R4_MC04-1g06154	3031	2771
MvSl-1064-A2-R4_MC04-1g06155	1692	1596
MvSl-1064-A2-R4_MC04-1g06156	4892	5035
MvSl-1064-A2-R4_MC04-1g06157	600	468
MvSl-1064-A2-R4_MC04-1g06158	541	541
MvSl-1064-A2-R4_MC04-1g06159	1668	1343
MvSl-1064-A2-R4_MC04-1g06160	3939	2912
MvSl-1064-A2-R4_MC04-1g06161	2534	1802
MvSl-1064-A2-R4_MC04-1g06162	1704	1117
MvSl-1064-A2-R4_MC04-1g06163	3432	3067
MvSl-1064-A2-R4_MC04-1g06164	614	518
MvSl-1064-A2-R4_MC04-1g06165	2717	2480
MvSl-1064-A2-R4_MC04-1g06166	564	840
MvSl-1064-A2-R4_MC04-1g06167	2671.33	2410.67
MvSl-1064-A2-R4_MC04-1g06168	1112.33	1481.33
MvSl-1064-A2-R4_MC04-1g06169	0	1.01041
MvSl-1064-A2-R4_MC04-1g06170	155.948	149.845
MvSl-1064-A2-R4_MC04-1g06171	1772.31	1429.12
MvSl-1064-A2-R4_MC04-1g06172	1.48584	1.91594
MvSl-1064-A2-R4_MC04-1g06173	2671.33	2410.67
MvSl-1064-A2-R4_MC04-1g06174	1112.33	1481.33
MvSl-1064-A2-R4_MC04-1g06175	0	1.01041
MvSl-1064-A2-R4_MC04-1g06176	155.948	149.845
MvSl-1064-A2-R4_MC04-1g06177	1772.31	1429.12
MvSl-1064-A2-R4_MC04-1g06178	1.48584	1.91594
MvSl-1064-A2-R4_MC04-1g06179	2671.33	2410.67
MvSl-1064-A2-R4_MC04-1g06180	39	26
MvSl-1064-A2-R4_MC04-1g06181	914	807
MvSl-1064-A2-R4_MC04-1g06182	456.134	483.553
MvSl-1064-A2-R4_MC04-1g06183	69.8294	70.1362
MvSl-1064-A2-R4_MC04-1g06184	1122.21	854.535
MvSl-1064-A2-R4_MC04-1g06185	926.284	1626.16
MvSl-1064-A2-R4_MC04-1g06186	4.74834	2.62911
MvSl-1064-A2-R4_MC04-1g06187	19.0734	31.491
MvSl-1064-A2-R4_MC04-1g06188	58.1326	43.0335
MvSl-1064-A2-R4_MC04-1g06189	1112.33	1481.33
MvSl-1064-A2-R4_MC04-1g06190	6050	5208
MvSl-1064-A2-R4_MC04-1g06191	1354	1394
MvSl-1064-A2-R4_MC04-1g06192	190	191
MvSl-1064-A2-R4_MC04-1g06193	427	432
MvSl-1064-A2-R4_MC04-1g06194	425	665
MvSl-1064-A2-R4_MC04-1g06195	713	733
MvSl-1064-A2-R4_MC04-1g06196	1419	1562
MvSl-1064-A2-R4_MC04-1g06197	1464	1361
MvSl-1064-A2-R4_MC04-1g06198	3123	3177
MvSl-1064-A2-R4_MC04-1g06199	3097	4129
MvSl-1064-A2-R4_MC04-1g06200	1783	1871
MvSl-1064-A2-R4_MC04-1g06201	76	85
MvSl-1064-A2-R4_MC04-1g06202	196	220
MvSl-1064-A2-R4_MC04-1g06203	703	454
MvSl-1064-A2-R4_MC04-1g06204	3434	2912
MvSl-1064-A2-R4_MC04-1g06205	899	746
MvSl-1064-A2-R4_MC04-1g06206	1879	1784
MvSl-1064-A2-R4_MC04-1g06207	350	299
MvSl-1064-A2-R4_MC04-1g06208	279	306
MvSl-1064-A2-R4_MC04-1g06209	726	757
MvSl-1064-A2-R4_MC04-1g06210	2793	2411
MvSl-1064-A2-R4_MC04-1g06211	261	194
MvSl-1064-A2-R4_MC04-1g06212	374	299
MvSl-1064-A2-R4_MC04-1g06213	4091	2413
MvSl-1064-A2-R4_MC04-1g06214	4830	4987
MvSl-1064-A2-R4_MC04-1g06215	1329	1583
MvSl-1064-A2-R4_MC04-1g06216	1549	3062
MvSl-1064-A2-R4_MC04-1g06217	8193	7720
MvSl-1064-A2-R4_MC04-1g06218	3102	2039
MvSl-1064-A2-R4_MC04-1g06219	936	645
MvSl-1064-A2-R4_MC04-1g06220	1502	1489
MvSl-1064-A2-R4_MC04-1g06221	775	1258
MvSl-1064-A2-R4_MC04-1g06222	27	18
MvSl-1064-A2-R4_MC04-1g06223	4	11
MvSl-1064-A2-R4_MC04-1g06224	7152	7407
MvSl-1064-A2-R4_MC04-1g06225	1221	1077
MvSl-1064-A2-R4_MC04-1g06226	689	650
MvSl-1064-A2-R4_MC04-1g06227	3977	2794
MvSl-1064-A2-R4_MC04-1g06228	9.49964	8.31811
MvSl-1064-A2-R4_MC04-1g06229	0	0
MvSl-1064-A2-R4_MC04-1g06230	8969	12179
MvSl-1064-A2-R4_MC04-1g06231	1111	1312
MvSl-1064-A2-R4_MC04-1g06232	1999	1920
MvSl-1064-A2-R4_MC04-1g06233	429	475
MvSl-1064-A2-R4_MC04-1g06234	714	663
MvSl-1064-A2-R4_MC04-1g06235	472	451
MvSl-1064-A2-R4_MC04-1g06236	275	302
MvSl-1064-A2-R4_MC04-1g06237	3390	2876
MvSl-1064-A2-R4_MC04-1g06238	1	0
MvSl-1064-A2-R4_MC04-1g06239	4	9
MvSl-1064-A2-R4_MC04-1g06240	2423	2758
MvSl-1064-A2-R4_MC04-1g06241	7135	7516
MvSl-1064-A2-R4_MC04-1g06242	25	33
MvSl-1064-A2-R4_MC04-1g06243	3305	3178
MvSl-1064-A2-R4_MC04-1g06244	989	924
MvSl-1064-A2-R4_MC04-1g06245	1251	1124
MvSl-1064-A2-R4_MC04-1g06246	619	815
MvSl-1064-A2-R4_MC04-1g06247	24.0799	19.4035
MvSl-1064-A2-R4_MC04-1g06248	474	679
MvSl-1064-A2-R4_MC04-1g06249	1099	1333
MvSl-1064-A2-R4_MC04-1g06250	1131	950
MvSl-1064-A2-R4_MC04-1g06251	1459	1372
MvSl-1064-A2-R4_MC04-1g06252	1611	1895
MvSl-1064-A2-R4_MC04-1g06253	2790.9	2647
MvSl-1064-A2-R4_MC04-1g06254	20.7623	25.6903
MvSl-1064-A2-R4_MC04-1g06255	431.745	459.215
MvSl-1064-A2-R4_MC04-1g06256	15.1123	6.90926
MvSl-1064-A2-R4_MC04-2g06257	0	0
MvSl-1064-A2-R4_MC04-2g06258	0	0
MvSl-1064-A2-R4_MC04-2g06259	5.10371	0
MvSl-1064-A2-R4_MC04-2g06260	0	0
MvSl-1064-A2-R4_MC04-2g06261	431.745	459.215
MvSl-1064-A2-R4_MC04-2g06262	1753.95	1758.76
MvSl-1064-A2-R4_MC04-2g06263	32.6391	52.9916
MvSl-1064-A2-R4_MC04-2g06264	41.9682	42.0638
MvSl-1064-A2-R4_MC04-2g06265	1.22001	0
MvSl-1064-A2-R4_MC04-2g06266	22.2424	22.4725
MvSl-1064-A2-R4_MC04-2g06267	6	2
MvSl-1064-A2-R4_MC04-2g06268	13.7319	10.4316
MvSl-1064-A2-R4_MC04-2g06269	293.236	361.322
MvSl-1064-A2-R4_MC04-2g06270	515	561
MvSl-1064-A2-R4_MC04-2g06271	803	807
MvSl-1064-A2-R4_MC04-2g06272	1761	1375
MvSl-1064-A2-R4_MC04-2g06273	2145	1962
MvSl-1064-A2-R4_MC04-2g06274	2088	1997
MvSl-1064-A2-R4_MC04-2g06275	11194	10491
MvSl-1064-A2-R4_MC04-2g06276	149	173
MvSl-1064-A2-R4_MC04-2g06277	6846	4727
MvSl-1064-A2-R4_MC04-2g06278	3101	2701
MvSl-1064-A2-R4_MC04-2g06279	1210	1105
MvSl-1064-A2-R4_MC04-2g06280	1956	2093
MvSl-1064-A2-R4_MC04-2g06281	905	781
MvSl-1064-A2-R4_MC04-2g06282	31	28
MvSl-1064-A2-R4_MC04-2g06283	6093	5954
MvSl-1064-A2-R4_MC04-2g06284	3850	2922
MvSl-1064-A2-R4_MC04-2g06285	416	416
MvSl-1064-A2-R4_MC04-2g06286	75	94
MvSl-1064-A2-R4_MC04-2g06287	49892	99084
MvSl-1064-A2-R4_MC04-2g06288	13323	15446
MvSl-1064-A2-R4_MC04-2g06289	0	0
MvSl-1064-A2-R4_MC04-2g06290	250.461	243.703
MvSl-1064-A2-R4_MC04-2g06291	5659	5084
MvSl-1064-A2-R4_MC04-2g06292	2007	1800
MvSl-1064-A2-R4_MC04-2g06293	1046	1386
MvSl-1064-A2-R4_MC04-2g06294	2494	2003
MvSl-1064-A2-R4_MC04-2g06295	17.5467	14.5472
MvSl-1064-A2-R4_MC04-2g06296	195.309	176.79
MvSl-1064-A2-R4_MC04-2g06297	1683.07	1544.86
MvSl-1064-A2-R4_MC04-2g06298	1	1
MvSl-1064-A2-R4_MC04-2g06299	1144	1012
MvSl-1064-A2-R4_MC04-2g06300	238	160
MvSl-1064-A2-R4_MC04-2g06301	100	60
MvSl-1064-A2-R4_MC04-2g06302	684	664
MvSl-1064-A2-R4_MC04-2g06303	0	1.941
MvSl-1064-A2-R4_MC04-2g06304	1661.43	1687.77
MvSl-1064-A2-R4_MC04-2g06305	170.292	138.367
MvSl-1064-A2-R4_MC04-2g06306	0	0
MvSl-1064-A2-R4_MC04-2g06307	0	0
MvSl-1064-A2-R4_MC04-2g06308	517.816	371.809
MvSl-1064-A2-R4_MC04-2g06309	2.21621	6.80853
MvSl-1064-A2-R4_MC04-2g06310	0	0
MvSl-1064-A2-R4_MC04-2g06311	0	0
MvSl-1064-A2-R4_MC04-2g06312	9	8
MvSl-1064-A2-R4_MC04-2g06313	6395	4830
MvSl-1064-A2-R4_MC04-2g06314	1611	1378
MvSl-1064-A2-R4_MC04-2g06315	4904	3979
MvSl-1064-A2-R4_MC04-2g06316	8239.72	7170.88
MvSl-1064-A2-R4_MC04-2g06317	3839	3603
MvSl-1064-A2-R4_MC04-2g06318	591	617
MvSl-1064-A2-R4_MC04-2g06319	556	449
MvSl-1064-A2-R4_MC04-2g06320	4070	3128
MvSl-1064-A2-R4_MC04-2g06321	45	15
MvSl-1064-A2-R4_MC04-2g06322	125	108
MvSl-1064-A2-R4_MC04-2g06323	806	735
MvSl-1064-A2-R4_MC04-2g06324	2	3
MvSl-1064-A2-R4_MC04-2g06325	3228	3585
MvSl-1064-A2-R4_MC04-2g06326	3487	2998
MvSl-1064-A2-R4_MC04-2g06327	1241	899
MvSl-1064-A2-R4_MC04-2g06328	8	6
MvSl-1064-A2-R4_MC04-2g06329	0	1
MvSl-1064-A2-R4_MC04-2g06330	894	977
MvSl-1064-A2-R4_MC04-2g06331	81	67
MvSl-1064-A2-R4_MC04-2g06332	2043.56	2585
MvSl-1064-A2-R4_MC04-2g06333	2	3
MvSl-1064-A2-R4_MC04-2g06334	484	355
MvSl-1064-A2-R4_MC04-2g06335	84	64
MvSl-1064-A2-R4_MC04-2g06336	323	274
MvSl-1064-A2-R4_MC04-2g06337	7505.5	7300.29
MvSl-1064-A2-R4_MC04-2g06338	2194	1965
MvSl-1064-A2-R4_MC04-2g06339	2005	1952
MvSl-1064-A2-R4_MC04-2g06340	696	625
MvSl-1064-A2-R4_MC04-2g06341	133.625	123.175
MvSl-1064-A2-R4_MC04-2g06342	1621.79	1875.2
MvSl-1064-A2-R4_MC04-2g06343	36.5198	23.3341
MvSl-1064-A2-R4_MC04-2g06344	203.449	150.987
MvSl-1064-A2-R4_MC04-2g06345	5.03038	2.002
MvSl-1064-A2-R4_MC04-2g06346	17	21
MvSl-1064-A2-R4_MC04-2g06347	92	72
MvSl-1064-A2-R4_MC04-2g06348	869.634	781.893
MvSl-1064-A2-R4_MC04-2g06349	431	455
MvSl-1064-A2-R4_MC04-2g06350	0	0
MvSl-1064-A2-R4_MC04-2g06351	610	636
MvSl-1064-A2-R4_MC04-2g06352	12	19
MvSl-1064-A2-R4_MC04-2g06353	108	95
MvSl-1064-A2-R4_MC04-2g06354	20.0507	25.0326
MvSl-1064-A2-R4_MC04-2g06355	1032.44	1170.15
MvSl-1064-A2-R4_MC04-2g06356	5.00953	3.08019
MvSl-1064-A2-R4_MC04-2g06357	1382.04	2197.9
MvSl-1064-A2-R4_MC04-2g06358	107.942	89.2008
MvSl-1064-A2-R4_MC04-2g06359	11.096	0
MvSl-1064-A2-R4_MC04-2g06360	14.277	25.3097
MvSl-1064-A2-R4_MC04-2g06361	16.0446	21.2603
MvSl-1064-A2-R4_MC04-2g06362	95.7205	84.7458
MvSl-1064-A2-R4_MC04-2g06363	2515	2598
MvSl-1064-A2-R4_MC04-2g06364	3877.27	3542.03
MvSl-1064-A2-R4_MC04-2g06365	409	399
MvSl-1064-A2-R4_MC04-2g06366	1399	1518
MvSl-1064-A2-R4_MC04-2g06367	1940	1758
MvSl-1064-A2-R4_MC04-2g06368	166	221
MvSl-1064-A2-R4_MC04-2g06369	303	341
MvSl-1064-A2-R4_MC04-2g06370	564.156	454
MvSl-1064-A2-R4_MC04-2g06371	268	93
MvSl-1064-A2-R4_MC04-2g06372	2029	1883
MvSl-1064-A2-R4_MC04-2g06373	1560	1478
MvSl-1064-A2-R4_MC04-2g06374	116	112
MvSl-1064-A2-R4_MC04-2g06375	52	23
MvSl-1064-A2-R4_MC04-2g06376	80	28
MvSl-1064-A2-R4_MC04-2g06377	533	569
MvSl-1064-A2-R4_MC04-2g06378	0	0
MvSl-1064-A2-R4_MC04-2g06379	3390	2807
MvSl-1064-A2-R4_MC04-2g06380	670.756	688.372
MvSl-1064-A2-R4_MC04-2g06381	124.34	86.1002
MvSl-1064-A2-R4_MC04-2g06382	0	4.29831
MvSl-1064-A2-R4_MC05g06383	0	0
MvSl-1064-A2-R4_MC05g06384	725.036	742.48
MvSl-1064-A2-R4_MC05g06385	1.0066	1.00731
MvSl-1064-A2-R4_MC05g06386	0	0
MvSl-1064-A2-R4_MC05g06387	2.23029	2.71775
MvSl-1064-A2-R4_MC05g06388	752.444	638.812
MvSl-1064-A2-R4_MC05g06389	2914	2525
MvSl-1064-A2-R4_MC05g06390	3723	2569
MvSl-1064-A2-R4_MC05g06391	2036	2121
MvSl-1064-A2-R4_MC05g06392	7945	3695
MvSl-1064-A2-R4_MC05g06393	538	482
MvSl-1064-A2-R4_MC05g06394	707	671
MvSl-1064-A2-R4_MC05g06395	8	5
MvSl-1064-A2-R4_MC05g06396	1486	2200
MvSl-1064-A2-R4_MC05g06397	224.023	290.586
MvSl-1064-A2-R4_MC05g06398	831.9	726.58
MvSl-1064-A2-R4_MC05g06399	241.95	286.841
MvSl-1064-A2-R4_MC05g06400	10	17
MvSl-1064-A2-R4_MC05g06401	2101	1818
MvSl-1064-A2-R4_MC05g06402	0	0
MvSl-1064-A2-R4_MC05g06403	8350	10282
MvSl-1064-A2-R4_MC05g06404	312	343
MvSl-1064-A2-R4_MC05g06405	1129	1400
MvSl-1064-A2-R4_MC05g06406	5779	5607
MvSl-1064-A2-R4_MC05g06407	2043	1641
MvSl-1064-A2-R4_MC05g06408	6862	7257
MvSl-1064-A2-R4_MC05g06409	810.764	925.988
MvSl-1064-A2-R4_MC05g06410	25	38
MvSl-1064-A2-R4_MC05g06411	5230	3588
MvSl-1064-A2-R4_MC05g06412	1	1
MvSl-1064-A2-R4_MC05g06413	395	321
MvSl-1064-A2-R4_MC05g06414	8379	7189
MvSl-1064-A2-R4_MC05g06415	1	1
MvSl-1064-A2-R4_MC05g06416	2	0
MvSl-1064-A2-R4_MC05g06417	4.02487	1.0033
MvSl-1064-A2-R4_MC05g06418	0	1
MvSl-1064-A2-R4_MC05g06419	3408	2880
MvSl-1064-A2-R4_MC05g06420	4783	5924
MvSl-1064-A2-R4_MC05g06421	1124	3098
MvSl-1064-A2-R4_MC05g06422	1932	2719
MvSl-1064-A2-R4_MC05g06423	2738	2408
MvSl-1064-A2-R4_MC05g06424	231	267
MvSl-1064-A2-R4_MC05g06425	1612	1539
MvSl-1064-A2-R4_MC05g06426	1149	1581
MvSl-1064-A2-R4_MC05g06427	1210.06	1055.07
MvSl-1064-A2-R4_MC05g06428	87	53
MvSl-1064-A2-R4_MC05g06429	3299	3574
MvSl-1064-A2-R4_MC05g06430	1993	1959
MvSl-1064-A2-R4_MC05g06431	754	556
MvSl-1064-A2-R4_MC05g06432	199	219
MvSl-1064-A2-R4_MC05g06433	823	246
MvSl-1064-A2-R4_MC05g06434	376	223
MvSl-1064-A2-R4_MC05g06435	396.704	320.075
MvSl-1064-A2-R4_MC05g06436	12.1843	9.94111
MvSl-1064-A2-R4_MC05g06437	11.6827	9.42707
MvSl-1064-A2-R4_MC05g06438	0	0
MvSl-1064-A2-R4_MC05g06439	323	369
MvSl-1064-A2-R4_MC05g06440	1642	1469
MvSl-1064-A2-R4_MC05g06441	162	88
MvSl-1064-A2-R4_MC05g06442	7142	5603
MvSl-1064-A2-R4_MC05g06443	3650	3301
MvSl-1064-A2-R4_MC05g06444	3175	3348
MvSl-1064-A2-R4_MC05g06445	2	4
MvSl-1064-A2-R4_MC05g06446	1968	3237
MvSl-1064-A2-R4_MC05g06447	1044.88	887.511
MvSl-1064-A2-R4_MC05g06448	2305.95	1589.28
MvSl-1064-A2-R4_MC05g06449	2901	2094
MvSl-1064-A2-R4_MC05g06450	6477	5979
MvSl-1064-A2-R4_MC05g06451	2043	4006
