gene	MintM1	MintM2	MintM3	gene2	MvSlM1	MvSlM2
MinSal-1389-A1-17072018_C004g03419	0	0	0	MvSl-1064-A1-R4_MC03g04970	2975	2913
MinSal-1389-A1-17072018_C004g03420	0	0	0	MvSl-1064-A1-R4_MC03g04969	1160	2298
MinSal-1389-A1-17072018_C004g03421	0	0	0	MvSl-1064-A1-R4_MC03g04968	681	1014
MinSal-1389-A1-17072018_C004g03422	0	0	0	MvSl-1064-A1-R4_MC03g04967	432	442
MinSal-1389-A1-17072018_C004g03423	195	188	146	MvSl-1064-A1-R4_MC03g04965	1292	941
MinSal-1389-A1-17072018_C004g03425	1757	1865	1145	MvSl-1064-A1-R4_MC03g05023	1704	1307
MinSal-1389-A1-17072018_C004g03426	402	419	230	MvSl-1064-A1-R4_MC03g05024	287	226
MinSal-1389-A1-17072018_C004g03427	0	0	0	MvSl-1064-A1-R4_MC03g05025	1067	1205
MinSal-1389-A1-17072018_C004g03428	256	365	270	MvSl-1064-A1-R4_MC03g05026	731	848
MinSal-1389-A1-17072018_C004g03430	0	0	0	MvSl-1064-A1-R4_MC03g05028	227	208
MinSal-1389-A1-17072018_C004g03431	0	0	0	MvSl-1064-A1-R4_MC03g05029	48	43
MinSal-1389-A1-17072018_C004g03432	21216	20602	13945	MvSl-1064-A1-R4_MC03g05030	3203	3551
MinSal-1389-A1-17072018_C004g03433	38	45	14	MvSl-1064-A1-R4_MC03g05031	855	686
MinSal-1389-A1-17072018_C004g03434	0	0	0	MvSl-1064-A1-R4_MC03g05034	1236	1636
MinSal-1389-A1-17072018_C004g03438	0	0	0	MvSl-1064-A1-R4_MC03g05044	714	820
MinSal-1389-A1-17072018_C004g03441	0	0	0	MvSl-1064-A1-R4_A1g00300	523.134	470.225
MinSal-1389-A1-17072018_C004g03442	0	0	0	MvSl-1064-A1-R4_MC03g05045	1381	1092
MinSal-1389-A1-17072018_C004g03443	0	0	0	MvSl-1064-A1-R4_MC03g05046	553	763
MinSal-1389-A1-17072018_C004g03444	2656	2463	1806	MvSl-1064-A1-R4_MC03g05047	13534	12853
MinSal-1389-A1-17072018_C004g03445	768	950	754	MvSl-1064-A1-R4_MC03g05048	533	934
MinSal-1389-A1-17072018_C004g03446	843	1258	634	MvSl-1064-A1-R4_MC03g05049	2909	2671
MinSal-1389-A1-17072018_C004g03448	1338	1421	797	MvSl-1064-A1-R4_MC03g05050	6978	7209
MinSal-1389-A1-17072018_C004g03449	6825	7595	3377	MvSl-1064-A1-R4_MC03g05051	4740	4237
MinSal-1389-A1-17072018_C004g03450	766	655	402	MvSl-1064-A1-R4_MC03g05052	1166	722
MinSal-1389-A1-17072018_C004g03451	517	490	237	MvSl-1064-A1-R4_MC03g05053	2046	1831
MinSal-1389-A1-17072018_C004g03452	4057	4598	2485	MvSl-1064-A1-R4_MC03g05054	4841	3591
MinSal-1389-A1-17072018_C004g03453	2126	2413	1142	MvSl-1064-A1-R4_MC03g05057	590	271
MinSal-1389-A1-17072018_C004g03454	4107	4387	2580	MvSl-1064-A1-R4_MC03g05059	10823	7398
MinSal-1389-A1-17072018_C004g03455	3162	3693	1978	MvSl-1064-A1-R4_MC03g05060	5515	5273
MinSal-1389-A1-17072018_C004g03456	0	0	0	MvSl-1064-A1-R4_MC03g05061	951	315
MinSal-1389-A1-17072018_C004g03457	1190	1461	753	MvSl-1064-A1-R4_MC03g05062	606	560
MinSal-1389-A1-17072018_C004g03458	0	0	0	MvSl-1064-A1-R4_MC03g05063	1157	1156
MinSal-1389-A1-17072018_C004g03459	110	137	93	MvSl-1064-A1-R4_MC03g05064	9770	8403
MinSal-1389-A1-17072018_C004g03460	0	0	0	MvSl-1064-A1-R4_MC03g05065	1338	1365
MinSal-1389-A1-17072018_C004g03461	252	240	182	MvSl-1064-A1-R4_MC03g05066	1037	860
MinSal-1389-A1-17072018_C004g03462	0	1	0	MvSl-1064-A1-R4_MC03g05067	873	684
MinSal-1389-A1-17072018_C004g03463	488	583	234	MvSl-1064-A1-R4_MC03g05068	3063	2800
MinSal-1389-A1-17072018_C004g03464	52	58	20	MvSl-1064-A1-R4_MC03g05071	104.172	90.2949
MinSal-1389-A1-17072018_C004g03465	730	703	391	MvSl-1064-A1-R4_MC03g05072	2650	2047
MinSal-1389-A1-17072018_C004g03466	1963	2310	615	MvSl-1064-A1-R4_MC03g05073	11432	9905
MinSal-1389-A1-17072018_C004g03470	0	0	0	MvSl-1064-A1-R4_MC03g05076	67	78
MinSal-1389-A1-17072018_C004g03471	0	0	0	MvSl-1064-A1-R4_MC03g05077	701	544
MinSal-1389-A1-17072018_C004g03472	0	0	0	MvSl-1064-A1-R4_MC03g05078	82698	91107
MinSal-1389-A1-17072018_C004g03473	0	0	0	MvSl-1064-A1-R4_MC03g05079	17622	13329
MinSal-1389-A1-17072018_C004g03474	0	0	0	MvSl-1064-A1-R4_MC03g05080	384	442
MinSal-1389-A1-17072018_C004g03477	601	826	586	MvSl-1064-A1-R4_MC03g05083	5410	4513
MinSal-1389-A1-17072018_C004g03480	192	281	198	MvSl-1064-A1-R4_MC03g05086	1874	2138
MinSal-1389-A1-17072018_C004g03481	962	996	695	MvSl-1064-A1-R4_MC03g05089	9901	11427
MinSal-1389-A1-17072018_C004g03482	39	22	29	MvSl-1064-A1-R4_MC03g05090	1728	1964
MinSal-1389-A1-17072018_C004g03483	0	0	0	MvSl-1064-A1-R4_MC03g05091	4274	4387
MinSal-1389-A1-17072018_C004g03484	115	170	76	MvSl-1064-A1-R4_MC03g05092	2479	1747
MinSal-1389-A1-17072018_C004g03485	0	0	0	MvSl-1064-A1-R4_MC03g05093	876	829
MinSal-1389-A1-17072018_C004g03486	0	0	0	MvSl-1064-A1-R4_MC10-1g09597	2086.97	2088.85
MinSal-1389-A1-17072018_C004g03487	622	777	324	MvSl-1064-A1-R4_MC03g05100	2351	2001
MinSal-1389-A1-17072018_C004g03488	738	837	323	MvSl-1064-A1-R4_MC03g05101	544	615
MinSal-1389-A1-17072018_C004g03489	0	0	0	MvSl-1064-A1-R4_MC03g05102	2	2
MinSal-1389-A1-17072018_C004g03490	75	98	15	MvSl-1064-A1-R4_MC03g05103	4548	3175
MinSal-1389-A1-17072018_C004g03491	1360	1510	1029	MvSl-1064-A1-R4_MC03g05104	1934	1236
MinSal-1389-A1-17072018_C004g03492	0	0	0	MvSl-1064-A1-R4_MC03g05105	830	783
MinSal-1389-A1-17072018_C004g03493	0	0	0	MvSl-1064-A1-R4_MC03g05106	443	428
MinSal-1389-A1-17072018_C004g03494	1	0	0	MvSl-1064-A1-R4_MC14g11746	1829.24	1822.76
MinSal-1389-A1-17072018_C004g03495	0	0	0	MvSl-1064-A1-R4_MC14g11745	902.893	184.474
MinSal-1389-A1-17072018_C004g03496	54	45	48	MvSl-1064-A1-R4_MC14g11744	3018	3415
MinSal-1389-A1-17072018_C004g03497	0	0	0	MvSl-1064-A1-R4_MC14g11743	273	305
MinSal-1389-A1-17072018_C004g03498	0	0	0	MvSl-1064-A1-R4_MC14g11742	639	656
MinSal-1389-A1-17072018_C004g03499	1	0	0	MvSl-1064-A1-R4_MC14g11741	4023.33	3944.45
MinSal-1389-A1-17072018_C004g03500	0	0	0	MvSl-1064-A1-R4_MC14g11740	837	831
MinSal-1389-A1-17072018_C004g03501	0	0	0	MvSl-1064-A1-R4_MC14g11738	546	448
MinSal-1389-A1-17072018_C004g03502	3	2	0	MvSl-1064-A1-R4_MC14g11737	6626	5936
MinSal-1389-A1-17072018_C004g03503	0	0	0	MvSl-1064-A1-R4_MC14g11736	533	444
MinSal-1389-A1-17072018_C004g03504	749	864	381	MvSl-1064-A1-R4_MC14g11735	3413	2906
MinSal-1389-A1-17072018_C004g03505	66	49	28	MvSl-1064-A1-R4_MC14g11734	1325	1287
MinSal-1389-A1-17072018_C005g03508	261	345	174	MvSl-1064-A1-R4_MC04-2g06108	3390	2807
MinSal-1389-A1-17072018_C005g03512	0	0	0	MvSl-1064-A1-R4_MC04-2g06104	52	23
MinSal-1389-A1-17072018_C005g03513	5	0	0	MvSl-1064-A1-R4_MC04-2g06103	116	112
MinSal-1389-A1-17072018_C005g03514	499.533	583	265	MvSl-1064-A1-R4_MC04-2g06102	1565	1478
MinSal-1389-A1-17072018_C005g03515	43	48	17	MvSl-1064-A1-R4_MC04-2g06101	2029	1883
MinSal-1389-A1-17072018_C005g03516	0	0	0	MvSl-1064-A1-R4_MC04-2g06100	268	93
MinSal-1389-A1-17072018_C005g03517	0	0	0	MvSl-1064-A1-R4_MC04-2g06099	564	454
MinSal-1389-A1-17072018_C005g03518	0	0	0	MvSl-1064-A1-R4_MC04-2g06098	303	341
MinSal-1389-A1-17072018_C005g03519	0	0	0	MvSl-1064-A1-R4_MC04-2g06096	2010.19	1829.71
MinSal-1389-A1-17072018_C005g03520	1	0	0	MvSl-1064-A1-R4_MC04-2g06095	1399	1518
MinSal-1389-A1-17072018_C005g03521	0	0	0	MvSl-1064-A1-R4_MC04-2g06094	409	399
MinSal-1389-A1-17072018_C005g03522	151	228	104	MvSl-1064-A1-R4_MC04-2g06093	3877.53	3532.94
MinSal-1389-A1-17072018_C005g03523	0	0	0	MvSl-1064-A1-R4_MC04-2g06092	2515	2598
MinSal-1389-A1-17072018_C005g03525	0	0	0	MvSl-1064-A1-R4_MC04-1g06070	3.3421	19
MinSal-1389-A1-17072018_C005g03526	0	0	0	MvSl-1064-A1-R4_MC04-1g06069	79.565	159.388
MinSal-1389-A1-17072018_C005g03528	312	323	232	MvSl-1064-A1-R4_MC04-1g06067	431	455
MinSal-1389-A1-17072018_C005g03530	0	0	0	MvSl-1064-A1-R4_MC04-1g06057	2005	1952
MinSal-1389-A1-17072018_C005g03531	712	962	474	MvSl-1064-A1-R4_MC04-1g06056	2193	1965
MinSal-1389-A1-17072018_C005g03532	91	124	38	MvSl-1064-A1-R4_MC04-1g06055	7505.5	7301.29
MinSal-1389-A1-17072018_C005g03534	89	107	65	MvSl-1064-A1-R4_MC04-1g06052	484	355
MinSal-1389-A1-17072018_C005g03535	5	11	4	MvSl-1064-A1-R4_MC04-1g06049	81	67
MinSal-1389-A1-17072018_C005g03536	164	158	65	MvSl-1064-A1-R4_MC04-1g06048	894	977
MinSal-1389-A1-17072018_C005g03541	859	853	534	MvSl-1064-A1-R4_MC04-1g06045	1241	899
MinSal-1389-A1-17072018_C005g03542	301	288	209	MvSl-1064-A1-R4_MC04-1g06044	3487	2998
MinSal-1389-A1-17072018_C005g03543	873	1114	565	MvSl-1064-A1-R4_MC04-1g06043	3228	3585
MinSal-1389-A1-17072018_C005g03548	181	72	150	MvSl-1064-A1-R4_MC04-1g06039	45	15
MinSal-1389-A1-17072018_C005g03549	205	220	91	MvSl-1064-A1-R4_MC04-1g06038	4070	3129
MinSal-1389-A1-17072018_C005g03550	0	0	0	MvSl-1064-A1-R4_MC04-1g06037	556	450
MinSal-1389-A1-17072018_C005g03551	0	0	0	MvSl-1064-A1-R4_MC04-1g06036	591	618
MinSal-1389-A1-17072018_C005g03552	8294	8246	4797	MvSl-1064-A1-R4_MC04-1g06035	3839	3603
MinSal-1389-A1-17072018_C005g03553	587	893	573	MvSl-1064-A1-R4_MC04-1g06034	8241.72	7172.88
MinSal-1389-A1-17072018_C005g03554	353	474	194	MvSl-1064-A1-R4_MC04-1g06033	4906	3980
MinSal-1389-A1-17072018_C005g03555	201	300	129	MvSl-1064-A1-R4_MC04-1g06032	1611	1378
MinSal-1389-A1-17072018_C005g03556	4987	5405	3219	MvSl-1064-A1-R4_MC04-1g06031	6394	4830
MinSal-1389-A1-17072018_C005g03557	0	0	0	MvSl-1064-A1-R4_MC04-1g06030	9	8
MinSal-1389-A1-17072018_C005g03561	197	219	116	MvSl-1064-A1-R4_MC04-1g06020	684	664
MinSal-1389-A1-17072018_C005g03562	5	11	0	MvSl-1064-A1-R4_MC04-1g06019	100	60
MinSal-1389-A1-17072018_C005g03563	156	135	116	MvSl-1064-A1-R4_MC04-1g06018	238	160
MinSal-1389-A1-17072018_C005g03564	0	2	0	MvSl-1064-A1-R4_MC04-1g06017	1144	1012
MinSal-1389-A1-17072018_C005g03565	0	0	0	MvSl-1064-A1-R4_MC04-1g06016	1	1
MinSal-1389-A1-17072018_C005g03566	1105	1479	636	MvSl-1064-A1-R4_MC04-1g06012	2494	2003
MinSal-1389-A1-17072018_C005g03567	153	115	82	MvSl-1064-A1-R4_MC04-1g06011	1046	1387
MinSal-1389-A1-17072018_C005g03568	0	0	0	MvSl-1064-A1-R4_MC04-1g06010	2007	1801
MinSal-1389-A1-17072018_C005g03569	2673	2760	1443	MvSl-1064-A1-R4_MC04-1g06009	5659	5084
MinSal-1389-A1-17072018_C005g03570	15006	13944	15780	MvSl-1064-A1-R4_MC04-1g06006	13322	15445
MinSal-1389-A1-17072018_C005g03571	2330	2562	1646	MvSl-1064-A1-R4_MC04-1g06005	49892	99084
MinSal-1389-A1-17072018_C005g03572	641	591	139	MvSl-1064-A1-R4_MC04-1g06003	416	416
MinSal-1389-A1-17072018_C005g03573	3	0	0	MvSl-1064-A1-R4_MC04-1g06002	3850	2922
MinSal-1389-A1-17072018_C005g03574	383	382	348	MvSl-1064-A1-R4_MC04-1g06001	6092	5954
MinSal-1389-A1-17072018_C005g03577	15	8	8	MvSl-1064-A1-R4_MC04-1g05999	905	781
MinSal-1389-A1-17072018_C005g03578	1234	904	1322	MvSl-1064-A1-R4_MC04-1g05998	1955	2093
MinSal-1389-A1-17072018_C005g03579	1	1	0	MvSl-1064-A1-R4_MC04-1g05997	1210	1105
MinSal-1389-A1-17072018_C005g03580	1	2	0	MvSl-1064-A1-R4_MC04-1g05996	3101	2701
MinSal-1389-A1-17072018_C005g03581	1962	2251	996	MvSl-1064-A1-R4_MC04-1g05995	6846	4727
MinSal-1389-A1-17072018_C005g03582	1161	1395	519	MvSl-1064-A1-R4_MC04-1g05993	11194	10492
MinSal-1389-A1-17072018_C005g03583	789	1040	418	MvSl-1064-A1-R4_MC04-1g05992	2088	1997
MinSal-1389-A1-17072018_C005g03584	1186	1332	850	MvSl-1064-A1-R4_MC04-1g05991	2145	1962
MinSal-1389-A1-17072018_C005g03585	944	1281	756	MvSl-1064-A1-R4_MC04-1g05990	1761	1375
MinSal-1389-A1-17072018_C005g03586	625	767	405	MvSl-1064-A1-R4_MC04-1g05989	803	807
MinSal-1389-A1-17072018_C005g03588	0	1	1	MvSl-1064-A1-R4_MC04-1g05977	2796	2647
MinSal-1389-A1-17072018_C005g03589	0	0	0	MvSl-1064-A1-R4_MC04-1g05976	1611	1894
MinSal-1389-A1-17072018_C005g03590	0	0	0	MvSl-1064-A1-R4_MC04-1g05975	1459	1373
MinSal-1389-A1-17072018_C005g03591	674	661	461	MvSl-1064-A1-R4_MC04-1g05974	1131	950
MinSal-1389-A1-17072018_C005g03592	347	400	269	MvSl-1064-A1-R4_MC04-1g05973	1099	1333
MinSal-1389-A1-17072018_C005g03593	997	866	573	MvSl-1064-A1-R4_MC04-1g05972	474	679
MinSal-1389-A1-17072018_C005g03594	2678	2639	1824	MvSl-1064-A1-R4_MC04-1g05970	619	815
MinSal-1389-A1-17072018_C005g03595	0	0	0	MvSl-1064-A1-R4_MC04-1g05969	1251	1123
MinSal-1389-A1-17072018_C005g03596	474	518	277	MvSl-1064-A1-R4_MC04-1g05968	989	924
MinSal-1389-A1-17072018_C005g03597	1315	1716	764	MvSl-1064-A1-R4_MC04-1g05967	3306	3179
MinSal-1389-A1-17072018_C005g03601	470	741	323	MvSl-1064-A1-R4_MC04-1g05880	4892	5035
MinSal-1389-A1-17072018_C005g03603	241	282	242	MvSl-1064-A1-R4_MC04-1g05965	7135	7516
MinSal-1389-A1-17072018_C005g03604	1264	1465	831	MvSl-1064-A1-R4_MC04-1g05964	2422	2758
MinSal-1389-A1-17072018_C005g03605	0	0	0	MvSl-1064-A1-R4_MC04-1g05963	4	9
MinSal-1389-A1-17072018_C005g03606	0	0	0	MvSl-1064-A1-R4_MC04-1g05962	1	0
MinSal-1389-A1-17072018_C005g03607	5116	5416	2674	MvSl-1064-A1-R4_MC04-1g05961	3390	2876
MinSal-1389-A1-17072018_C005g03608	0	0	0	MvSl-1064-A1-R4_MC04-1g05960	275	302
MinSal-1389-A1-17072018_C005g03609	286	439	169	MvSl-1064-A1-R4_MC04-1g05959	472	451
MinSal-1389-A1-17072018_C005g03610	704	859	464	MvSl-1064-A1-R4_MC04-1g05958	714	663
MinSal-1389-A1-17072018_C005g03611	0	0	1	MvSl-1064-A1-R4_MC04-1g05956	1999	1920
MinSal-1389-A1-17072018_C005g03613	17	25	6	MvSl-1064-A1-R4_MC04-1g05955	1111	1312
MinSal-1389-A1-17072018_C005g03614	14	14	6	MvSl-1064-A1-R4_MC04-1g05954	8969	12179
MinSal-1389-A1-17072018_C005g03616	2372	3090	1443	MvSl-1064-A1-R4_MC04-1g05951	3976	2795
MinSal-1389-A1-17072018_C005g03617	866	931	456	MvSl-1064-A1-R4_MC04-1g05950	689	650
MinSal-1389-A1-17072018_C005g03618	1101	1466	611	MvSl-1064-A1-R4_MC04-1g05949	1221	1077
MinSal-1389-A1-17072018_C005g03619	1069	1441	467	MvSl-1064-A1-R4_MC04-1g05948	7152	7407
MinSal-1389-A1-17072018_C005g03621	1326	1315	733	MvSl-1064-A1-R4_MC04-1g05945	775	1258
MinSal-1389-A1-17072018_C005g03622	345	557	173	MvSl-1064-A1-R4_MC04-1g05944	1502	1489
MinSal-1389-A1-17072018_C005g03623	85	143	93	MvSl-1064-A1-R4_MC04-1g05943	936	645
MinSal-1389-A1-17072018_C005g03625	0	0	0	MvSl-1064-A1-R4_MC04-1g05941	8193	7720
MinSal-1389-A1-17072018_C005g03626	379	491	280	MvSl-1064-A1-R4_MC04-1g05940	1549	3063
MinSal-1389-A1-17072018_C005g03627	299	373	128	MvSl-1064-A1-R4_MC04-1g05939	1329	1581
MinSal-1389-A1-17072018_C005g03628	3371	3848	2076	MvSl-1064-A1-R4_MC04-1g05938	4830	4987
MinSal-1389-A1-17072018_C005g03629	880	925	371	MvSl-1064-A1-R4_MC04-1g05937	4093	2413
MinSal-1389-A1-17072018_C005g03631	586	660	334	MvSl-1064-A1-R4_MC04-1g05934	2793	2411
MinSal-1389-A1-17072018_C005g03632	541	559	300	MvSl-1064-A1-R4_MC04-1g05933	726	757
MinSal-1389-A1-17072018_C005g03633	0	0	0	MvSl-1064-A1-R4_MC04-1g05932	279	306
MinSal-1389-A1-17072018_C005g03636	0	0	0	MvSl-1064-A1-R4_MC04-1g05931	350	299
MinSal-1389-A1-17072018_C005g03639	670	832	417	MvSl-1064-A1-R4_MC04-1g05929	899	746
MinSal-1389-A1-17072018_C005g03640	198	251	146	MvSl-1064-A1-R4_MC04-1g05928	3434	2912
MinSal-1389-A1-17072018_C005g03641	0	0	0	MvSl-1064-A1-R4_MC04-1g05927	703	454
MinSal-1389-A1-17072018_C005g03642	400	417	182	MvSl-1064-A1-R4_MC04-1g05926	196	220
MinSal-1389-A1-17072018_C005g03644	5433	4627	3373	MvSl-1064-A1-R4_MC04-1g05924	1783	1871
MinSal-1389-A1-17072018_C005g03645	0	0	0	MvSl-1064-A1-R4_MC04-1g05923	3097	4129
MinSal-1389-A1-17072018_C005g03646	968	948	651	MvSl-1064-A1-R4_MC04-1g05922	3123	3177
MinSal-1389-A1-17072018_C005g03647	0	0	0	MvSl-1064-A1-R4_MC04-1g05921	1464	1361
MinSal-1389-A1-17072018_C005g03648	4600	4461	2670	MvSl-1064-A1-R4_MC04-1g05920	1419	1562
MinSal-1389-A1-17072018_C005g03649	9	9	2	MvSl-1064-A1-R4_MC04-1g05919	713	733
MinSal-1389-A1-17072018_C005g03650	0	0	0	MvSl-1064-A1-R4_MC04-1g05918	425	665
MinSal-1389-A1-17072018_C005g03652	922	798	657	MvSl-1064-A1-R4_MC04-1g05914	6050	5209
MinSal-1389-A1-17072018_C005g03655	0	0	0	MvSl-1064-A1-R4_MC04-1g05890	564	840
MinSal-1389-A1-17072018_C005g03656	621	612	374	MvSl-1064-A1-R4_MC04-1g05889	2718	2480
MinSal-1389-A1-17072018_C005g03657	742	826	394	MvSl-1064-A1-R4_MC04-1g05888	614	518
MinSal-1389-A1-17072018_C005g03658	318	431	231	MvSl-1064-A1-R4_MC04-1g05887	3432	3067
MinSal-1389-A1-17072018_C005g03659	4479	5427	2467	MvSl-1064-A1-R4_MC04-1g05886	1704	1117
MinSal-1389-A1-17072018_C005g03660	3922	4167	1887	MvSl-1064-A1-R4_MC04-1g05885	2534	1802
MinSal-1389-A1-17072018_C005g03661	6516	7728	3833	MvSl-1064-A1-R4_MC04-1g05884	3939	2912
MinSal-1389-A1-17072018_C005g03662	297	508	124	MvSl-1064-A1-R4_MC04-1g05883	1668	1343
MinSal-1389-A1-17072018_C005g03663	297	410	166	MvSl-1064-A1-R4_MC04-1g05882	541	541
MinSal-1389-A1-17072018_C005g03664	121	137	73	MvSl-1064-A1-R4_MC04-1g05881	600	468
MinSal-1389-A1-17072018_C005g03666	55	85	19	MvSl-1064-A1-R4_MC04-1g05865	5114	7333
MinSal-1389-A1-17072018_C005g03667	2679	2638	1822	MvSl-1064-A1-R4_MC04-1g05866	3299	3712
MinSal-1389-A1-17072018_C005g03668	0	0	0	MvSl-1064-A1-R4_MC04-1g05867	771	768
MinSal-1389-A1-17072018_C005g03669	0	1	0	MvSl-1064-A1-R4_MC04-1g05868	678	486
MinSal-1389-A1-17072018_C005g03670	3082	3288	1827	MvSl-1064-A1-R4_MC04-1g05869	2785	2804
MinSal-1389-A1-17072018_C005g03671	321	255	217	MvSl-1064-A1-R4_MC04-1g05870	3765	3670
MinSal-1389-A1-17072018_C005g03672	11435	6507	10254	MvSl-1064-A1-R4_MC04-1g05871	1389	4333
MinSal-1389-A1-17072018_C005g03673	593	713	286	MvSl-1064-A1-R4_MC04-1g05872	1304	1263
MinSal-1389-A1-17072018_C005g03674	643	985	434	MvSl-1064-A1-R4_MC04-1g05874	4523	4918
MinSal-1389-A1-17072018_C005g03675	0	0	0	MvSl-1064-A1-R4_MC04-1g05875	1449	1105
MinSal-1389-A1-17072018_C005g03676	498	843	291	MvSl-1064-A1-R4_MC04-1g05876	5809	5809
MinSal-1389-A1-17072018_C005g03677	897	1280	643	MvSl-1064-A1-R4_MC04-1g05878	3032	2772
MinSal-1389-A1-17072018_C005g03678	428	478	275	MvSl-1064-A1-R4_MC04-1g05879	1692	1596
MinSal-1389-A1-17072018_C005g03680	232	178	83	MvSl-1064-A1-R4_MC04-1g05861	258	282
MinSal-1389-A1-17072018_C005g03681	45	28	17	MvSl-1064-A1-R4_MC04-1g05860	75	115
MinSal-1389-A1-17072018_C005g03682	2744	2967	1152	MvSl-1064-A1-R4_MC04-1g05859	1617	1492
MinSal-1389-A1-17072018_C005g03683	892	994	497	MvSl-1064-A1-R4_MC04-1g05857	591	437
MinSal-1389-A1-17072018_C005g03684	0	0	1.11761	MvSl-1064-A1-R4_MC04-1g05856	1283	1175
MinSal-1389-A1-17072018_C005g03685	1993	2255	1383	MvSl-1064-A1-R4_MC04-1g05855	5542	4711
MinSal-1389-A1-17072018_C005g03686	364	350	210	MvSl-1064-A1-R4_MC04-1g05854	2848	2891
MinSal-1389-A1-17072018_C005g03687	0	1	0	MvSl-1064-A1-R4_MC04-1g05853	1287	993
MinSal-1389-A1-17072018_C005g03690	245	265	187	MvSl-1064-A1-R4_MC04-1g05852	11	7
MinSal-1389-A1-17072018_C005g03691	205	211	159	MvSl-1064-A1-R4_MC04-1g05851	674	583
MinSal-1389-A1-17072018_C005g03692	106	136	46	MvSl-1064-A1-R4_MC04-1g05850	897	804
MinSal-1389-A1-17072018_C005g03693	566	656	363	MvSl-1064-A1-R4_MC04-1g05849	1056	1045
MinSal-1389-A1-17072018_C005g03694	1142	1080	750	MvSl-1064-A1-R4_MC04-1g05848	3818	3043
MinSal-1389-A1-17072018_C005g03695	324	379	177	MvSl-1064-A1-R4_MC04-1g05847	464	360
MinSal-1389-A1-17072018_C005g03696	64	88	19	MvSl-1064-A1-R4_MC04-1g05846	1540	1346
MinSal-1389-A1-17072018_C005g03703	102	41	135	MvSl-1064-A1-R4_MC04-1g05843	80	39
MinSal-1389-A1-17072018_C005g03704	1269	1403	1045	MvSl-1064-A1-R4_MC04-1g05841	1828	1824
MinSal-1389-A1-17072018_C005g03705	2238	2441	990	MvSl-1064-A1-R4_MC04-1g05840	4516	3103
MinSal-1389-A1-17072018_C005g03706	0	0	0	MvSl-1064-A1-R4_MC04-1g05839	828	585
MinSal-1389-A1-17072018_C005g03707	651.888	873.308	315.469	MvSl-1064-A1-R4_MC04-1g05838	6595	7198
MinSal-1389-A1-17072018_C005g03710	473	675	386	MvSl-1064-A1-R4_MC04-1g05837	23	23
MinSal-1389-A1-17072018_C005g03713	1924	1876	1015	MvSl-1064-A1-R4_MC04-1g05830	2912	3101
MinSal-1389-A1-17072018_C005g03714	685	801	482	MvSl-1064-A1-R4_MC04-1g05825	3470	2528
MinSal-1389-A1-17072018_C005g03715	0	0	0	MvSl-1064-A1-R4_MC04-1g05824	569	568
MinSal-1389-A1-17072018_C005g03716	0	0	0	MvSl-1064-A1-R4_MC04-1g05823	3203	3682
MinSal-1389-A1-17072018_C005g03717	0	0	0	MvSl-1064-A1-R4_MC04-1g05822	237	229
MinSal-1389-A1-17072018_C005g03718	2133	2447	1499	MvSl-1064-A1-R4_MC04-1g05821	4702	3754
MinSal-1389-A1-17072018_C005g03719	405	491	269	MvSl-1064-A1-R4_MC04-1g05820	1558	1174
MinSal-1389-A1-17072018_C005g03723	0	1	0	MvSl-1064-A1-R4_MC04-1g05815	2429	1616
MinSal-1389-A1-17072018_C005g03725	1595	1414	717	MvSl-1064-A1-R4_MC04-1g05814	771	488
MinSal-1389-A1-17072018_C005g03726	225	320	132	MvSl-1064-A1-R4_MC04-1g05813	656	525
MinSal-1389-A1-17072018_C005g03727	0	0	0	MvSl-1064-A1-R4_MC04-1g05812	489	409
MinSal-1389-A1-17072018_C005g03728	661	944	467	MvSl-1064-A1-R4_MC04-1g05811	1443	1377
MinSal-1389-A1-17072018_C005g03729	0	1	0	MvSl-1064-A1-R4_MC04-1g05810	16022	20234
MinSal-1389-A1-17072018_C005g03730	832	1075	519	MvSl-1064-A1-R4_MC04-1g05809	2246	1985
MinSal-1389-A1-17072018_C005g03731	123	135	81	MvSl-1064-A1-R4_MC04-1g05808	616	515
MinSal-1389-A1-17072018_C005g03734	2	9	3	MvSl-1064-A1-R4_MC04-1g05802	3289	3286
MinSal-1389-A1-17072018_C005g03735	372	225	59	MvSl-1064-A1-R4_MC04-1g05801	1584	1514
MinSal-1389-A1-17072018_C005g03736	0	0	0	MvSl-1064-A1-R4_MC04-1g05798	1133	1802
MinSal-1389-A1-17072018_C005g03738	64	120	42	MvSl-1064-A1-R4_MC04-1g05796	1066	972
MinSal-1389-A1-17072018_C005g03739	68	34	36	MvSl-1064-A1-R4_MC04-1g05795	223	203
MinSal-1389-A1-17072018_C005g03740	52	38	37	MvSl-1064-A1-R4_MC04-1g05794	502	514
MinSal-1389-A1-17072018_C005g03741	0	0	0	MvSl-1064-A1-R4_MC04-1g05793	499	362
MinSal-1389-A1-17072018_C005g03742	89	74	48	MvSl-1064-A1-R4_MC04-1g05792	725	657
MinSal-1389-A1-17072018_C005g03743	876	1272	570	MvSl-1064-A1-R4_MC04-1g05791	7638	3500
MinSal-1389-A1-17072018_C005g03745	147	187	64	MvSl-1064-A1-R4_MC04-1g05789	1450	1234
MinSal-1389-A1-17072018_C005g03746	0	0	0	MvSl-1064-A1-R4_MC04-1g05788	1095	1026
MinSal-1389-A1-17072018_C005g03747	0	0	0	MvSl-1064-A1-R4_MC04-1g05787	1002	1066
