gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	bias
MvSl-1064-A1-R4_MC10-1g09732	MvSl-1064-A1-R4_MC10-1	Chr10	195494	196697	4.712758421	1.148159284	2.54E-05	0.000648047	a1
MvSl-1064-A1-R4_MC02g04224	MvSl-1064-A1-R4_MC02	Chr02	2513704	2518547	5.356975029	1.166539328	0.000373407	0.007423846	a1
MvSl-1064-A1-R4_MC02g03482	MvSl-1064-A1-R4_MC02	Chr02	767990	769723	4.751700726	1.174197786	1.05E-06	3.36E-05	a1
MvSl-1064-A1-R4_A1g01432	MvSl-1064-A1-R4_A1	aMAT	1966448	1967834	4.827251695	1.19652809	1.15E-05	0.000311293	a1
MvSl-1064-A1-R4_MC12g10896	MvSl-1064-A1-R4_MC12	Chr12	377315	379044	7.547824452	1.206044552	1.59E-08	6.45E-07	a1
MvSl-1064-A1-R4_MC01-1g02725	MvSl-1064-A1-R4_MC01-1	Chr01	1946927	1950270	4.293292332	1.206746158	8.34E-06	0.000228581	a1
MvSl-1064-A1-R4_MC11g10390	MvSl-1064-A1-R4_MC11	Chr11	566417	566773	1.560994275	1.20786005	0.002486405	0.03775538	a1
MvSl-1064-A1-R4_MC07g08235	MvSl-1064-A1-R4_MC07	Chr07	1691898	1695699	6.523466387	1.213794313	3.66E-08	1.44E-06	a1
MvSl-1064-A1-R4_MC03g04931	MvSl-1064-A1-R4_MC03	Chr03	1651607	1652476	5.507511944	1.218626164	1.47E-07	5.37E-06	a1
MvSl-1064-A1-R4_MC10-1g09796	MvSl-1064-A1-R4_MC10-1	Chr10	271160	272967	4.777729318	1.222016796	3.38E-07	1.18E-05	a1
MvSl-1064-A1-R4_MC04-1g05411	MvSl-1064-A1-R4_MC04-1	Chr04	247860	248072	6.572931382	1.224964151	3.56E-09	1.55E-07	a1
MvSl-1064-A1-R4_MC01-2g03005	MvSl-1064-A1-R4_MC01-2	Chr01	2638903	2639454	7.128783173	1.229831096	1.99E-06	6.09E-05	a1
MvSl-1064-A1-R4_MC13g11333	MvSl-1064-A1-R4_MC13	Chr13	109343	111790	3.937244398	1.236517272	2.35E-05	0.000608092	a1
MvSl-1064-A1-R4_MC04-1g06041	MvSl-1064-A1-R4_MC04-1	Chr04	1787514	1789936	5.240516625	1.24047057	3.19E-07	1.12E-05	a1
MvSl-1064-A1-R4_MC04-1g05382	MvSl-1064-A1-R4_MC04-1	Chr04	187190	187345	2.144746286	1.250773282	0.000732288	0.013550494	a1
MvSl-1064-A1-R4_MC02g03359	MvSl-1064-A1-R4_MC02	Chr02	500634	501370	7.215314702	1.252069275	1.35E-08	5.51E-07	a1
MvSl-1064-A1-R4_MC10-2g09889	MvSl-1064-A1-R4_MC10-2	Chr10	379721	383212	4.392533856	1.255242646	2.79E-06	8.37E-05	a1
MvSl-1064-A1-R4_MC06g07191	MvSl-1064-A1-R4_MC06	Chr06	889505	890482	5.289381216	1.258732923	4.15E-05	0.001024635	a1
MvSl-1064-A1-R4_MC02g03922	MvSl-1064-A1-R4_MC02	Chr02	1768204	1771270	4.405326855	1.258934942	7.78E-05	0.001806611	a1
MvSl-1064-A1-R4_MC08g08310	MvSl-1064-A1-R4_MC08	Chr08	147431	148150	1.360457684	1.261635656	0.002469617	0.037578335	a1
MvSl-1064-A1-R4_MC04-1g05546	MvSl-1064-A1-R4_MC04-1	Chr04	586431	586712	1.823617776	1.26427804	0.001300414	0.021884336	a1
MvSl-1064-A1-R4_MC11g10351	MvSl-1064-A1-R4_MC11	Chr11	430649	432589	6.307143474	1.266743838	0.00347149	0.049878603	a1
MvSl-1064-A1-R4_MC01-1g02511	MvSl-1064-A1-R4_MC01-1	Chr01	1440178	1441399	2.29057499	1.269494285	0.001285721	0.021731449	a1
MvSl-1064-A1-R4_MC01-2g02987	MvSl-1064-A1-R4_MC01-2	Chr01	2588368	2590196	6.565279869	1.270185749	7.13E-09	3.02E-07	a1
MvSl-1064-A1-R4_MC09-2g09380	MvSl-1064-A1-R4_MC09-2	Chr09	1148789	1149493	4.991632797	1.275877969	1.93E-05	0.000507423	a1
MvSl-1064-A1-R4_MC13g11416	MvSl-1064-A1-R4_MC13	Chr13	297846	298166	1.771433664	1.277265877	0.001543454	0.025181279	a1
MvSl-1064-A1-R4_MC02g04109	MvSl-1064-A1-R4_MC02	Chr02	2235170	2236092	3.945563791	1.278810482	3.85E-05	0.000962841	a1
MvSl-1064-A1-R4_MC09-2g09490	MvSl-1064-A1-R4_MC09-2	Chr09	1414240	1418506	3.380464365	1.281188675	4.90E-05	0.001193049	a1
MvSl-1064-A1-R4_MC12g11242	MvSl-1064-A1-R4_MC12	Chr12	1236394	1237400	4.962730019	1.282149404	4.52E-07	1.53E-05	a1
MvSl-1064-A1-R4_MC14g11964	MvSl-1064-A1-R4_MC14	Chr14	538082	541861	3.187825519	1.283737944	8.97E-05	0.002062524	a1
MvSl-1064-A1-R4_MC11g10592	MvSl-1064-A1-R4_MC11	Chr11	1063136	1065406	7.906378509	1.285857282	0.002907212	0.042851304	a1
MvSl-1064-A1-R4_MC05-3g06566	MvSl-1064-A1-R4_MC05-3	Chr05	372360	377356	6.81078045	1.286824258	1.48E-06	4.60E-05	a1
MvSl-1064-A1-R4_MC12g11142	MvSl-1064-A1-R4_MC12	Chr12	998442	999413	5.608338596	1.294840708	8.80E-08	3.26E-06	a1
MvSl-1064-A1-R4_MC02g04206	MvSl-1064-A1-R4_MC02	Chr02	2471733	2472188	1.433676124	1.296123341	0.001462276	0.024133196	a1
MvSl-1064-A1-R4_A1g00106	MvSl-1064-A1-R4_A1	aMAT	192447	192848	2.222659039	1.297354832	0.002461132	0.037571822	a1
MvSl-1064-A1-R4_MC01-1g02327	MvSl-1064-A1-R4_MC01-1	Chr01	1003116	1003975	5.069752489	1.302089393	8.42E-07	2.73E-05	a1
MvSl-1064-A1-R4_MC04-1g05801	MvSl-1064-A1-R4_MC04-1	Chr04	1233222	1233788	4.081874662	1.30398895	0.000118485	0.002637832	a1
MvSl-1064-A1-R4_MC06g07471	MvSl-1064-A1-R4_MC06	Chr06	1566396	1569472	3.038088409	1.30414905	0.00016971	0.003609079	a1
MvSl-1064-A1-R4_MC01-1g02422	MvSl-1064-A1-R4_MC01-1	Chr01	1205423	1215381	2.357142209	1.306802239	0.001077461	0.018761564	a1
MvSl-1064-A1-R4_MC01-1g02352	MvSl-1064-A1-R4_MC01-1	Chr01	1050803	1050955	2.774253713	1.313881112	0.001196837	0.020504532	a1
MvSl-1064-A1-R4_MC13g11418	MvSl-1064-A1-R4_MC13	Chr13	299918	302275	3.243343311	1.324401231	2.61E-05	0.000664809	a1
MvSl-1064-A1-R4_MC02g03772	MvSl-1064-A1-R4_MC02	Chr02	1436112	1442398	2.779796718	1.342986243	0.000139778	0.003040611	a1
MvSl-1064-A1-R4_MC01-2g03070	MvSl-1064-A1-R4_MC01-2	Chr01	2811814	2812791	4.877546555	1.345462198	2.19E-08	8.80E-07	a1
MvSl-1064-A1-R4_MC09-2g08965	MvSl-1064-A1-R4_MC09-2	Chr09	124311	124799	4.702233171	1.345593134	1.90E-06	5.85E-05	a1
MvSl-1064-A1-R4_MC12g10779	MvSl-1064-A1-R4_MC12	Chr12	82041	82394	5.649779363	1.346904255	1.70E-05	0.000452051	a1
MvSl-1064-A1-R4_MC03g05222	MvSl-1064-A1-R4_MC03	Chr03	2356833	2357805	4.510500557	1.350894625	8.35E-08	3.13E-06	a1
MvSl-1064-A1-R4_MC02g03606	MvSl-1064-A1-R4_MC02	Chr02	1060724	1063651	8.120431057	1.354539397	1.69E-09	7.67E-08	a1
MvSl-1064-A1-R4_MC14g11747	MvSl-1064-A1-R4_MC14	Chr14	35118	38034	1.923186572	1.355370256	0.00034009	0.006836635	a1
MvSl-1064-A1-R4_MC06g07033	MvSl-1064-A1-R4_MC01-1	Chr01	1	3803	5.313732564	1.357013949	4.43E-06	0.00012666	a1
MvSl-1064-A1-R4_MC05-2g06418	MvSl-1064-A1-R4_MC05-2	Chr05	262569	262910	2.225551998	1.360669113	0.000231895	0.004748972	a1
MvSl-1064-A1-R4_MC01-1g02440	MvSl-1064-A1-R4_MC01-1	Chr01	1271215	1271952	2.230307934	1.361133819	0.000772005	0.014193273	a1
MvSl-1064-A1-R4_MC07g07835	MvSl-1064-A1-R4_MC07	Chr07	696657	699613	1.205646841	1.362783364	0.001577586	0.02564027	a1
MvSl-1064-A1-R4_MC06g07078	MvSl-1064-A1-R4_MC06	Chr06	593151	594060	1.526893421	1.364209618	0.001358062	0.022720301	a1
MvSl-1064-A1-R4_A1g00118	MvSl-1064-A1-R4_A1	aMAT	3139638	3144611	5.107026535	1.366976139	3.32E-09	1.45E-07	a1
MvSl-1064-A1-R4_MC07g08076	MvSl-1064-A1-R4_MC07	Chr07	1305828	1307606	5.957799741	1.375843913	2.21E-06	6.72E-05	a1
MvSl-1064-A1-R4_MC07g07851	MvSl-1064-A1-R4_MC07	Chr07	743304	745005	1.904813697	1.378408857	0.000917835	0.016415427	a1
MvSl-1064-A1-R4_MC10-1g09833	MvSl-1064-A1-R4_MC10-1	Chr10	316220	317941	5.54775169	1.387141088	2.77E-10	1.45E-08	a1
MvSl-1064-A1-R4_MC14g11969	MvSl-1064-A1-R4_MC14	Chr14	550878	551151	7.952584437	1.39565136	1.82E-10	9.66E-09	a1
MvSl-1064-A1-R4_MC09-2g09466	MvSl-1064-A1-R4_MC09-2	Chr09	1376037	1378579	4.224494913	1.396756011	4.59E-06	0.000130418	a1
MvSl-1064-A1-R4_MC07g07754	MvSl-1064-A1-R4_MC07	Chr07	498542	499897	5.24315409	1.400437442	4.07E-10	2.05E-08	a1
MvSl-1064-A1-R4_MC11g10384	MvSl-1064-A1-R4_MC11	Chr11	540353	542555	6.806193704	1.400624731	6.45E-13	4.59E-11	a1
MvSl-1064-A1-R4_A1g00230	MvSl-1064-A1-R4_A1	aMAT	919803	924298	5.230187082	1.402672746	2.99E-09	1.32E-07	a1
MvSl-1064-A1-R4_MC15g12018	MvSl-1064-A1-R4_MC15	Chr15	13959	14910	7.526825934	1.414007835	5.40E-12	3.42E-10	a1
MvSl-1064-A1-R4_MC04-1g06004	MvSl-1064-A1-R4_MC04-1	Chr04	1684277	1685047	2.53896622	1.420965945	6.77E-05	0.001589222	a1
MvSl-1064-A1-R4_MC02g03584	MvSl-1064-A1-R4_MC02	Chr02	986958	989474	2.920795607	1.425187622	2.41E-05	0.000619738	a1
MvSl-1064-A1-R4_A1g00481	MvSl-1064-A1-R4_A1	aMAT	641110	646152	3.113213048	1.429781111	1.96E-05	0.000511192	a1
MvSl-1064-A1-R4_MC03g05187	MvSl-1064-A1-R4_MC03	Chr03	2259638	2261730	5.307145387	1.436737543	2.16E-09	9.66E-08	a1
MvSl-1064-A1-R4_MC03g05233	MvSl-1064-A1-R4_MC03	Chr03	2381786	2383232	4.640688944	1.441384271	2.09E-08	8.49E-07	a1
MvSl-1064-A1-R4_A1g01290	MvSl-1064-A1-R4_A1	aMAT	1185421	1186806	5.58068721	1.448121849	1.49E-11	9.04E-10	a1
MvSl-1064-A1-R4_MC11g10248	MvSl-1064-A1-R4_MC11	Chr11	203470	205831	5.368312864	1.456453453	2.99E-10	1.56E-08	a1
MvSl-1064-A1-R4_MC05-2g06338	MvSl-1064-A1-R4_MC05-2	Chr05	201219	202635	1.006955456	1.456580705	0.001286246	0.021731449	a1
MvSl-1064-A1-R4_MC02g03297	MvSl-1064-A1-R4_MC02	Chr02	314523	318088	7.583946633	1.458376395	1.84E-09	8.30E-08	a1
MvSl-1064-A1-R4_MC07g08249	MvSl-1064-A1-R4_MC08	Chr08	372	3020	0.980460751	1.469973676	0.002363099	0.036269537	a1
MvSl-1064-A1-R4_MC16g12187	MvSl-1064-A1-R4_MC16	Chr16	35570	37944	4.675533717	1.473637401	2.95E-07	1.04E-05	a1
MvSl-1064-A1-R4_MC11g10508	MvSl-1064-A1-R4_MC11	Chr11	843012	847906	2.236112288	1.475281117	0.00152181	0.024875634	a1
MvSl-1064-A1-R4_MC03g05094	MvSl-1064-A1-R4_MC03	Chr03	2040299	2044931	2.771869372	1.476143872	1.88E-05	0.000496078	a1
MvSl-1064-A1-R4_MC01-1g02398	MvSl-1064-A1-R4_MC01-1	Chr01	1148765	1149067	2.976696741	1.47762747	5.30E-06	0.000148119	a1
MvSl-1064-A1-R4_MC14g11979	MvSl-1064-A1-R4_MC14	Chr14	571151	572631	4.141245508	1.487069027	7.03E-08	2.67E-06	a1
MvSl-1064-A1-R4_A1g00246	MvSl-1064-A1-R4_A1	aMAT	616404	620052	6.804052816	1.489921975	1.13E-15	1.03E-13	a1
MvSl-1064-A1-R4_MC03g04792	MvSl-1064-A1-R4_MC03	Chr03	1309316	1310027	6.638601378	1.501846069	7.55E-14	5.92E-12	a1
MvSl-1064-A1-R4_MC09-2g09478	MvSl-1064-A1-R4_MC09-2	Chr09	1396465	1397585	3.569253748	1.508203407	4.59E-06	0.000130418	a1
MvSl-1064-A1-R4_MC11g10255	MvSl-1064-A1-R4_MC11	Chr11	219624	221850	6.348177595	1.514154433	1.53E-09	7.03E-08	a1
MvSl-1064-A1-R4_MC05-2g06312	MvSl-1064-A1-R4_MC05-2	Chr05	184405	184596	2.736081462	1.524409022	2.54E-05	0.000648047	a1
MvSl-1064-A1-R4_MC05-1g06264	MvSl-1064-A1-R4_MC05-1	Chr05	142427	143277	0.52813479	1.525133551	0.001822178	0.029117385	a1
MvSl-1064-A1-R4_MC15g12135	MvSl-1064-A1-R4_MC15	Chr15	307421	310256	4.535082749	1.527747495	1.40E-06	4.39E-05	a1
MvSl-1064-A1-R4_MC05-2g06305	MvSl-1064-A1-R4_MC05-2	Chr05	178795	180229	1.916586136	1.529982122	0.000880521	0.01588096	a1
MvSl-1064-A1-R4_MC07g07963	MvSl-1064-A1-R4_MC07	Chr07	1030751	1031712	0.37134161	1.543742683	0.00184865	0.029354744	a1
MvSl-1064-A1-R4_MC11g10204	MvSl-1064-A1-R4_MC11	Chr11	98495	99967	0.370961422	1.547066366	0.003092389	0.045114057	a1
MvSl-1064-A1-R4_MC11g10629	MvSl-1064-A1-R4_MC11	Chr11	1139725	1141353	1.480112874	1.553788472	0.000617703	0.011761122	a1
MvSl-1064-A1-R4_MC03g05014	MvSl-1064-A1-R4_MC03	Chr03	1837082	1839243	5.730652795	1.556657673	1.65E-13	1.25E-11	a1
MvSl-1064-A1-R4_MC11g10654	MvSl-1064-A1-R4_MC11	Chr11	1214897	1216735	1.444035644	1.567776314	0.00135666	0.022720301	a1
MvSl-1064-A1-R4_MC01-1g01722	MvSl-1064-A1-R4_MC01-1	Chr01	38506	38703	1.262542711	1.577594889	0.000191006	0.004012616	a1
MvSl-1064-A1-R4_MC12g11112	MvSl-1064-A1-R4_MC12	Chr12	919694	921438	10.15924918	1.578143114	0.000232199	0.004748972	a1
MvSl-1064-A1-R4_MC03g05037	MvSl-1064-A1-R4_MC03	Chr03	1878565	1881205	0.397471909	1.584511224	0.002528383	0.038121949	a1
MvSl-1064-A1-R4_MC11g10554	MvSl-1064-A1-R4_MC11	Chr11	976602	978972	6.83127355	1.586851029	6.07E-09	2.59E-07	a1
MvSl-1064-A1-R4_MC01-1g02419	MvSl-1064-A1-R4_MC01-1	Chr01	1199211	1200619	0.855704401	1.58694583	0.000780451	0.014317751	a1
MvSl-1064-A1-R4_MC03g05016	MvSl-1064-A1-R4_MC03	Chr03	1841396	1841971	1.788009434	1.58973385	7.50E-05	0.001751383	a1
MvSl-1064-A1-R4_MC15g12050	MvSl-1064-A1-R4_MC15	Chr15	92522	96549	3.937412235	1.608824084	2.91E-06	8.64E-05	a1
MvSl-1064-A1-R4_MC03g04565	MvSl-1064-A1-R4_MC03	Chr03	746224	747360	4.970718586	1.623364984	4.15E-08	1.61E-06	a1
MvSl-1064-A1-R4_MC02g03274	MvSl-1064-A1-R4_MC02	Chr02	268343	269781	2.961982537	1.646340887	1.16E-06	3.67E-05	a1
MvSl-1064-A1-R4_MC01-2g02970	MvSl-1064-A1-R4_MC01-2	Chr01	2553249	2553440	5.447410202	1.648002224	9.61E-14	7.40E-12	a1
MvSl-1064-A1-R4_MC08g08368	MvSl-1064-A1-R4_MC08	Chr08	319491	320700	6.24033299	1.652782076	3.36E-11	1.95E-09	a1
MvSl-1064-A1-R4_MC03g05149	MvSl-1064-A1-R4_MC03	Chr03	2176003	2177343	2.852269812	1.65530861	6.07E-06	0.0001685	a1
MvSl-1064-A1-R4_MC11g10177	MvSl-1064-A1-R4_MC11	Chr11	56006	58599	1.886331883	1.656768508	0.00012693	0.002808678	a1
MvSl-1064-A1-R4_MC02g03495	MvSl-1064-A1-R4_MC02	Chr02	787700	788051	4.307325271	1.675742645	8.26E-10	3.99E-08	a1
MvSl-1064-A1-R4_MC01-1g02843	MvSl-1064-A1-R4_MC01-1	Chr01	2250647	2251923	3.389900229	1.678077454	8.43E-07	2.73E-05	a1
MvSl-1064-A1-R4_MC01-1g02022	MvSl-1064-A1-R4_MC01-1	Chr01	406833	408842	3.375173819	1.684384058	4.05E-07	1.39E-05	a1
MvSl-1064-A1-R4_MC03g04822	MvSl-1064-A1-R4_MC03	Chr03	1380725	1381468	3.724393754	1.693889296	2.14E-08	8.62E-07	a1
MvSl-1064-A1-R4_MC01-1g01777	MvSl-1064-A1-R4_MC01-1	Chr01	97489	102257	0.893480165	1.696559261	0.000204772	0.004269755	a1
MvSl-1064-A1-R4_MC02g03808	MvSl-1064-A1-R4_MC02	Chr02	1519005	1519896	5.853075367	1.722787903	8.65E-14	6.72E-12	a1
MvSl-1064-A1-R4_MC04-1g05376	MvSl-1064-A1-R4_MC04-1	Chr04	172091	172368	8.957465633	1.730684959	4.84E-11	2.78E-09	a1
MvSl-1064-A1-R4_MC06g06907	MvSl-1064-A1-R4_MC06	Chr06	138764	138937	4.985523568	1.740398534	3.64E-12	2.39E-10	a1
MvSl-1064-A1-R4_MC07g08153	MvSl-1064-A1-R4_MC07	Chr07	1484639	1486372	4.692941115	1.763257008	1.66E-11	1.00E-09	a1
MvSl-1064-A1-R4_MC01-1g02736	MvSl-1064-A1-R4_MC01-1	Chr01	1975065	1975229	4.435738294	1.788231827	1.80E-10	9.66E-09	a1
MvSl-1064-A1-R4_MC09-2g08943	MvSl-1064-A1-R4_MC09-2	Chr09	65141	68255	2.17228297	1.793207713	3.37E-06	9.87E-05	a1
MvSl-1064-A1-R4_MC04-1g05907	MvSl-1064-A1-R4_MC04-1	Chr04	1483230	1484965	0.843904036	1.820048438	0.000116158	0.002599575	a1
MvSl-1064-A1-R4_MC02g03394	MvSl-1064-A1-R4_MC02	Chr02	592447	594811	4.007145182	1.829171379	5.12E-10	2.52E-08	a1
MvSl-1064-A1-R4_MC01-1g01975	MvSl-1064-A1-R4_MC01-1	Chr01	350124	350737	8.750352246	1.831454124	5.51E-13	3.96E-11	a1
MvSl-1064-A1-R4_A1g00929	MvSl-1064-A1-R4_A1	aMAT	3137879	3139458	1.317853258	1.834083721	0.000130504	0.002875464	a1
MvSl-1064-A1-R4_MC11g10627	MvSl-1064-A1-R4_MC11	Chr11	1137072	1137356	2.718644335	1.837999833	1.82E-07	6.60E-06	a1
MvSl-1064-A1-R4_MC03g04585	MvSl-1064-A1-R4_MC03	Chr03	797211	798213	7.350184365	1.842880175	9.19E-20	1.05E-17	a1
MvSl-1064-A1-R4_MC14g11984	MvSl-1064-A1-R4_MC14	Chr14	578466	581232	2.776045338	1.858524207	1.00E-07	3.69E-06	a1
MvSl-1064-A1-R4_A1g00745	MvSl-1064-A1-R4_A1	aMAT	1111101	1112366	5.847982363	1.868153555	2.87E-17	2.95E-15	a1
MvSl-1064-A1-R4_MC03g05099	MvSl-1064-A1-R4_MC03	Chr03	2060022	2061623	4.355148408	1.871965153	1.82E-11	1.09E-09	a1
MvSl-1064-A1-R4_MC04-1g05863	MvSl-1064-A1-R4_MC04-1	Chr04	1367721	1368435	0.354451979	1.886897546	0.000225784	0.004651157	a1
MvSl-1064-A1-R4_MC10-2g09908	MvSl-1064-A1-R4_MC10-2	Chr10	411857	413747	3.560830862	1.888184347	7.98E-10	3.88E-08	a1
MvSl-1064-A1-R4_MC15g12121	MvSl-1064-A1-R4_MC15	Chr15	277836	279747	4.53071878	1.909067798	6.57E-12	4.10E-10	a1
MvSl-1064-A1-R4_A1g01383	MvSl-1064-A1-R4_A1	aMAT	914330	919259	5.723893005	1.918429351	1.22E-17	1.27E-15	a1
MvSl-1064-A1-R4_MC02g03893	MvSl-1064-A1-R4_MC02	Chr02	1694164	1698896	5.706666893	1.925451973	1.11E-14	9.20E-13	a1
MvSl-1064-A1-R4_MC06g07296	MvSl-1064-A1-R4_MC06	Chr06	1173410	1175964	4.601826071	1.929546221	2.56E-11	1.51E-09	a1
MvSl-1064-A1-R4_MC10-1g09794	MvSl-1064-A1-R4_MC10-1	Chr10	266742	267496	5.200385096	1.942385937	8.97E-17	9.02E-15	a1
MvSl-1064-A1-R4_A1g00383	MvSl-1064-A1-R4_A1	aMAT	893809	894012	2.973716818	1.958261326	1.19E-06	3.77E-05	a1
MvSl-1064-A1-R4_MC11g10628	MvSl-1064-A1-R4_MC11	Chr11	1138918	1139508	0.408178288	1.960889372	0.000108992	0.002458496	a1
MvSl-1064-A1-R4_MC06g07064	MvSl-1064-A1-R4_MC06	Chr06	532964	537850	2.46464478	1.960960458	1.30E-06	4.10E-05	a1
MvSl-1064-A1-R4_MC03g04909	MvSl-1064-A1-R4_MC03	Chr03	1597021	1598099	4.094421482	1.966043025	2.64E-12	1.79E-10	a1
MvSl-1064-A1-R4_MC02g04198	MvSl-1064-A1-R4_MC02	Chr02	2450386	2452210	0.630684749	1.982177055	9.49E-05	0.002156923	a1
MvSl-1064-A1-R4_MC01-1g01827	MvSl-1064-A1-R4_MC01-1	Chr01	155329	157048	4.688492935	1.988514603	1.14E-11	6.98E-10	a1
MvSl-1064-A1-R4_MC11g10630	MvSl-1064-A1-R4_MC11	Chr11	1143521	1145206	2.394159431	1.991407592	8.94E-06	0.000244239	a1
MvSl-1064-A1-R4_MC11g10735	MvSl-1064-A1-R4_MC11	Chr11	1424266	1428049	2.355457261	2.004357253	2.68E-07	9.56E-06	a1
MvSl-1064-A1-R4_MC14g11965	MvSl-1064-A1-R4_MC14	Chr14	546722	550595	3.571178344	2.034267952	4.35E-10	2.17E-08	a1
MvSl-1064-A1-R4_MC02g03362	MvSl-1064-A1-R4_MC02	Chr02	509780	510497	5.133122763	2.042368447	1.52E-09	7.01E-08	a1
MvSl-1064-A1-R4_MC10-1g09823	MvSl-1064-A1-R4_MC10-1	Chr10	300108	300658	1.88980763	2.050451786	3.59E-06	0.000103703	a1
MvSl-1064-A1-R4_MC09-2g08966	MvSl-1064-A1-R4_MC09-2	Chr09	124914	125426	3.265027026	2.05949936	3.30E-07	1.16E-05	a1
MvSl-1064-A1-R4_MC07g08004	MvSl-1064-A1-R4_MC07	Chr07	1124271	1124576	5.496277189	2.069579251	7.60E-11	4.25E-09	a1
MvSl-1064-A1-R4_MC05-3g06733	MvSl-1064-A1-R4_MC05-3	Chr05	632784	634814	7.177510451	2.074478968	3.00E-24	3.94E-22	a1
MvSl-1064-A1-R4_MC01-1g01978	MvSl-1064-A1-R4_MC01-1	Chr01	352636	356043	5.931386702	2.105009706	5.56E-16	5.28E-14	a1
MvSl-1064-A1-R4_MC12g10966	MvSl-1064-A1-R4_MC12	Chr12	555127	556274	3.629361555	2.12623426	1.59E-10	8.66E-09	a1
MvSl-1064-A1-R4_MC08g08367	MvSl-1064-A1-R4_MC08	Chr08	312848	317889	3.81216244	2.150414622	1.18E-08	4.86E-07	a1
MvSl-1064-A1-R4_MC04-1g05388	MvSl-1064-A1-R4_MC04-1	Chr04	196274	196470	1.377178982	2.153663353	6.23E-05	0.001474833	a1
MvSl-1064-A1-R4_MC02g03676	MvSl-1064-A1-R4_MC02	Chr02	1223395	1223826	0.906972995	2.189753815	3.96E-06	0.000113628	a1
MvSl-1064-A1-R4_MC02g03891	MvSl-1064-A1-R4_MC02	Chr02	1689978	1693166	6.164949462	2.21026572	3.50E-16	3.36E-14	a1
MvSl-1064-A1-R4_MC16g12194	MvSl-1064-A1-R4_MC16	Chr16	50983	51374	0.077584683	2.218431815	0.000161159	0.003461684	a1
MvSl-1064-A1-R4_MC01-1g02787	MvSl-1064-A1-R4_MC01-1	Chr01	2125745	2127140	2.61570149	2.286433325	3.74E-10	1.89E-08	a1
MvSl-1064-A1-R4_MC14g11989	MvSl-1064-A1-R4_MC14	Chr14	591523	594158	1.269542921	2.306650565	6.96E-07	2.29E-05	a1
MvSl-1064-A1-R4_MC03g04419	MvSl-1064-A1-R4_MC03	Chr03	389570	391739	3.532135476	2.351411102	2.16E-13	1.58E-11	a1
MvSl-1064-A1-R4_A1g01138	MvSl-1064-A1-R4_A1	aMAT	430224	432154	5.39300314	2.365433726	6.00E-22	7.44E-20	a1
MvSl-1064-A1-R4_MC11g10573	MvSl-1064-A1-R4_MC11	Chr11	1014781	1015475	3.809894194	2.371397114	1.88E-13	1.40E-11	a1
MvSl-1064-A1-R4_MC05-3g06760	MvSl-1064-A1-R4_MC05-3	Chr05	687412	690448	0.110296257	2.406505	0.000213704	0.004434365	a1
MvSl-1064-A1-R4_MC01-1g02871	MvSl-1064-A1-R4_MC01-1	Chr01	2337505	2339194	2.232606078	2.407514665	4.86E-08	1.87E-06	a1
MvSl-1064-A1-R4_MC05-3g06813	MvSl-1064-A1-R4_MC05-3	Chr05	817253	818315	4.833596031	2.412579449	8.70E-20	1.00E-17	a1
MvSl-1064-A1-R4_A1g00349	MvSl-1064-A1-R4_A1	aMAT	1701948	1703146	10.89651077	2.448345756	1.57E-10	8.58E-09	a1
MvSl-1064-A1-R4_MC02g03384	MvSl-1064-A1-R4_MC02	Chr02	549572	549877	7.47162282	2.468218596	2.51E-28	4.13E-26	a1
MvSl-1064-A1-R4_MC02g03455	MvSl-1064-A1-R4_MC02	Chr02	724443	725309	1.733229493	2.515322922	5.57E-07	1.87E-05	a1
MvSl-1064-A1-R4_MC02g03366	MvSl-1064-A1-R4_MC02	Chr02	510570	514733	0.531627403	2.548127895	1.26E-05	0.000335816	a1
MvSl-1064-A1-R4_MC01-2g02957	MvSl-1064-A1-R4_MC01-2	Chr01	2530520	2530747	3.101767908	2.559863191	2.59E-13	1.88E-11	a1
MvSl-1064-A1-R4_MC05-2g06318	MvSl-1064-A1-R4_MC05-2	Chr05	186773	187370	5.355995492	2.561929224	1.24E-21	1.51E-19	a1
MvSl-1064-A1-R4_MC04-1g05312	MvSl-1064-A1-R4_MC04-1	Chr04	54684	56011	1.902024203	2.569657342	8.35E-10	4.01E-08	a1
MvSl-1064-A1-R4_MC02g03469	MvSl-1064-A1-R4_MC02	Chr02	757207	758019	1.825162889	2.571153308	3.01E-09	1.32E-07	a1
MvSl-1064-A1-R4_A1g00030	MvSl-1064-A1-R4_A1	aMAT	60303	60627	7.934547299	2.637888472	2.29E-30	4.36E-28	a1
MvSl-1064-A1-R4_MC04-2g06086	MvSl-1064-A1-R4_MC04-2	Chr04	1916355	1917286	7.25538436	2.668295191	1.25E-33	2.74E-31	a1
MvSl-1064-A1-R4_MC13g11715	MvSl-1064-A1-R4_MC13	Chr13	1003792	1007748	6.681233035	2.720484396	3.79E-30	6.89E-28	a1
MvSl-1064-A1-R4_MC10-2g09910	MvSl-1064-A1-R4_MC10-2	Chr10	413125	414807	3.145276226	2.747021883	2.95E-14	2.35E-12	a1
MvSl-1064-A1-R4_MC01-2g02966	MvSl-1064-A1-R4_MC01-2	Chr01	2548787	2549811	1.036846779	2.759774207	3.28E-08	1.29E-06	a1
