gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	group1.expr.minus	group2.expr.minus	ratio
MvSl-1064-A1-R4_A1g01473	MvSl-1064-A1-R4_A1	aMAT	3293435	3294595	7.902287685	-0.067337126	0.784046654	0.999958419	7.577237599	8.110199868	8.093921911	7.757591783	7.843718734	7.925756847	-0.013910264
MvSl-1064-A1-R4_A1g01476	MvSl-1064-A1-R4_A1	aMAT	3299543	3301627	4.442655147	-0.162510548	0.530404147	0.999958419	4.455059175	4.25653539	4.408748092	4.624972271	4.355797283	4.516860181	-0.045923996
MvSl-1064-A1-R4_A1g01477	MvSl-1064-A1-R4_A1	aMAT	3302338	3304876	7.077285985	0.09102433	0.631924142	0.999958419	7.088722794	7.154681299	7.126144584	6.929408994	7.121702046	7.027776789	0.017601528
MvSl-1064-A1-R4_A1g01485	MvSl-1064-A1-R4_A1	aMAT	3318298	3320270	6.855161928	0.20008274	0.31715755	0.950853859	6.743439703	7.133657235	6.829824256	6.669414126	6.938548469	6.749619191	0.036500238
MvSl-1064-A1-R4_A1g01486	MvSl-1064-A1-R4_A1	aMAT	3320827	3323669	6.152951659	-0.281833757	0.185991433	0.820165003	6.165570737	5.824821486	6.10578747	6.447252237	5.995196112	6.276519853	-0.060050246
MvSl-1064-A1-R4_A1g01487	MvSl-1064-A1-R4_A1	aMAT	3323907	3326513	9.379576355	0.544634883	0.078311545	0.577456607	9.300749939	9.891824418	9.25923977	8.879428146	9.596287179	9.069333958	0.076371918
MvSl-1064-A1-R4_A1g01488	MvSl-1064-A1-R4_A1	aMAT	3327895	3332234	9.572324539	-0.514368776	0.06841638	0.536018569	9.274067516	9.310375134	9.806988829	9.806294749	9.292221325	9.806641789	-0.072966528
MvSl-1064-A1-R4_A1g01489	MvSl-1064-A1-R4_A1	aMAT	3332557	3333382	6.077523121	-0.051883585	0.803900824	0.999958419	5.876143213	6.207395422	6.21535569	5.981520014	6.041769318	6.098437852	-0.01221337
MvSl-1064-A1-R4_A1g01497	MvSl-1064-A1-R4_A1	aMAT	3352840	3353961	5.317151041	-0.217250176	0.31955055	0.951416354	5.207588871	5.201238654	5.446799695	5.39506329	5.204413762	5.420931492	-0.052623897
MvSl-1064-A1-R4_A1g01498	MvSl-1064-A1-R4_A1	aMAT	3354193	3355369	5.011860359	-0.06875351	0.769256884	0.999958419	4.961024947	4.992888089	5.147403428	4.936103264	4.976956518	5.041753346	-0.016594969
MvSl-1064-A1-R4_A1g01500	MvSl-1064-A1-R4_A1	aMAT	3362914	3366464	7.911400527	0.066253856	0.756774672	0.999958419	8.021761125	7.862149278	7.818446716	7.935038599	7.941955201	7.876742658	0.011025422
MvSl-1064-A1-R4_A1g01501	MvSl-1064-A1-R4_A1	aMAT	3366984	3368475	6.269490923	-0.01981801	0.920059363	0.999958419	6.113255244	6.392235207	6.368321605	6.184540514	6.252745226	6.27643106	-0.004960689
MvSl-1064-A1-R4_A1g01502	MvSl-1064-A1-R4_A1	aMAT	3368989	3374123	7.073503159	0.116427333	0.57317245	0.999958419	7.293115079	6.947418916	6.864160265	7.150090482	7.120266997	7.007125373	0.02123324
MvSl-1064-A1-R4_A1g01508	MvSl-1064-A1-R4_A1	aMAT	3383505	3385066	7.683111782	0.410649458	0.048287824	0.448632973	7.767323965	7.973123928	7.462045588	7.464842222	7.870223946	7.463443905	0.070799507
MvSl-1064-A1-R4_A1g01509	MvSl-1064-A1-R4_A1	aMAT	3385519	3388997	6.059181777	0.123501931	0.606310096	0.999958419	6.42809974	5.727148474	5.952522935	6.038779912	6.077624107	5.995651424	0.017755881
