gida1	dnds	dn	ds	gida2	dnds	dn	ds
MvSl-1064-A1-R4_MC05-2g06463	0.1499	0.0012	0.0081	MvSl-1064-A2-R4_MC05g06737	0.1498	0.0012	0.0081
MvSl-1064-A1-R4_MC05-2g06464	0.1985	0.0035	0.0176	MvSl-1064-A2-R4_MC05g06738	0.1985	0.0035	0.0176
MvSl-1064-A1-R4_MC05-2g06465	0.4344	0.0091	0.021	MvSl-1064-A2-R4_MC05g06739	0.4344	0.0091	0.021
MvSl-1064-A1-R4_MC05-2g06466	0.4465	0.003	0.0066	MvSl-1064-A2-R4_MC05g06740	0.4465	0.003	0.0066
MvSl-1064-A1-R4_MC05-2g06467	0.1576	0.0019	0.0118	MvSl-1064-A2-R4_MC05g06741	0.1576	0.0019	0.0118
MvSl-1064-A1-R4_MC05-2g06468	0.5152	0	0	MvSl-1064-A2-R4_MC05g06742	0.5049	0	0
MvSl-1064-A1-R4_MC05-2g06469	98.9996	0.007	0.0001	MvSl-1064-A2-R4_MC05g06743	98.9996	0.007	0.0001
MvSl-1064-A1-R4_MC05-2g06470	0.4497	0.003	0.0067	MvSl-1064-A2-R4_MC05g06744	0.4497	0.003	0.0067
MvSl-1064-A1-R4_MC05-2g06472	0.7201	0.0128	0.0177	MvSl-1064-A2-R4_MC05g06746	0.7201	0.0128	0.0177
MvSl-1064-A1-R4_MC05-2g06473	0.001	0	0.0094	MvSl-1064-A2-R4_MC05g06747	0.001	0	0.0094
MvSl-1064-A1-R4_MC05-2g06474	0.4749	0.006	0.0126	MvSl-1064-A2-R4_MC05g06748	0.4749	0.006	0.0126
MvSl-1064-A1-R4_MC05-2g06475	0.524	0.0045	0.0086	MvSl-1064-A2-R4_MC05g06749	0.524	0.0045	0.0086
MvSl-1064-A1-R4_MC05-2g06476	98.9996	0.0051	0.0001	MvSl-1064-A2-R4_MC05g06750	98.9996	0.0051	0.0001
MvSl-1064-A1-R4_MC05-2g06477	1.0791	0.0048	0.0044	MvSl-1064-A2-R4_MC05g06751	1.0791	0.0048	0.0044
MvSl-1064-A1-R4_MC05-2g06478	0.1464	0.0017	0.0118	MvSl-1064-A2-R4_MC05g06752	0.1465	0.0017	0.0118
MvSl-1064-A1-R4_MC05-2g06479	0.301	0.0034	0.0111	MvSl-1064-A2-R4_MC05g06753	0.301	0.0034	0.0111
MvSl-1064-A1-R4_MC05-2g06480	0.001	0	0.0046	MvSl-1064-A2-R4_MC05g06754	0.001	0	0.0046
MvSl-1064-A1-R4_MC05-2g06484	0.5081	0.0041	0.008	MvSl-1064-A2-R4_MC05g06758	0.5081	0.0041	0.008
MvSl-1064-A1-R4_MC05-3g06505	0.7965	0.0073	0.0092	MvSl-1064-A2-R4_MC05g06768	0.7965	0.0073	0.0092
MvSl-1064-A1-R4_MC05-3g06506	0.4766	0.0044	0.0093	MvSl-1064-A2-R4_MC05g06769	0.4766	0.0044	0.0093
MvSl-1064-A1-R4_MC05-3g06507	0.2616	0.0026	0.0101	MvSl-1064-A2-R4_MC05g06770	0.2616	0.0026	0.0101
MvSl-1064-A1-R4_MC05-3g06508	0.36	0.0039	0.0108	MvSl-1064-A2-R4_MC05g06771	0.36	0.0039	0.0108
MvSl-1064-A1-R4_MC05-3g06509	0.001	0	0.0092	MvSl-1064-A2-R4_MC05g06772	0.001	0	0.0092
MvSl-1064-A1-R4_MC05-3g06510	0.1347	0.0018	0.0131	MvSl-1064-A2-R4_MC05g06773	0.1347	0.0018	0.0131
MvSl-1064-A1-R4_MC05-3g06511	0.001	0	0.0081	MvSl-1064-A2-R4_MC05g06774	0.001	0	0.0081
MvSl-1064-A1-R4_MC05-3g06512	0.424	0.0064	0.0152	MvSl-1064-A2-R4_MC05g06775	0.424	0.0064	0.0152
MvSl-1064-A1-R4_MC05-3g06513	2.4017	0.0101	0.0042	MvSl-1064-A2-R4_MC05g06776	2.4017	0.0101	0.0042
MvSl-1064-A1-R4_MC05-3g06514	0.3494	0.0039	0.0112	MvSl-1064-A2-R4_MC05g06777	0.3494	0.0039	0.0112
MvSl-1064-A1-R4_MC05-3g06515	0.1686	0.0017	0.01	MvSl-1064-A2-R4_MC05g06778	0.1686	0.0017	0.01
MvSl-1064-A1-R4_MC05-3g06516	0.4499	0.0042	0.0094	MvSl-1064-A2-R4_MC05g06779	0.4499	0.0042	0.0094
MvSl-1064-A1-R4_MC05-3g06517	0.001	0	0.0162	MvSl-1064-A2-R4_MC05g06780	0.001	0	0.0162
MvSl-1064-A1-R4_MC05-3g06518	0.2726	0.0024	0.0089	MvSl-1064-A2-R4_MC05g06781	0.2726	0.0024	0.0089
MvSl-1064-A1-R4_MC05-3g06519	0.1214	0.0019	0.016	MvSl-1064-A2-R4_MC05g06782	0.1214	0.0019	0.016
MvSl-1064-A1-R4_MC05-3g06520	3.7864	0.0145	0.0038	MvSl-1064-A2-R4_MC05g06783	3.7864	0.0145	0.0038
MvSl-1064-A1-R4_MC05-3g06524	0.3091	0.002	0.0066	MvSl-1064-A2-R4_MC05g06787	0.3091	0.002	0.0066
MvSl-1064-A1-R4_MC05-3g06525	0.4075	0.0041	0.0101	MvSl-1064-A2-R4_MC05g06788	0.4075	0.0041	0.0101
MvSl-1064-A1-R4_MC05-3g06526	0.2824	0.0026	0.0093	MvSl-1064-A2-R4_MC05g06789	0.2824	0.0026	0.0093
MvSl-1064-A1-R4_MC05-3g06527	0.8804	0.0068	0.0077	MvSl-1064-A2-R4_MC05g06790	0.8804	0.0068	0.0077
MvSl-1064-A1-R4_MC05-3g06528	0.5468	0.0033	0.006	MvSl-1064-A2-R4_MC05g06791	0.5468	0.0033	0.006
MvSl-1064-A1-R4_MC05-3g06529	0.5611	0.0031	0.0055	MvSl-1064-A2-R4_MC05g06792	0.5611	0.0031	0.0055
MvSl-1064-A1-R4_MC05-3g06530	0.5195	0.0014	0.0026	MvSl-1064-A2-R4_MC05g06793	0.5196	0.0014	0.0026
MvSl-1064-A1-R4_MC05-3g06531	0.098	0.0008	0.0083	MvSl-1064-A2-R4_MC05g06794	0.098	0.0008	0.0083
MvSl-1064-A1-R4_MC05-3g06534	98.9996	0.008	0.0001	MvSl-1064-A2-R4_MC05g06797	98.9996	0.008	0.0001
MvSl-1064-A1-R4_MC05-3g06535	0.2137	0.004	0.0189	MvSl-1064-A2-R4_MC05g06798	0.2137	0.004	0.0189
MvSl-1064-A1-R4_MC05-3g06536	0.1116	0.0026	0.0237	MvSl-1064-A2-R4_MC05g06799	0.1116	0.0026	0.0237
MvSl-1064-A1-R4_MC05-3g06537	1.5357	0.017	0.0111	MvSl-1064-A2-R4_MC05g06800	1.5357	0.017	0.0111
MvSl-1064-A1-R4_MC05-3g06539	0.3229	0.0015	0.0045	MvSl-1064-A2-R4_MC05g06802	0.3229	0.0015	0.0045
MvSl-1064-A1-R4_MC05-3g06540	0.4286	0.0024	0.0057	MvSl-1064-A2-R4_MC05g06803	0.4285	0.0024	0.0057
MvSl-1064-A1-R4_MC05-3g06541	98.9996	0.0068	0.0001	MvSl-1064-A2-R4_MC05g06804	98.9996	0.0068	0.0001
MvSl-1064-A1-R4_MC05-3g06542	0.3143	0.0036	0.0113	MvSl-1064-A2-R4_MC05g06805	0.3143	0.0036	0.0113
MvSl-1064-A1-R4_MC05-3g06543	0.3839	0.0117	0.0305	MvSl-1064-A2-R4_MC05g06806	0.3839	0.0117	0.0305
MvSl-1064-A1-R4_MC05-3g06544	0.4222	0.0034	0.0081	MvSl-1064-A2-R4_MC05g06807	0.4222	0.0034	0.0081
MvSl-1064-A1-R4_MC05-3g06545	0.7493	0.0077	0.0103	MvSl-1064-A2-R4_MC05g06808	0.7493	0.0077	0.0103
MvSl-1064-A1-R4_MC05-3g06546	0.0433	0.0004	0.0088	MvSl-1064-A2-R4_MC05g06809	0.0433	0.0004	0.0088
MvSl-1064-A1-R4_MC05-3g06547	0.756	0.0025	0.0033	MvSl-1064-A2-R4_MC05g06810	0.756	0.0025	0.0033
MvSl-1064-A1-R4_MC05-3g06548	0.6557	0.0028	0.0042	MvSl-1064-A2-R4_MC05g06811	0.6557	0.0028	0.0042
MvSl-1064-A1-R4_MC05-3g06549	0.6756	0.0035	0.0052	MvSl-1064-A2-R4_MC05g06812	0.6756	0.0035	0.0052
MvSl-1064-A1-R4_MC05-3g06550	0.4981	0.0029	0.0059	MvSl-1064-A2-R4_MC05g06813	0.4982	0.0029	0.0059
MvSl-1064-A1-R4_MC05-3g06551	1.4819	0.0037	0.0025	MvSl-1064-A2-R4_MC05g06814	1.4818	0.0037	0.0025
MvSl-1064-A1-R4_MC05-3g06552	0.1481	0.0026	0.0176	MvSl-1064-A2-R4_MC05g06815	0.1481	0.0026	0.0176
MvSl-1064-A1-R4_MC05-3g06553	0.6586	0.0054	0.0082	MvSl-1064-A2-R4_MC05g06816	0.6586	0.0054	0.0082
MvSl-1064-A1-R4_MC05-3g06554	98.9996	0.005	0.0001	MvSl-1064-A2-R4_MC05g06817	98.9996	0.005	0.0001
MvSl-1064-A1-R4_MC05-3g06555	0.9209	0.004	0.0044	MvSl-1064-A2-R4_MC05g06818	0.9209	0.004	0.0044
MvSl-1064-A1-R4_MC05-3g06556	0.8697	0.0037	0.0042	MvSl-1064-A2-R4_MC05g06819	0.8697	0.0037	0.0042
MvSl-1064-A1-R4_MC05-3g06557	0.9019	0.0047	0.0052	MvSl-1064-A2-R4_MC05g06820	0.9019	0.0047	0.0052
MvSl-1064-A1-R4_MC05-3g06558	0.2774	0.0053	0.0191	MvSl-1064-A2-R4_MC05g06821	0.2774	0.0053	0.0191
MvSl-1064-A1-R4_MC05-3g06559	1.1238	0.008	0.0071	MvSl-1064-A2-R4_MC05g06822	1.1238	0.008	0.0071
MvSl-1064-A1-R4_MC05-3g06560	1.0533	0.0024	0.0023	MvSl-1064-A2-R4_MC05g06823	1.0533	0.0024	0.0023
MvSl-1064-A1-R4_MC05-3g06561	1.4507	0.0051	0.0035	MvSl-1064-A2-R4_MC05g06824	1.4507	0.0051	0.0035
MvSl-1064-A1-R4_MC05-3g06562	0.001	0	0.0282	MvSl-1064-A2-R4_MC05g06825	0.001	0	0.0282
MvSl-1064-A1-R4_MC05-3g06565	0.2407	0.0061	0.0253	MvSl-1064-A2-R4_MC05g06828	0.2407	0.0061	0.0253
MvSl-1064-A1-R4_MC05-3g06567	0.4081	0.0041	0.01	MvSl-1064-A2-R4_MC05g06830	0.4081	0.0041	0.01
MvSl-1064-A1-R4_MC05-3g06568	0.3385	0.0047	0.0138	MvSl-1064-A2-R4_MC05g06831	0.3385	0.0047	0.0138
MvSl-1064-A1-R4_MC05-3g06569	0.1044	0.0012	0.0119	MvSl-1064-A2-R4_MC05g06832	0.1044	0.0012	0.0119
MvSl-1064-A1-R4_MC05-3g06570	0.348	0.0047	0.0135	MvSl-1064-A2-R4_MC05g06833	0.348	0.0047	0.0135
MvSl-1064-A1-R4_MC05-3g06571	0.8855	0.004	0.0045	MvSl-1064-A2-R4_MC05g06834	0.8854	0.004	0.0045
MvSl-1064-A1-R4_MC05-3g06572	1.0975	0.0056	0.0051	MvSl-1064-A2-R4_MC05g06835	1.0975	0.0056	0.0051
MvSl-1064-A1-R4_MC05-3g06573	98.9996	0.006	0.0001	MvSl-1064-A2-R4_MC05g06836	98.9996	0.006	0.0001
MvSl-1064-A1-R4_MC05-3g06574	98.9996	0.0129	0.0001	MvSl-1064-A2-R4_MC05g06837	98.9996	0.0129	0.0001
MvSl-1064-A1-R4_MC05-3g06575	98.9996	0.0044	0	MvSl-1064-A2-R4_MC05g06838	98.9996	0.0044	0
MvSl-1064-A1-R4_MC05-3g06576	0.2553	0.0051	0.0199	MvSl-1064-A2-R4_MC05g06839	0.2553	0.0051	0.0199
MvSl-1064-A1-R4_MC05-3g06578	0.4839	0.0036	0.0075	MvSl-1064-A2-R4_MC05g06841	0.4839	0.0036	0.0075
MvSl-1064-A1-R4_MC05-3g06579	0.8026	0.0073	0.009	MvSl-1064-A2-R4_MC05g06842	0.8026	0.0073	0.009
MvSl-1064-A1-R4_MC05-3g06580	0.001	0	0.0085	MvSl-1064-A2-R4_MC05g06843	0.001	0	0.0085
MvSl-1064-A1-R4_MC05-3g06581	0.001	0	0.003	MvSl-1064-A2-R4_MC05g06844	0.001	0	0.003
MvSl-1064-A1-R4_MC05-3g06582	0.4612	0.0018	0.0039	MvSl-1064-A2-R4_MC05g06845	0.4611	0.0018	0.0039
MvSl-1064-A1-R4_MC05-3g06583	0.137	0.0018	0.0132	MvSl-1064-A2-R4_MC05g06846	0.137	0.0018	0.0132
MvSl-1064-A1-R4_MC05-3g06584	0.4918	0.008	0.0164	MvSl-1064-A2-R4_MC05g06847	0.4918	0.008	0.0164
MvSl-1064-A1-R4_MC05-3g06586	1.3897	0.008	0.0058	MvSl-1064-A2-R4_MC05g06849	1.3897	0.008	0.0058
MvSl-1064-A1-R4_MC05-3g06587	0.5529	0.006	0.0109	MvSl-1064-A2-R4_MC05g06850	0.5529	0.006	0.0109
MvSl-1064-A1-R4_MC05-3g06588	0.7881	0.0087	0.011	MvSl-1064-A2-R4_MC05g06851	0.7881	0.0087	0.011
MvSl-1064-A1-R4_MC05-3g06589	1.0045	0.0133	0.0133	MvSl-1064-A2-R4_MC05g06852	1.0045	0.0133	0.0133
MvSl-1064-A1-R4_MC05-3g06591	0.4114	0.0025	0.006	MvSl-1064-A2-R4_MC05g06854	0.3426	0.0024	0.0071
MvSl-1064-A1-R4_MC05-3g06592	0.7226	0.0053	0.0074	MvSl-1064-A2-R4_MC05g06855	0.7226	0.0053	0.0074
MvSl-1064-A1-R4_MC05-3g06593	0.001	0	0	MvSl-1064-A2-R4_MC05g06856	0.5139	0	0
MvSl-1064-A1-R4_MC05-3g06594	98.9996	0.0069	0.0001	MvSl-1064-A2-R4_MC05g06857	98.9996	0.0069	0.0001
MvSl-1064-A1-R4_MC05-3g06596	98.9996	0.0034	0	MvSl-1064-A2-R4_MC05g06859	98.9996	0.0034	0
MvSl-1064-A1-R4_MC05-3g06599	0.4268	0	0	MvSl-1064-A2-R4_MC05g06862	0.3508	0	0
MvSl-1064-A1-R4_MC05-3g06600	0.4205	0	0	MvSl-1064-A2-R4_MC05g06863	0.001	0	0
MvSl-1064-A1-R4_MC05-3g06601	1.136	0.0031	0.0027	MvSl-1064-A2-R4_MC05g06864	1.1361	0.0031	0.0027
MvSl-1064-A1-R4_MC05-3g06602	98.9996	0.004	0	MvSl-1064-A2-R4_MC05g06865	98.9996	0.004	0
MvSl-1064-A1-R4_MC05-3g06603	0.3193	0.0052	0.0163	MvSl-1064-A2-R4_MC05g06866	0.3193	0.0052	0.0163
MvSl-1064-A1-R4_MC05-3g06607	98.9996	0.0014	0	MvSl-1064-A2-R4_MC05g06870	98.9996	0.0014	0
MvSl-1064-A1-R4_MC05-3g06609	0.7993	0.0049	0.0062	MvSl-1064-A2-R4_MC05g06872	0.7993	0.0049	0.0062
MvSl-1064-A1-R4_MC05-3g06610	0.1326	0.0008	0.006	MvSl-1064-A2-R4_MC05g06873	0.1326	0.0008	0.006
MvSl-1064-A1-R4_MC05-3g06611	0.2986	0.0046	0.0153	MvSl-1064-A2-R4_MC05g06874	0.2986	0.0046	0.0153
MvSl-1064-A1-R4_MC05-3g06612	0.2869	0.0034	0.0117	MvSl-1064-A2-R4_MC05g06875	0.2869	0.0034	0.0117
MvSl-1064-A1-R4_MC05-3g06613	0.5264	0.0048	0.0091	MvSl-1064-A2-R4_MC05g06876	0.5264	0.0048	0.0091
MvSl-1064-A1-R4_MC05-3g06614	0.0964	0.0013	0.0138	MvSl-1064-A2-R4_MC05g06877	0.0964	0.0013	0.0138
MvSl-1064-A1-R4_MC05-3g06615	98.9996	0.0033	0	MvSl-1064-A2-R4_MC05g06878	98.9996	0.0033	0
MvSl-1064-A1-R4_MC05-3g06616	98.9996	0.0032	0	MvSl-1064-A2-R4_MC05g06879	98.9996	0.0032	0
MvSl-1064-A1-R4_MC05-3g06617	0.001	0	0	MvSl-1064-A2-R4_MC05g06880	0.5126	0	0
MvSl-1064-A1-R4_MC05-3g06618	0.2696	0.0029	0.0108	MvSl-1064-A2-R4_MC05g06881	0.2696	0.0029	0.0108
MvSl-1064-A1-R4_MC05-3g06619	0.7034	0.0054	0.0076	MvSl-1064-A2-R4_MC05g06882	0.7034	0.0054	0.0076
MvSl-1064-A1-R4_MC05-3g06620	0.1345	0.0025	0.0187	MvSl-1064-A2-R4_MC05g06883	0.1345	0.0025	0.0187
MvSl-1064-A1-R4_MC05-3g06621	0.6794	0.0085	0.0125	MvSl-1064-A2-R4_MC05g06884	0.6794	0.0085	0.0125
MvSl-1064-A1-R4_MC05-3g06622	0.0421	0.0008	0.0199	MvSl-1064-A2-R4_MC05g06885	0.0421	0.0008	0.0199
MvSl-1064-A1-R4_MC05-3g06623	0.2731	0.0018	0.0067	MvSl-1064-A2-R4_MC05g06886	0.2731	0.0018	0.0067
MvSl-1064-A1-R4_MC05-3g06624	0.5335	0.0037	0.007	MvSl-1064-A2-R4_MC05g06887	0.5335	0.0037	0.007
MvSl-1064-A1-R4_MC05-3g06625	0.395	0.0025	0.0064	MvSl-1064-A2-R4_MC05g06888	0.395	0.0025	0.0064
MvSl-1064-A1-R4_MC05-3g06626	0.1256	0.0015	0.0116	MvSl-1064-A2-R4_MC05g06889	0.1256	0.0015	0.0116
MvSl-1064-A1-R4_MC05-3g06627	0.6636	0.0054	0.0081	MvSl-1064-A2-R4_MC05g06890	0.6636	0.0054	0.0081
MvSl-1064-A1-R4_MC05-3g06628	0.001	0	0	MvSl-1064-A2-R4_MC05g06891	0.444	0	0
MvSl-1064-A1-R4_MC05-3g06629	0.3251	0.0037	0.0114	MvSl-1064-A2-R4_MC05g06892	0.3251	0.0037	0.0114
MvSl-1064-A1-R4_MC05-3g06630	0.2019	0.0024	0.0118	MvSl-1064-A2-R4_MC05g06893	0.2019	0.0024	0.0118
MvSl-1064-A1-R4_MC05-3g06631	0.329	0	0	MvSl-1064-A2-R4_MC05g06894	98.9996	0	0
MvSl-1064-A1-R4_MC05-3g06632	0.19	0.0017	0.0088	MvSl-1064-A2-R4_MC05g06895	0.19	0.0017	0.0088
MvSl-1064-A1-R4_MC05-3g06633	0.2578	0.0031	0.0121	MvSl-1064-A2-R4_MC05g06896	0.2578	0.0031	0.0121
MvSl-1064-A1-R4_MC05-3g06634	0.0897	0.0014	0.0153	MvSl-1064-A2-R4_MC05g06897	0.0897	0.0014	0.0153
MvSl-1064-A1-R4_MC05-3g06635	0.4717	0	0	MvSl-1064-A2-R4_MC05g06898	0.4864	0	0
MvSl-1064-A1-R4_MC05-3g06637	0.001	0	0.0107	MvSl-1064-A2-R4_MC05g06900	0.001	0	0.0107
MvSl-1064-A1-R4_MC05-3g06638	0.001	0	0	MvSl-1064-A2-R4_MC05g06901	0.001	0	0
MvSl-1064-A1-R4_MC05-3g06639	0.166	0.0023	0.014	MvSl-1064-A2-R4_MC05g06902	0.166	0.0023	0.014
MvSl-1064-A1-R4_MC05-3g06640	0.5268	0.0038	0.0072	MvSl-1064-A2-R4_MC05g06903	0.5269	0.0038	0.0072
MvSl-1064-A1-R4_MC05-3g06641	0.8625	0.005	0.0058	MvSl-1064-A2-R4_MC05g06904	0.8625	0.005	0.0058
MvSl-1064-A1-R4_MC05-3g06642	98.9996	0.0075	0.0001	MvSl-1064-A2-R4_MC05g06905	98.9996	0.0075	0.0001
MvSl-1064-A1-R4_MC05-3g06645	1.5577	0.018	0.0116	MvSl-1064-A2-R4_MC05g06908	1.5577	0.018	0.0116
MvSl-1064-A1-R4_MC05-3g06647	98.9996	0.003	0	MvSl-1064-A2-R4_MC05g06910	98.9996	0.003	0
MvSl-1064-A1-R4_MC05-3g06648	0.6442	0.0043	0.0067	MvSl-1064-A2-R4_MC05g06911	0.6441	0.0043	0.0067
MvSl-1064-A1-R4_MC05-3g06649	0.4757	0.0015	0.0032	MvSl-1064-A2-R4_MC05g06912	0.4757	0.0015	0.0032
MvSl-1064-A1-R4_MC05-3g06650	0.1045	0.001	0.0098	MvSl-1064-A2-R4_MC05g06913	0.1045	0.001	0.0098
MvSl-1064-A1-R4_MC05-3g06651	0.2597	0.0054	0.0208	MvSl-1064-A2-R4_MC05g06914	0.2597	0.0054	0.0208
MvSl-1064-A1-R4_MC05-3g06652	0.4871	0.0028	0.0057	MvSl-1064-A2-R4_MC05g06915	0.4871	0.0028	0.0057
MvSl-1064-A1-R4_MC05-3g06653	0.8699	0.0072	0.0083	MvSl-1064-A2-R4_MC05g06916	0.87	0.0072	0.0083
MvSl-1064-A1-R4_MC05-3g06654	0.4612	0.003	0.0065	MvSl-1064-A2-R4_MC05g06917	0.4612	0.003	0.0065
MvSl-1064-A1-R4_MC05-3g06655	0.4696	0.0028	0.006	MvSl-1064-A2-R4_MC05g06918	0.4696	0.0028	0.006
MvSl-1064-A1-R4_MC05-3g06656	2.4294	0.0043	0.0018	MvSl-1064-A2-R4_MC05g06919	2.4295	0.0043	0.0018
MvSl-1064-A1-R4_MC05-3g06657	0.5727	0.0037	0.0065	MvSl-1064-A2-R4_MC05g06920	0.5727	0.0037	0.0065
MvSl-1064-A1-R4_MC05-3g06660	0.0155	0.0004	0.0227	MvSl-1064-A2-R4_MC05g06923	0.0155	0.0004	0.0227
MvSl-1064-A1-R4_MC05-3g06661	0.2877	0.003	0.0105	MvSl-1064-A2-R4_MC05g06924	0.2877	0.003	0.0105
MvSl-1064-A1-R4_MC05-3g06662	0.1772	0.0021	0.0118	MvSl-1064-A2-R4_MC05g06925	0.1772	0.0021	0.0118
MvSl-1064-A1-R4_MC05-3g06663	3.0454	0.0178	0.0059	MvSl-1064-A2-R4_MC05g06926	2.2502	0.0122	0.0054
MvSl-1064-A1-R4_MC05-3g06664	0.2331	0.0011	0.0049	MvSl-1064-A2-R4_MC05g06927	0.2331	0.0011	0.0049
MvSl-1064-A1-R4_MC05-3g06665	98.9996	0.0493	0.0005	MvSl-1064-A2-R4_MC05g06928	98.9996	0.0493	0.0005
MvSl-1064-A1-R4_MC05-3g06667	0.1651	0.0028	0.0167	MvSl-1064-A2-R4_MC05g06930	0.1651	0.0028	0.0167
MvSl-1064-A1-R4_MC05-3g06668	0.2782	0.0023	0.0084	MvSl-1064-A2-R4_MC05g06931	0.2782	0.0023	0.0084
MvSl-1064-A1-R4_MC05-3g06669	0.2751	0.0032	0.0116	MvSl-1064-A2-R4_MC05g06932	0.2751	0.0032	0.0116
MvSl-1064-A1-R4_MC05-3g06670	0.1528	0.0033	0.0215	MvSl-1064-A2-R4_MC05g06933	0.1528	0.0033	0.0215
MvSl-1064-A1-R4_MC05-3g06671	0.8389	0.0034	0.0041	MvSl-1064-A2-R4_MC05g06934	0.839	0.0034	0.0041
MvSl-1064-A1-R4_MC05-3g06672	0.794	0.0046	0.0058	MvSl-1064-A2-R4_MC05g06935	0.794	0.0046	0.0058
MvSl-1064-A1-R4_MC05-3g06673	0.3508	0.0031	0.0089	MvSl-1064-A2-R4_MC05g06936	0.3508	0.0031	0.0089
MvSl-1064-A1-R4_MC05-3g06674	0.871	0.0046	0.0053	MvSl-1064-A2-R4_MC05g06937	0.871	0.0046	0.0053
MvSl-1064-A1-R4_MC05-3g06675	98.9996	0.0052	0.0001	MvSl-1064-A2-R4_MC05g06938	98.9996	0.0052	0.0001
MvSl-1064-A1-R4_MC05-3g06676	0.439	0.0052	0.0119	MvSl-1064-A2-R4_MC05g06939	0.439	0.0052	0.0119
MvSl-1064-A1-R4_MC05-3g06677	98.9996	0.0027	0	MvSl-1064-A2-R4_MC05g06940	98.9996	0.0027	0
MvSl-1064-A1-R4_MC05-3g06678	0.2253	0.004	0.0176	MvSl-1064-A2-R4_MC05g06941	0.2253	0.004	0.0176
MvSl-1064-A1-R4_MC05-3g06679	0.1883	0.0031	0.0165	MvSl-1064-A2-R4_MC05g06942	0.1883	0.0031	0.0165
MvSl-1064-A1-R4_MC05-3g06680	0.7382	0.0044	0.006	MvSl-1064-A2-R4_MC05g06943	0.7382	0.0044	0.006
MvSl-1064-A1-R4_MC05-3g06681	0.3897	0.0043	0.011	MvSl-1064-A2-R4_MC05g06944	0.3897	0.0043	0.011
MvSl-1064-A1-R4_MC05-3g06682	0.1816	0.0016	0.0086	MvSl-1064-A2-R4_MC05g06945	0.1816	0.0016	0.0086
MvSl-1064-A1-R4_MC05-3g06683	0.2457	0.0028	0.0114	MvSl-1064-A2-R4_MC05g06946	0.2457	0.0028	0.0114
MvSl-1064-A1-R4_MC05-3g06684	0.0978	0.0008	0.0083	MvSl-1064-A2-R4_MC05g06947	0.0978	0.0008	0.0083
MvSl-1064-A1-R4_MC05-3g06685	1.5728	0.009	0.0057	MvSl-1064-A2-R4_MC05g06948	1.5728	0.009	0.0057
MvSl-1064-A1-R4_MC05-3g06686	2.2293	0.0051	0.0023	MvSl-1064-A2-R4_MC05g06949	2.2294	0.0051	0.0023
MvSl-1064-A1-R4_MC05-3g06687	0.1382	0.0028	0.02	MvSl-1064-A2-R4_MC05g06950	0.1382	0.0028	0.02
MvSl-1064-A1-R4_MC05-3g06688	0.6312	0.0053	0.0083	MvSl-1064-A2-R4_MC05g06951	0.6312	0.0053	0.0083
MvSl-1064-A1-R4_MC05-3g06689	0.1994	0.0024	0.0122	MvSl-1064-A2-R4_MC05g06952	0.1994	0.0024	0.0122
MvSl-1064-A1-R4_MC05-3g06690	0.2363	0.0025	0.0104	MvSl-1064-A2-R4_MC05g06953	0.2363	0.0025	0.0104
MvSl-1064-A1-R4_MC05-3g06691	0.2018	0.002	0.01	MvSl-1064-A2-R4_MC05g06954	0.2018	0.002	0.01
MvSl-1064-A1-R4_MC05-3g06692	98.9996	0.004	0	MvSl-1064-A2-R4_MC05g06955	98.9996	0.004	0
MvSl-1064-A1-R4_MC05-3g06694	1.5568	0.0109	0.007	MvSl-1064-A2-R4_MC05g06957	1.5568	0.0109	0.007
MvSl-1064-A1-R4_MC05-3g06695	0.4956	0.1806	0.3644	MvSl-1064-A2-R4_MC05g06958	0.5374	0.0181	0.0336
MvSl-1064-A1-R4_MC05-3g06697	0.2667	0.0103	0.0388	MvSl-1064-A2-R4_MC05g06961	0.2667	0.0103	0.0388
MvSl-1064-A1-R4_MC05-3g06698	0.6293	0.0047	0.0074	MvSl-1064-A2-R4_MC05g06962	0.6293	0.0047	0.0074
MvSl-1064-A1-R4_MC05-3g06699	0.001	0	0.0077	MvSl-1064-A2-R4_MC05g06963	0.001	0	0.0077
MvSl-1064-A1-R4_MC05-3g06700	0.6703	0.0045	0.0068	MvSl-1064-A2-R4_MC05g06964	0.6703	0.0045	0.0068
MvSl-1064-A1-R4_MC05-3g06701	0.6702	0.0071	0.0106	MvSl-1064-A2-R4_MC05g06965	0.6702	0.0071	0.0106
MvSl-1064-A1-R4_MC05-3g06702	0.1132	0.0021	0.0187	MvSl-1064-A2-R4_MC05g06966	0.1132	0.0021	0.0187
MvSl-1064-A1-R4_MC05-3g06703	0.9348	0.0056	0.006	MvSl-1064-A2-R4_MC05g06967	0.9348	0.0056	0.006
MvSl-1064-A1-R4_MC05-3g06705	0.7847	0.0026	0.0034	MvSl-1064-A2-R4_MC05g06969	0.7847	0.0026	0.0034
MvSl-1064-A1-R4_MC05-3g06706	0.3423	0.0042	0.0121	MvSl-1064-A2-R4_MC05g06970	0.3423	0.0042	0.0121
MvSl-1064-A1-R4_MC05-3g06707	0.2649	0.0039	0.0146	MvSl-1064-A2-R4_MC05g06971	0.2649	0.0039	0.0146
MvSl-1064-A1-R4_MC05-3g06708	0.6172	0.0046	0.0075	MvSl-1064-A2-R4_MC05g06972	0.6172	0.0046	0.0075
