gid	gidmvsd	dnds	dn	ds
MvSl-1064-A1-R4_MC12g10943	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05189	0.4665	0.0039	0.0084
MvSl-1064-A1-R4_MC07g08215	MvSdioicae-1303-FR02-D-N206-PbcR_C021g09270	1.9679	0.0066	0.0034
MvSl-1064-A1-R4_MC09-2g09014	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08055	1.3097	0.0086	0.0066
MvSl-1064-A1-R4_MC01-1g02858	MvSdioicae-1303-FR02-D-N206-PbcR_C036g11524	1.0092	0.0096	0.0095
MvSl-1064-A1-R4_MC01-1g02330	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01643	0.001	0	0.0065
MvSl-1064-A1-R4_MC14g11822	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10587	0.5578	0.0019	0.0034
MvSl-1064-A1-R4_MC11g10614	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04435	1.8792	0.0037	0.002
MvSl-1064-A1-R4_A1g00839	MvSdioicae-1303-FR02-D-N206-PbcR_C043g12093	0.8344	0.0081	0.0097
MvSl-1064-A1-R4_MC04-1g05394	MvSdioicae-1303-FR02-D-N206-PbcR_C038g11659	0.1274	0.0486	0.3816
MvSl-1064-A1-R4_MC01-1g01779	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01058	1.2293	0.0094	0.0077
MvSl-1064-A1-R4_MC09-2g09243	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01475	0.001	0.0001	0.0682
MvSl-1064-A1-R4_MC01-1g02533	MvSdioicae-1303-FR02-D-N206-PbcR_C049g12431	0.2996	0.0024	0.0079
MvSl-1064-A1-R4_MC05-1g06183	MvSdioicae-1303-FR02-D-N206-PbcR_C003g01890	0.6874	0.0064	0.0094
MvSl-1064-A1-R4_MC12g11252	MvSdioicae-1303-FR02-D-N206-PbcR_C041g11974	98.9996	0.0206	0.0002
MvSl-1064-A1-R4_MC09-2g09528	MvSdioicae-1303-FR02-D-N206-PbcR_C019g08846	0.868	0.0054	0.0062
MvSl-1064-A1-R4_MC05-3g06544	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02264	0.4222	0.0034	0.0081
MvSl-1064-A1-R4_MC09-2g09559	MvSdioicae-1303-FR02-D-N206-PbcR_C019g08817	0.9107	0.0077	0.0084
MvSl-1064-A1-R4_MC05-3g06829	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02551	0.001	0	0.0136
MvSl-1064-A1-R4_MC13g11614	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05716	0.2211	0	0
MvSl-1064-A1-R4_MC10-1g09752	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08703	0.2783	0.0017	0.0063
MvSl-1064-A1-R4_MC02g04007	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03228	0.2715	0.0038	0.0139
MvSl-1064-A1-R4_MC10-2g10022	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07584	0.001	0	0.0025
MvSl-1064-A1-R4_MC05-1g06161	MvSdioicae-1303-FR02-D-N206-PbcR_C003g01871	0.456	0.0054	0.0118
MvSl-1064-A1-R4_MC09-2g09381	MvSdioicae-1303-FR02-D-N206-PbcR_C019g09003	0.3251	0.0027	0.0082
MvSl-1064-A1-R4_MC09-2g09382	MvSdioicae-1303-FR02-D-N206-PbcR_C019g09002	0.0821	0.0008	0.0099
MvSl-1064-A1-R4_MC09-2g09316	MvSdioicae-1303-FR02-D-N206-PbcR_C037g11618	0.8764	0.0036	0.0041
MvSl-1064-A1-R4_MC04-1g05640	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02923	0.404	0.0032	0.0078
MvSl-1064-A1-R4_MC10-1g09695	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08646	0.3455	0.0061	0.0176
MvSl-1064-A1-R4_MC09-2g09135	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08180	0.4969	0.0037	0.0074
MvSl-1064-A1-R4_A1g00270	MvSdioicae-1303-FR02-D-N206-PbcR_C011g06394	0.1273	0.0011	0.0088
MvSl-1064-A1-R4_MC09-2g08991	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08044	0.0942	0.0007	0.0072
MvSl-1064-A1-R4_MC01-1g02151	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01468	0.1416	0.0025	0.0175
MvSl-1064-A1-R4_MC13g11466	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05565	0.2724	0.0052	0.0189
MvSl-1064-A1-R4_MC03g04775	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00454	0.8205	0.0041	0.005
MvSl-1064-A1-R4_MC06g07504	MvSdioicae-1303-FR02-D-N206-PbcR_C027g10324	0.1042	0.0026	0.0246
MvSl-1064-A1-R4_MC07g08139	MvSdioicae-1303-FR02-D-N206-PbcR_C021g09317	2.042	0.0176	0.0086
MvSl-1064-A1-R4_MC03g04799	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00428	0.2992	0.0033	0.0111
MvSl-1064-A1-R4_MC01-1g02537	MvSdioicae-1303-FR02-D-N206-PbcR_C049g12427	98.9996	0.0022	0
MvSl-1064-A1-R4_MC04-1g05478	MvSdioicae-1303-FR02-D-N206-PbcR_C004g03088	0.0472	0.0008	0.0178
MvSl-1064-A1-R4_MC02g03278	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09701	0.1455	0.0036	0.0246
MvSl-1064-A1-R4_MC09-2g09562	MvSdioicae-1303-FR02-D-N206-PbcR_C019g08814	0.001	0	0.0066
MvSl-1064-A1-R4_MC05-2g06436	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02156	0.176	0.0014	0.0077
MvSl-1064-A1-R4_MC14g11857	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10550	0.3037	0.0033	0.0109
MvSl-1064-A1-R4_MC05-2g06443	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02162	2.9086	0.0112	0.0039
MvSl-1064-A1-R4_MC02g03530	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03685	0.0682	0.001	0.0144
MvSl-1064-A1-R4_MC05-2g06435	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02155	0.2741	0.0022	0.0078
MvSl-1064-A1-R4_MC05-3g06601	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02319	1.136	0.0031	0.0027
MvSl-1064-A1-R4_MC11g10470	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04573	0.1551	0.0041	0.0263
MvSl-1064-A1-R4_MC11g10464	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04579	0.8636	0.0036	0.0042
MvSl-1064-A1-R4_MC08g08839	MvSdioicae-1303-FR02-D-N206-PbcR_C025g09996	2.2691	0.0123	0.0054
MvSl-1064-A1-R4_MC04-1g05879	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02686	1.941	0.0049	0.0025
MvSl-1064-A1-R4_MC13g11455	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05553	0.1778	0.0026	0.0145
MvSl-1064-A1-R4_MC03g05158	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00044	0.4089	0.0055	0.0134
MvSl-1064-A1-R4_MC03g04544	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00691	0.001	0	0.0204
MvSl-1064-A1-R4_MC07g07795	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07132	0.6125	0.0055	0.0089
MvSl-1064-A1-R4_MC12g10935	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05197	0.292	0.0046	0.0156
MvSl-1064-A1-R4_MC13g11542	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05651	1.6575	0.0133	0.008
MvSl-1064-A1-R4_MC08g08460	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06015	0.414	0.0027	0.0066
MvSl-1064-A1-R4_MC02g03192	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09616	98.9996	0.0061	0.0001
MvSl-1064-A1-R4_MC11g10257	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04786	0.0976	0.0022	0.023
MvSl-1064-A1-R4_MC06g06944	MvSdioicae-1303-FR02-D-N206-PbcR_C020g09172	0.5273	0.0039	0.0073
MvSl-1064-A1-R4_MC02g04132	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09497	0.1174	0.0035	0.0299
MvSl-1064-A1-R4_MC02g04011	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03224	0.5458	0.0035	0.0064
MvSl-1064-A1-R4_MC01-1g01883	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01149	98.9996	0.0038	0
MvSl-1064-A1-R4_MC09-2g09525	MvSdioicae-1303-FR02-D-N206-PbcR_C019g08849	0.4278	0.0009	0.0021
MvSl-1064-A1-R4_MC02g03706	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03511	0.5587	0.0059	0.0105
MvSl-1064-A1-R4_MC01-1g02448	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01750	0.1455	0.0011	0.0075
MvSl-1064-A1-R4_MC04-1g05650	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02912	0.0665	0.0014	0.0209
MvSl-1064-A1-R4_MC07g07724	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07209	0.9233	0.0066	0.0071
MvSl-1064-A1-R4_A1g00390	MvSdioicae-1303-FR02-D-N206-PbcR_C017g08413	0.2626	0.0039	0.0147
MvSl-1064-A1-R4_MC01-1g02111	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01427	0.4578	0	0
MvSl-1064-A1-R4_MC01-1g01826	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01092	0.7402	0.0085	0.0115
MvSl-1064-A1-R4_MC01-1g01729	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01005	1.2452	0.0063	0.0051
MvSl-1064-A1-R4_MC12g10938	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05194	1.0139	0.0066	0.0065
MvSl-1064-A1-R4_MC11g10442	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04601	0.6353	0.0077	0.0121
MvSl-1064-A1-R4_MC14g11872	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10534	0.4338	0.0047	0.0108
MvSl-1064-A1-R4_MC05-3g06576	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02297	0.2553	0.0051	0.0199
MvSl-1064-A1-R4_MC08g08641	MvSdioicae-1303-FR02-D-N206-PbcR_C010g05832	0.4742	0.0031	0.0065
MvSl-1064-A1-R4_MC06g07171	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06800	1.0479	0.0074	0.0071
MvSl-1064-A1-R4_MC02g03978	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03256	0.818	0.0054	0.0066
MvSl-1064-A1-R4_MC01-1g02121	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01437	0.1644	0.0028	0.0172
MvSl-1064-A1-R4_MC01-1g02140	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01457	0.4886	0.0026	0.0053
MvSl-1064-A1-R4_MC09-2g09310	MvSdioicae-1303-FR02-D-N206-PbcR_C037g11612	0.001	0	0.0065
MvSl-1064-A1-R4_MC01-1g02033	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01282	0.5139	0.0064	0.0125
MvSl-1064-A1-R4_MC01-1g02792	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07786	0.6804	0.0034	0.005
MvSl-1064-A1-R4_MC01-1g02102	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01418	0.1114	0.0041	0.037
MvSl-1064-A1-R4_MC08g08828	MvSdioicae-1303-FR02-D-N206-PbcR_C025g10005	98.9996	0.0016	0
MvSl-1064-A1-R4_MC05-3g06707	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02428	0.2649	0.0039	0.0146
MvSl-1064-A1-R4_MC08g08744	MvSdioicae-1303-FR02-D-N206-PbcR_C034g11258	98.9996	0.0014	0
MvSl-1064-A1-R4_MC02g03380	MvSdioicae-1303-FR02-D-N206-PbcR_C029g10612	2.9672	0.007	0.0024
MvSl-1064-A1-R4_MC04-1g05885	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02680	0.4924	0.0052	0.0105
MvSl-1064-A1-R4_MC05-3g06685	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02401	1.5728	0.009	0.0057
MvSl-1064-A1-R4_MC05-3g06714	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02436	0.7894	0.0047	0.006
MvSl-1064-A1-R4_MC15g12081	MvSdioicae-1303-FR02-D-N206-PbcR_C033g11167	0.2323	0.0024	0.0105
MvSl-1064-A1-R4_MC13g11699	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05798	1.5497	0.0074	0.0048
MvSl-1064-A1-R4_MC09-2g09376	MvSdioicae-1303-FR02-D-N206-PbcR_C019g09008	0.2524	0.0021	0.0084
MvSl-1064-A1-R4_MC08g08280	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06198	0.2389	0.0094	0.0392
MvSl-1064-A1-R4_MC06g07137	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06742	0.2451	0.0036	0.0145
MvSl-1064-A1-R4_MC06g07138	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06743	0.5273	0.0034	0.0064
MvSl-1064-A1-R4_MC08g08442	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06039	0.001	0	0
MvSl-1064-A1-R4_MC13g11422	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05512	1.6041	0.0071	0.0044
MvSl-1064-A1-R4_MC01-1g02488	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01789	1.1599	0.0034	0.003
MvSl-1064-A1-R4_MC07g07979	MvSdioicae-1303-FR02-D-N206-PbcR_C024g09896	0.2495	0.0087	0.035
MvSl-1064-A1-R4_MC03g04599	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00672	0.5348	0.0038	0.0072
MvSl-1064-A1-R4_MC01-1g02626	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07960	0.0674	0.0025	0.0375
MvSl-1064-A1-R4_MC09-2g09342	MvSdioicae-1303-FR02-D-N206-PbcR_C037g11640	0.3097	0.0029	0.0095
MvSl-1064-A1-R4_MC01-1g02540	MvSdioicae-1303-FR02-D-N206-PbcR_C049g12424	0.8894	0.0086	0.0096
MvSl-1064-A1-R4_MC04-1g05667	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02894	0.7736	0.0038	0.0049
MvSl-1064-A1-R4_MC09-2g09340	MvSdioicae-1303-FR02-D-N206-PbcR_C037g11638	0.0553	0.0008	0.0138
MvSl-1064-A1-R4_MC14g11916	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10491	0.3541	0.0019	0.0054
MvSl-1064-A1-R4_A1g00057	MvSdioicae-1303-FR02-D-N206-PbcR_C017g08511	0.001	0	0
MvSl-1064-A1-R4_A1g00648	MvSdioicae-1303-FR02-D-N206-PbcR_C011g06525	0.2998	0.0028	0.0093
MvSl-1064-A1-R4_MC04-1g05660	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02902	1.2843	0.004	0.0031
MvSl-1064-A1-R4_MC01-1g02468	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01769	0.1495	0.0031	0.0205
MvSl-1064-A1-R4_MC04-1g05643	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02920	0.232	0.0026	0.0112
MvSl-1064-A1-R4_MC12g10937	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05195	0.6687	0.005	0.0075
MvSl-1064-A1-R4_MC09-2g09309	MvSdioicae-1303-FR02-D-N206-PbcR_C037g11611	0.1157	0.0017	0.015
MvSl-1064-A1-R4_MC04-1g05646	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02917	0.6834	0.0051	0.0075
MvSl-1064-A1-R4_MC01-2g03133	MvSdioicae-1303-FR02-D-N206-PbcR_C039g11787	0.081	0.0008	0.0097
MvSl-1064-A1-R4_MC01-1g02162	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01484	1.1381	0.0076	0.0067
MvSl-1064-A1-R4_MC01-1g02646	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07938	0.1668	0.0013	0.0077
MvSl-1064-A1-R4_MC05-3g06634	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02351	0.0897	0.0014	0.0153
MvSl-1064-A1-R4_MC14g11892	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10517	0.902	0.0047	0.0053
MvSl-1064-A1-R4_MC09-2g09208	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08250	0.8805	0.0065	0.0074
MvSl-1064-A1-R4_MC04-1g05801	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02765	0.15	0.0029	0.0193
MvSl-1064-A1-R4_MC09-2g09534	MvSdioicae-1303-FR02-D-N206-PbcR_C019g08838	0.165	0.0019	0.0113
MvSl-1064-A1-R4_MC06g07377	MvSdioicae-1303-FR02-D-N206-PbcR_C012g07015	0.001	0	0.0212
MvSl-1064-A1-R4_MC11g10411	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04631	0.6876	0.0024	0.0034
MvSl-1064-A1-R4_MC14g11870	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10537	4.2635	0.0105	0.0025
MvSl-1064-A1-R4_MC13g11502	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05609	1.3904	0.0114	0.0082
MvSl-1064-A1-R4_MC06g07362	MvSdioicae-1303-FR02-D-N206-PbcR_C012g07000	0.3498	0.0038	0.0108
MvSl-1064-A1-R4_MC09-2g09390	MvSdioicae-1303-FR02-D-N206-PbcR_C019g08994	0.0994	0.002	0.0199
MvSl-1064-A1-R4_MC05-3g06517	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02235	0.001	0	0.0162
MvSl-1064-A1-R4_MC12g11122	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05008	0.2675	0.0017	0.0063
MvSl-1064-A1-R4_MC04-1g05938	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02627	0.2062	0.002	0.0097
MvSl-1064-A1-R4_MC01-1g01867	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01133	0.7768	0.0049	0.0063
MvSl-1064-A1-R4_MC04-1g05665	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02896	0.459	0.0042	0.0092
MvSl-1064-A1-R4_MC04-1g05557	MvSdioicae-1303-FR02-D-N206-PbcR_C004g03010	0.1343	0.0015	0.0115
MvSl-1064-A1-R4_MC03g04748	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00484	0.3055	0.0057	0.0187
MvSl-1064-A1-R4_MC03g04287	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00961	0.001	0	0.0171
MvSl-1064-A1-R4_MC07g07935	MvSdioicae-1303-FR02-D-N206-PbcR_C024g09851	0.5203	0.004	0.0077
MvSl-1064-A1-R4_MC12g10910	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05223	0.1782	0.0026	0.0145
MvSl-1064-A1-R4_MC07g08069	MvSdioicae-1303-FR02-D-N206-PbcR_C042g12010	0.412	0.0031	0.0076
MvSl-1064-A1-R4_MC07g08068	MvSdioicae-1303-FR02-D-N206-PbcR_C042g12011	0.8238	0.0101	0.0123
MvSl-1064-A1-R4_MC11g10583	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04469	0.2838	0.0019	0.0066
MvSl-1064-A1-R4_MC13g11454	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05552	1.0045	0.0095	0.0094
MvSl-1064-A1-R4_MC03g05153	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00049	0.0478	0.0011	0.0238
MvSl-1064-A1-R4_MC03g04377	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00871	0.1441	0.0011	0.0073
MvSl-1064-A1-R4_MC09-2g09558	MvSdioicae-1303-FR02-D-N206-PbcR_C019g08818	0.001	0	0.008
MvSl-1064-A1-R4_A1g00509	MvSdioicae-1303-FR02-D-N206-PbcR_C011g06593	1.9111	0.0103	0.0054
MvSl-1064-A1-R4_MC10-2g10062	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07624	1.4136	0.0063	0.0044
MvSl-1064-A1-R4_MC04-1g05927	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02638	0.4359	0.0044	0.01
MvSl-1064-A1-R4_MC04-1g05840	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02726	0.001	0	0.0113
MvSl-1064-A1-R4_MC01-1g01959	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01228	3.5396	0.0165	0.0047
MvSl-1064-A1-R4_MC04-1g05698	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02863	0.3318	0.0028	0.0086
MvSl-1064-A1-R4_A1g00960	MvSdioicae-1303-FR02-D-N206-PbcR_C006g03884	0.8146	0.021	0.0258
MvSl-1064-A1-R4_MC11g10468	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04575	0.3232	0.0043	0.0132
MvSl-1064-A1-R4_MC03g04989	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00178	0.9642	0.0075	0.0078
MvSl-1064-A1-R4_MC07g07594	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07349	0.001	0	0.0051
MvSl-1064-A1-R4_MC13g11665	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05766	1.1089	0.0066	0.006
MvSl-1064-A1-R4_MC04-1g05934	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02631	0.6714	0.0034	0.0051
MvSl-1064-A1-R4_MC02g03825	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03392	0.307	0.0051	0.0165
MvSl-1064-A1-R4_MC01-1g02535	MvSdioicae-1303-FR02-D-N206-PbcR_C049g12429	0.6506	0.0055	0.0084
MvSl-1064-A1-R4_MC07g07726	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07207	1.1585	0.0055	0.0047
MvSl-1064-A1-R4_MC03g05251	MvSdioicae-1303-FR02-D-N206-PbcR_C047g12301	1.7604	0.0194	0.011
MvSl-1064-A1-R4_MC01-2g03104	MvSdioicae-1303-FR02-D-N206-PbcR_C039g11757	0.1288	0.0009	0.0069
MvSl-1064-A1-R4_MC08g08666	MvSdioicae-1303-FR02-D-N206-PbcR_C034g11335	0.9433	0.0069	0.0073
MvSl-1064-A1-R4_MC01-1g02325	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01637	1.0856	0.0051	0.0047
MvSl-1064-A1-R4_MC08g08799	MvSdioicae-1303-FR02-D-N206-PbcR_C025g10025	0.7598	0.0032	0.0042
MvSl-1064-A1-R4_MC13g11450	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05548	0.2552	0.0032	0.0125
MvSl-1064-A1-R4_MC01-1g02601	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07984	10.1425	0.0253	0.0025
MvSl-1064-A1-R4_MC11g10594	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04458	1.4129	0.003	0.0021
MvSl-1064-A1-R4_MC09-2g09560	MvSdioicae-1303-FR02-D-N206-PbcR_C019g08816	0.309	0.0023	0.0074
MvSl-1064-A1-R4_MC04-1g05935	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02630	0.001	0	0.0074
MvSl-1064-A1-R4_MC06g07497	MvSdioicae-1303-FR02-D-N206-PbcR_C027g10332	0.4933	0.005	0.0101
MvSl-1064-A1-R4_MC08g08318	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06160	0.809	0.0038	0.0047
MvSl-1064-A1-R4_MC02g03879	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03351	0.3617	0.0026	0.0072
MvSl-1064-A1-R4_MC02g04160	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09467	0.5469	0.0038	0.007
MvSl-1064-A1-R4_MC09-2g09311	MvSdioicae-1303-FR02-D-N206-PbcR_C037g11613	0.001	0	0.0031
MvSl-1064-A1-R4_MC13g11658	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05759	0.5072	0.0054	0.0106
MvSl-1064-A1-R4_MC03g04308	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00937	0.8952	0.0052	0.0058
MvSl-1064-A1-R4_MC03g04886	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00333	98.9996	0.0066	0.0001
MvSl-1064-A1-R4_MC15g12024	MvSdioicae-1303-FR02-D-N206-PbcR_C033g11222	0.1646	0.0016	0.0096
MvSl-1064-A1-R4_MC17g12238	MvSdioicae-1303-FR02-D-N206-PbcR_C050g12484	0.3505	0.0045	0.013
MvSl-1064-A1-R4_MC03g04378	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00870	0.7576	0.0126	0.0166
MvSl-1064-A1-R4_MC04-1g05661	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02901	98.9996	0.0027	0
MvSl-1064-A1-R4_MC02g03381	MvSdioicae-1303-FR02-D-N206-PbcR_C029g10613	0.6357	0.0039	0.0061
MvSl-1064-A1-R4_MC14g11816	MvSdioicae-1303-FR02-D-N206-PbcR_C040g11913	0.8148	0.0095	0.0117
MvSl-1064-A1-R4_MC01-1g02155	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01477	1.0132	0.0039	0.0039
MvSl-1064-A1-R4_A1g00077	MvSdioicae-1303-FR02-D-N206-PbcR_C017g08491	0.7512	0.0129	0.0171
MvSl-1064-A1-R4_MC04-1g05655	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02907	0.001	0	0.0045
MvSl-1064-A1-R4_MC09-2g09463	MvSdioicae-1303-FR02-D-N206-PbcR_C019g08920	1.842	0.0054	0.0029
MvSl-1064-A1-R4_MC09-2g09462	MvSdioicae-1303-FR02-D-N206-PbcR_C019g08921	0.3273	0.0035	0.0108
MvSl-1064-A1-R4_MC10-2g10075	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07636	0.7625	0.002	0.0026
MvSl-1064-A1-R4_MC01-1g01847	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01113	1.4008	0.0104	0.0074
MvSl-1064-A1-R4_MC04-2g06095	MvSdioicae-1303-FR02-D-N206-PbcR_C031g10993	0.7463	0.0045	0.006
MvSl-1064-A1-R4_MC01-1g02299	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01611	0.2701	0.005	0.0186
MvSl-1064-A1-R4_MC01-1g02150	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01467	0.001	0	0.0076
MvSl-1064-A1-R4_MC17g12234	MvSdioicae-1303-FR02-D-N206-PbcR_C050g12489	0.0948	0.0011	0.0115
MvSl-1064-A1-R4_MC08g08642	MvSdioicae-1303-FR02-D-N206-PbcR_C010g05831	0.2109	0.0011	0.0052
MvSl-1064-A1-R4_MC11g10399	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04642	3.5414	0.007	0.002
MvSl-1064-A1-R4_MC11g10293	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04752	0.3712	0.0043	0.0115
MvSl-1064-A1-R4_MC04-1g05654	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02908	0.001	0	0.0083
MvSl-1064-A1-R4_MC02g03944	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03288	0.001	0	0.0204
MvSl-1064-A1-R4_MC04-1g05672	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02889	0.6053	0.0051	0.0084
MvSl-1064-A1-R4_MC15g12140	MvSdioicae-1303-FR02-D-N206-PbcR_C044g12159	0.3921	0	0
MvSl-1064-A1-R4_MC06g07259	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06890	0.7235	0.0135	0.0187
MvSl-1064-A1-R4_MC13g11563	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05667	0.2592	0.0017	0.0064
