gida1	a1prot	a1cds	gida2	a2prot	a2cds	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	intron_nr_a2	intron_mean_a2	intron_total_a2	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2
MvSl-1064-A1-R4_MC06g07414	1863	5592	MvSl-1064-A2-R4_MC06-2g07679	1863	5592	Auto	Auto	4	82.5	330	4	82.5	330	0	0	0	1435093	1436278	8.35003565	0.19065089	0.19065089	0.47445539	0.97690722	8.69308638	8.13819656	8.04903564	8.42914954	NON	NON
MvSl-1064-A1-R4_MC06g07415	851	2556	MvSl-1064-A2-R4_MC06-2g07680	851	2556	Auto	Auto	5	83.8	419	5	83.8	419	0	0	0	1437927	1440842	6.62526833	-0.0397133	0.03971333	0.83200436	0.99994992	6.62691198	6.58338583	6.59511404	6.69324421	NON	NON
MvSl-1064-A1-R4_MC06g07416	549	1650	MvSl-1064-A2-R4_MC06-2g07681	549	1650	Auto	Auto	7	79.7143	558	7	79.7143	558	0	0	0	1442048	1442551	3.33220317	0.31507355	0.31507355	0.40315309	0.95024973	3.73194674	3.17094786	2.59783562	3.5742365	NON	NON
MvSl-1064-A1-R4_MC06g07417	70	213	MvSl-1064-A2-R4_MC06-2g07682	70	213	Auto	Auto	1	67	67	1	67	67	0	0	0	1442925	1444733	0.14532749	0.24119661	0.24119661	0.63825925	0.99994992	0.60277561	-0.2265571	0.15139655	-0.112888	NON	NON
MvSl-1064-A1-R4_MC06g07418	102	309	MvSl-1064-A2-R4_MC06-2g07683	102	309	Auto	Auto	1	103	103	1	103	103	0	0	0	1444938	1446863	2.65636588	-0.423761	0.42376102	0.20307648	0.76852627	2.49325897	2.37564728	2.95505989	2.74256339	NON	NON
MvSl-1064-A1-R4_MC06g07419	261	786	MvSl-1064-A2-R4_MC06-2g07684	261	786	Auto	Auto	5	80	400	5	80	400	0	0	0	1448031	1448912	7.73179977	-0.489148	0.48914805	0.06773145	0.44678717	7.21849807	7.67865681	8.26633595	7.55939259	NON	NON
MvSl-1064-A1-R4_MC06g07421	971	2916	MvSl-1064-A2-R4_MC06-2g07686	971	2916	Auto	Auto	1	0	0	1	0	0	0	0	0	1449497	1451399	7.94983256	0.23107065	0.23107065	0.29700291	0.88160705	8.14762215	7.96809476	7.69066965	7.9564803	NON	NON
MvSl-1064-A1-R4_MC06g07422	111	336	MvSl-1064-A2-R4_MC06-2g07687	111	336	Auto	Auto	2	84	168	2	84	168	0	0	0	1451981	1454450	7.82900759	-0.1187797	0.11877974	0.70749818	0.99994992	7.33625801	8.10055129	8.2723007	7.36012014	NON	NON
MvSl-1064-A1-R4_MC06g07423	468	1407	MvSl-1064-A2-R4_MC06-2g07688	468	1407	Auto	Auto	4	100.5	402	4	100.5	402	0	0	0	1454899	1457427	7.41330343	-0.0916592	0.09165918	0.66024337	0.99994992	7.21115407	7.50728521	7.55208546	7.35818936	NON	NON
MvSl-1064-A1-R4_MC06g07424	467	1404	MvSl-1064-A2-R4_MC06-2g07689	467	1404	Auto	Auto	7	74.5714	522	7	74.5714	522	0	0	0	1458152	1459585	6.41109822	0.081261	0.081261	0.67013782	0.99994992	6.3626534	6.53435738	6.40370302	6.33522564	NON	NON
MvSl-1064-A1-R4_MC06g07425	238	717	MvSl-1064-A2-R4_MC06-2g07690	238	717	Auto	Auto	2	82.5	165	2	82.5	165	0	0	0	1459847	1462603	8.32969996	-0.0718987	0.07189867	0.78673793	0.99994992	8.00653474	8.53244654	8.56147378	8.13792182	NON	NON
MvSl-1064-A1-R4_MC06g07426	392	1179	MvSl-1064-A2-R4_MC06-2g07691	392	1179	Auto	Auto	7	103.429	724	7	103.429	724	0	0	0	1463774	1465744	1.75475737	0.47998486	0.47998486	0.23207942	0.8064584	2.18378619	1.70388816	1.71803272	1.23447949	NON	NON
MvSl-1064-A1-R4_MC06g07427	536	1611	MvSl-1064-A2-R4_MC06-2g07692	536	1611	Auto	Auto	7	122.714	859	7	122.714	859	0	0	0	1466256	1467352	9.46669764	-0.0220319	0.02203192	0.93713015	0.99994992	9.37739695	9.52986123	9.57179884	9.37696443	NON	NON
MvSl-1064-A1-R4_MC06g07428	777	2334	MvSl-1064-A2-R4_MC06-2g07693	777	2334	Auto	Auto	3	65	195	3	65	195	0	0	0	1469112	1472534	6.99380511	0.23333345	0.23333345	0.22073186	0.79253955	7.15437048	7.05504768	6.75274593	6.98298275	NON	NON
MvSl-1064-A1-R4_MC06g07429	383	1152	MvSl-1064-A2-R4_MC06-2g07694	383	1152	Auto	Auto	4	70.5	282	4	70.5	282	0	0	0	1473736	1476523	5.59142728	-0.1551288	0.15512885	0.48223872	0.97871377	5.4456729	5.57566543	5.84694549	5.46094808	NON	NON
MvSl-1064-A1-R4_MC06g07430	763	2292	MvSl-1064-A2-R4_MC06-2g07695	763	2292	Auto	Auto	4	116.25	465	4	116.25	465	0	0	0	1477508	1479706	6.09710337	-0.2078894	0.20788937	0.2819194	0.87264888	5.95344072	6.02516097	6.20598947	6.18864723	NON	NON
MvSl-1064-A1-R4_MC06g07431	607	1824	MvSl-1064-A2-R4_MC06-2g07696	607	1824	Auto	Auto	2	73.5	147	2	73.5	147	0	0	0	1481630	1481950	7.32571774	0.29191859	0.29191859	0.14812842	0.66842421	7.33794481	7.58014314	7.18932807	7.15521457	NON	NON
MvSl-1064-A1-R4_MC06g07432	101	306	MvSl-1064-A2-R4_MC06-2g07697	101	306	Auto	Auto	3	263.667	791	3	263.667	791	0	0	0	1482104	1482950	0.91322091	0.2550946	0.2550946	0.55928268	0.99255356	0.77204271	1.2403162	0.8492945	0.71268358	NON	NON
MvSl-1064-A1-R4_MC06g07434	1081	3246	MvSl-1064-A2-R4_MC06-2g07699	1081	3246	Auto	Auto	3	59	177	3	59	177	0	0	0	1483128	1484696	6.01660032	0.42352774	0.42352774	0.03313846	0.28353165	6.2144322	6.21006917	5.89412675	5.67616834	NON	NON
MvSl-1064-A1-R4_MC06g07437	627	1884	MvSl-1064-A2-R4_MC06-2g07702	627	1884	Auto	Auto	8	113	904	8	113	904	0	0	0	1485035	1486477	1.60461637	0.48989271	0.48989271	0.22697595	0.80083259	2.04197186	1.54988583	1.15499496	1.50962058	NON	NON
MvSl-1064-A1-R4_MC06g07439	50	153	MvSl-1064-A2-R4_MC06-2g07704	50	153	Auto	Auto	2	84.5	169	2	84	168	0	0.5	1	1487496	1488520	0.91436064	-0.5357321	0.53573213	0.28683576	0.87566737	0.24828839	0.95488537	1.62164962	0.44804486	NON	NON
MvSl-1064-A1-R4_MC06g07440	221	666	MvSl-1064-A2-R4_MC06-2g07705	221	666	Auto	Auto	1	181	181	1	181	181	0	0	0	1493757	1495839	4.53113272	-0.4142619	0.41426187	0.17823091	0.73129966	4.26619593	4.35448563	5.10810964	4.19677591	NON	NON
MvSl-1064-A1-R4_MC06g07441	351	1056	MvSl-1064-A2-R4_MC06-2g07706	351	1056	Auto	Auto	6	85.5	513	6	85.5	513	0	0	0	1499618	1502602	8.84266383	-0.0270244	0.02702436	0.91828104	0.99994992	8.90917811	8.74430598	8.6553708	9.03232606	NON	NON
MvSl-1064-A1-R4_MC06g07442	428	1287	MvSl-1064-A2-R4_MC06-2g07707	428	1287	Auto	Auto	2	78	156	2	78	156	0	0	0	1502869	1505908	7.79216907	-0.0361809	0.03618087	0.86737532	0.99994992	7.8700949	7.67100525	7.68285397	7.92715055	NON	NON
MvSl-1064-A1-R4_MC06g07443	142	429	MvSl-1064-A2-R4_MC06-2g07708	142	429	Auto	Auto	1	0	0	1	0	0	0	0	0	1506305	1507345	3.94763197	-0.298671	0.29867104	0.27579067	0.86381202	3.85955796	3.72247018	4.01843867	4.15734768	NON	NON
MvSl-1064-A1-R4_MC06g07444	269	810	MvSl-1064-A2-R4_MC06-2g07709	269	810	Auto	Auto	3	71.6667	215	3	71.6667	215	0	0	0	1508105	1508263	6.80256773	-0.5008556	0.50085565	0.03201347	0.27600483	6.25784842	6.76060668	7.26755467	6.7488308	NON	NON
MvSl-1064-A1-R4_MC06g07447	553	1662	MvSl-1064-A2-R4_MC06-2g07712	553	1662	Auto	Auto	5	84.2	421	5	84.2	421	0	0	0	1508718	1510257	5.57282324	0.09618204	0.09618204	0.65350229	0.99994992	5.55268511	5.68409297	5.38078477	5.65430498	NON	NON
MvSl-1064-A1-R4_MC06g07451	881	2646	MvSl-1064-A2-R4_MC06-2g07716	881	2646	Auto	Auto	4	98.5	394	4	98.5	394	0	0	0	1514312	1515929	4.59485791	-0.1245902	0.12459016	0.63918024	0.99994992	4.58873916	4.47248154	4.38426932	4.88480563	NON	NON
MvSl-1064-A1-R4_MC06g07452	346	1041	MvSl-1064-A2-R4_MC06-2g07717	346	1041	Auto	Auto	1	0	0	1	0	0	0	0	0	1516298	1518538	4.6007959	0.34616057	0.34616057	0.18266818	0.74123917	4.55432838	4.94371942	4.50400659	4.32488512	NON	NON
MvSl-1064-A1-R4_MC06g07454	363	1092	MvSl-1064-A2-R4_MC06-2g07719	363	1092	Auto	Auto	3	149.333	448	3	149.333	448	0	0	0	1519558	1519950	2.93741461	0.53160423	0.53160423	0.14841137	0.66882911	2.82692989	3.45131553	2.93514599	2.28683138	NON	NON
MvSl-1064-A1-R4_MC06g07455	859	2580	MvSl-1064-A2-R4_MC06-2g07720	859	2580	Auto	Auto	5	90.4	452	5	90.4	452	0	0	0	1520576	1522909	8.20525652	-0.3495039	0.34950394	0.12951331	0.64158022	8.04602633	7.99365777	8.23359122	8.49367135	NON	NON
MvSl-1064-A1-R4_MC06g07456	365	1098	MvSl-1064-A2-R4_MC06-2g07721	365	1098	Auto	Auto	6	86.6667	520	6	86.6667	520	0	0	0	1523831	1524167	7.12557768	-0.2027948	0.20279476	0.27960379	0.86984454	7.05223862	6.98861829	7.21793951	7.22891393	NON	NON
MvSl-1064-A1-R4_MC06g07457	399	1200	MvSl-1064-A2-R4_MC06-2g07722	399	1200	Auto	Auto	10	104.1	1041	10	104.1	1041	0	0	0	1527167	1530149	4.84442531	-0.5360344	0.53603444	0.0672568	0.44610566	4.70832326	4.38082863	4.63012999	5.43553617	NON	NON
MvSl-1064-A1-R4_MC06g07458	161	486	MvSl-1064-A2-R4_MC06-2g07723	161	486	Auto	Auto	1	90	90	1	90	90	0	0	0	1530386	1533474	4.03322186	0.05657681	0.05657681	0.83566814	0.99994992	4.14424663	3.97245216	3.92561177	4.07979768	NON	NON
MvSl-1064-A1-R4_MC06g07459	130	393	MvSl-1064-A2-R4_MC06-2g07724	130	393	Auto	Auto	1	0	0	1	0	0	0	0	0	1533877	1534958	3.71687134	-0.0470079	0.0470079	0.86845387	0.99994992	3.78731949	3.59325394	3.74866531	3.73166245	NON	NON
MvSl-1064-A1-R4_MC06g07460	533	1602	MvSl-1064-A2-R4_MC06-2g07725	533	1602	Auto	Auto	6	122	732	6	122	732	0	0	0	1535322	1536747	7.95532415	-0.208658	0.20865797	0.32600414	0.9041087	7.81726185	7.87676045	8.04381467	8.0678818	NON	NON
MvSl-1064-A1-R4_MC06g07461	76	231	MvSl-1064-A2-R4_MC06-2g07726	76	231	Auto	Auto	1	106	106	1	106	106	0	0	0	1536980	1539164	0.50880299	0.10423274	0.10423274	0.82703199	0.99994992	0.77204271	0.30056873	0.08064689	0.76024789	NON	NON
MvSl-1064-A1-R4_MC06g07462	903	2712	MvSl-1064-A2-R4_MC06-2g07727	903	2712	Auto	Auto	4	67.75	271	4	67.75	271	0	0	0	1539538	1542235	7.75235296	0.19777853	0.19777853	0.36249427	0.92610004	7.82028186	7.87473445	7.80891668	7.47147892	NON	NON
MvSl-1064-A1-R4_MC06g07463	747	2244	MvSl-1064-A2-R4_MC06-2g07728	747	2244	Auto	Auto	10	84.5	845	10	84.6	846	0	-0.1	-1	1544434	1547347	6.31373594	-0.0112997	0.01129967	0.95259305	0.99994992	6.26673132	6.34831225	6.3937057	6.24092705	NON	NON
MvSl-1064-A1-R4_MC06g07464	249	750	MvSl-1064-A2-R4_MC06-2g07729	249	750	Auto	Auto	4	83	332	4	83	332	0	0	0	1550639	1553392	4.33833063	0.18056326	0.18056326	0.48641214	0.97936517	4.49508784	4.35115867	4.33951893	4.14396179	NON	NON
MvSl-1064-A1-R4_MC06g07465	305	918	MvSl-1064-A2-R4_MC06-2g07730	305	918	Auto	Auto	6	84.6667	508	6	84.6667	508	0	0	0	1555381	1558060	6.56604049	0.03002784	0.03002784	0.8720845	0.99994992	6.5770774	6.58480292	6.5711205	6.53046525	NON	NON
MvSl-1064-A1-R4_MC06g07466	625	1878	MvSl-1064-A2-R4_MC06-2g07731	625	1878	Auto	Auto	2	153.5	307	2	153.5	307	0	0	0	1558839	1559410	6.20902522	-0.1862446	0.18624459	0.55940769	0.99255356	5.87660727	6.31625364	6.77951682	5.5734002	NON	NON
MvSl-1064-A1-R4_MC06g07467	707	2124	MvSl-1064-A2-R4_MC06-2g07732	707	2124	Auto	Auto	5	114.8	574	5	114.8	574	0	0	0	1559884	1562268	10.9501788	-0.5668645	0.56686449	0.27045241	0.85696724	9.95728832	11.1002427	11.7830077	10.2293867	NON	NON
MvSl-1064-A1-R4_MC06g07468	756	2271	MvSl-1064-A2-R4_MC06-2g07733	756	2271	Auto	Auto	9	71.4444	643	9	71.4444	643	0	0	0	1562898	1566114	7.39952055	-0.0040938	0.0040938	0.98339135	0.99994992	7.42622227	7.36814189	7.38230834	7.42057907	NON	NON
MvSl-1064-A1-R4_MC06g07471	590	1773	MvSl-1064-A2-R4_MC06-2g07736	590	1773	Auto	Auto	10	98.1	981	10	98.1	981	0	0	0	1566396	1569472	3.038088409	1.30414905	1.30414905	0.00016971	0.003609079	3.797162848	3.215539058	2.139491191	2.350372556	Up	DE
MvSl-1064-A1-R4_MC06g07472	600	1803	MvSl-1064-A2-R4_MC06-2g07737	600	1803	Auto	Auto	9	97.4444	877	9	97.4444	877	0	0	0	1569708	1571990	5.97914938	-0.139949	0.13994897	0.47549214	0.97690722	5.91779293	5.8975541	5.98409826	6.10821822	NON	NON
MvSl-1064-A1-R4_MC06g07473	175	528	MvSl-1064-A2-R4_MC06-2g07738	175	528	Auto	Auto	1	44	44	1	44	44	0	0	0	1572096	1575744	3.4925874	-0.2692136	0.26921357	0.42247315	0.96310067	3.66901297	2.9512429	3.44501242	3.77861515	NON	NON
MvSl-1064-A1-R4_MC06g07474	532	1599	MvSl-1064-A2-R4_MC06-2g07739	532	1599	Auto	Auto	6	131	786	6	131	786	0	0	0	1576081	1577484	5.65566497	0.02431581	0.02431581	0.90421714	0.99994992	5.71854792	5.61503436	5.6100242	5.67616834	NON	NON
MvSl-1064-A1-R4_MC06g07475	874	2625	MvSl-1064-A2-R4_MC06-2g07740	874	2625	Auto	Auto	9	65.7778	592	9	65.7778	592	0	0	0	1578006	1581080	6.91839822	-0.0613635	0.0613635	0.74072244	0.99994992	6.95171664	6.82017385	6.92354801	6.97355471	NON	NON
MvSl-1064-A1-R4_MC06g07476	951	2856	MvSl-1064-A2-R4_MC06-2g07741	951	2856	Auto	Auto	3	73.6667	221	3	73.6667	221	0	0	0	1581133	1582623	5.63850509	0.03170845	0.03170845	0.8749962	0.99994992	5.6684828	5.6397872	5.61941376	5.62569914	NON	NON
MvSl-1064-A1-R4_MC06g07477	671	2016	MvSl-1064-A2-R4_MC06-2g07742	671	2016	Auto	Auto	4	66.75	267	4	66.75	267	0	0	0	1582947	1585053	8.06085365	-0.4008402	0.40084016	0.09259578	0.53306485	7.71193019	7.96999388	8.43180181	8.035929	NON	NON
MvSl-1064-A1-R4_MC06g07479	416	1251	MvSl-1064-A2-R4_MC06-2g07744	416	1251	Auto	Auto	2	76.5	153	2	76.5	153	0	0	0	1588281	1589171	6.68145761	-0.301704	0.30170401	0.12454685	0.62891376	6.37420736	6.65798394	6.93047982	6.70999483	NON	NON
MvSl-1064-A1-R4_MC06g07480	958	2877	MvSl-1064-A2-R4_MC06-2g07745	958	2877	Auto	Auto	3	66	198	3	66	198	0	0	0	1589579	1590278	5.81109804	-0.2029084	0.20290839	0.33403601	0.90938746	5.60545695	5.80087772	6.00095947	5.81073334	NON	NON
MvSl-1064-A1-R4_MC06g07481	392	1179	MvSl-1064-A2-R4_MC06-2g07746	392	1179	Auto	Auto	3	104.333	312	3	104	313	0	0.333	-1	1591095	1593433	6.21280218	-0.1850901	0.18509013	0.34765553	0.91816717	6.23720778	5.98708563	6.24088113	6.36148664	NON	NON
MvSl-1064-A1-R4_MC06g07482	456	1371	MvSl-1064-A2-R4_MC06-2g07747	456	1371	Auto	Auto	6	122.667	736	6	122.667	736	0	0	0	1593717	1594692	6.95376013	-0.0298276	0.02982756	0.88653024	0.99994992	6.77994048	7.08189034	7.15584221	6.75324534	NON	NON
MvSl-1064-A1-R4_MC06g07484	258	777	MvSl-1064-A2-R4_MC06-2g07749	258	777	Auto	Auto	2	98.5	197	2	98.5	197	0	0	0	1596531	1599721	8.66105141	0.02746681	0.02746681	0.91043163	0.99994992	8.59351696	8.75157945	8.66786848	8.62633311	NON	NON
MvSl-1064-A1-R4_MC06g07485	270	813	MvSl-1064-A2-R4_MC06-2g07750	270	813	Auto	Auto	1	78	78	1	78	78	0	0	0	1599951	1600655	1.06590797	-0.1215611	0.12156109	0.7727138	0.99994992	0.81142879	1.18158833	1.15499496	1.09304413	NON	NON
MvSl-1064-A1-R4_MC06g07487	200	603	MvSl-1064-A2-R4_MC06-2g07752	200	603	Auto	Auto	2	48.5	97	2	48.5	97	0	0	0	1600797	1602878	2.83827334	0.39555792	0.39555792	0.22851287	0.80199747	2.8554742	3.16338014	2.62294939	2.63184865	NON	NON
MvSl-1064-A1-R4_MC06g07488	543	1632	MvSl-1064-A2-R4_MC06-2g07753	543	1632	Auto	Auto	1	707	707	1	707	707	0	0	0	1603301	1605736	4.72064788	0.24300466	0.24300466	0.38244902	0.93791068	5.07284422	4.55287726	4.3319237	4.81613661	NON	NON
MvSl-1064-A1-R4_MC06g07489	302	909	MvSl-1064-A2-R4_MC06-2g07754	302	909	Auto	Auto	1	67	67	1	67	67	0	0	0	1606671	1612708	10.2254442	0.01127407	0.01127407	0.97367596	0.99994992	10.4602136	9.9585331	9.96316842	10.4376028	NON	NON
MvSl-1064-A1-R4_MC06g07490	881	2646	MvSl-1064-A2-R4_MC06-2g07755	881	2646	Auto	Auto	3	181.667	545	3	181.667	545	0	0	0	1613356	1614151	6.00827983	0.14190751	0.14190751	0.53584697	0.98991415	6.17628392	5.97091946	5.62719199	6.18973332	NON	NON
MvSl-1064-A1-R4_MC06g07491	210	633	MvSl-1064-A2-R4_MC06-2g07756	210	633	Auto	Auto	1	72	72	1	72	72	0	0	0	1614517	1616972	7.18425184	0.05922454	0.05922454	0.7572833	0.99994992	7.18327622	7.24313978	7.17772271	7.13054134	NON	NON
MvSl-1064-A1-R4_MC06g07492	402	1209	MvSl-1064-A2-R4_MC06-2g07757	402	1209	Auto	Auto	8	109.125	873	8	109.125	873	0	0	0	1617655	1620943	6.75955454	-0.0029977	0.00299769	0.98830694	0.99994992	6.93843579	6.55185242	6.61167521	6.89649198	NON	NON
MvSl-1064-A1-R4_MC06g07493	646	1941	MvSl-1064-A2-R4_MC06-2g07758	646	1941	Auto	Auto	3	165	495	3	165	495	0	0	0	1621156	1622824	11.095907	-0.1112818	0.11128185	0.76920872	0.99994992	11.2059108	10.8506777	10.8253535	11.4156409	NON	NON
MvSl-1064-A1-R4_MC06g07494	1823	5472	MvSl-1064-A2-R4_MC06-2g07759	1823	5472	Auto	Auto	6	94.3333	566	6	94.3333	566	0	0	0	1623396	1624001	7.10000951	-0.0532776	0.05327757	0.78954038	0.99994992	7.18233761	6.95504228	6.99080875	7.25041317	NON	NON
MvSl-1064-A1-R4_MC06g07495	227	684	MvSl-1064-A2-R4_MC06-2g07760	227	684	Auto	Auto	1	112	112	1	112	112	0	0	0	1624067	1624386	5.79286626	-0.2093932	0.20939318	0.3330202	0.90755169	5.57431228	5.7874018	6.0376082	5.73389392	NON	NON
MvSl-1064-A1-R4_MC06g07496	706	2121	MvSl-1064-A2-R4_MC06-2g07761	706	2121	Auto	Auto	4	83.75	335	4	83.75	335	0	0	0	1624686	1625150	5.90924813	0.02310977	0.02310977	0.90688002	0.99994992	5.94682351	5.894129	5.89025338	5.90500405	NON	NON
MvSl-1064-A1-R4_MC06g07497	1051	3156	MvSl-1064-A2-R4_MC06-2g07762	1051	3156	Auto	Auto	2	66.5	133	2	66.5	133	0	0	0	1625789	1627905	6.00362779	-0.2632083	0.2632083	0.21557711	0.78491001	6.00318884	5.71548164	6.27593872	5.96586256	NON	NON
MvSl-1064-A1-R4_MC06g07498	367	1104	MvSl-1064-A2-R4_MC06-2g07763	367	1104	Auto	Auto	6	94.1667	565	6	94.1667	565	0	0	0	1628492	1632106	8.84508783	-0.0926405	0.09264052	0.76635447	0.99994992	9.00213565	8.56026623	8.43313355	9.23753864	NON	NON
MvSl-1064-A1-R4_MC06g07499	136	411	MvSl-1064-A2-R4_MC06-2g07764	136	411	Auto	Auto	2	97.5	195	2	97.5	195	0	0	0	1632822	1634856	6.53831627	0.07024834	0.07024834	0.7194205	0.99994992	6.68704334	6.44900785	6.41453076	6.58596573	NON	NON
MvSl-1064-A1-R4_MC06g07500	72	219	MvSl-1064-A2-R4_MC06-2g07765	72	219	Auto	Auto	1	101	101	1	101	101	0	0	0	1635843	1642018	2.71225667	0.0485848	0.0485848	0.89713535	0.99994992	2.98168651	2.43969884	2.28819139	3.00197329	NON	NON
MvSl-1064-A1-R4_MC06g07501	154	465	MvSl-1064-A2-R4_MC06-2g07766	154	465	Auto	Auto	1	0	0	1	0	0	0	0	0	1643411	1645322	2.00917773	-0.0939589	0.09395888	0.80233048	0.99994992	2.18378619	1.70388816	1.95402748	2.150682	NON	NON
MvSl-1064-A1-R4_MC06g07502	554	1665	MvSl-1064-A2-R4_MC06-2g07767	554	1665	Auto	Auto	4	113	452	4	113	452	0	0	0	1645662	1648380	5.49047612	-0.2626841	0.26268407	0.24182759	0.8207162	5.26063629	5.44131404	5.77314793	5.43919396	NON	NON
MvSl-1064-A1-R4_MC06g07503	1040	3123	MvSl-1064-A2-R4_MC06-2g07768	1040	3123	Auto	Auto	5	98.4	492	5	98.4	492	0	0	0	1650964	1653823	7.51217477	-0.1532182	0.1532182	0.44823642	0.97133441	7.49926847	7.36484631	7.51441607	7.65568016	NON	NON
MvSl-1064-A1-R4_MC06g07504	321	966	MvSl-1064-A2-R4_MC06-2g07769	321	966	Auto	Auto	6	178.167	1069	6	178.167	1069	0	0	0	1654007	1654408	4.9997209	0.28628812	0.28628812	0.23215512	0.8064584	5.0128639	5.24735827	4.7143294	4.97324104	NON	NON
MvSl-1064-A1-R4_MC06g07505	1785	5358	MvSl-1064-A2-R4_MC06-2g07770	1785	5358	Auto	Auto	9	90.8889	818	9	90.8889	818	0	0	0	1655959	1660906	6.80388615	0.06625974	0.06625974	0.72859335	0.99994992	6.92727425	6.7397676	6.64577032	6.88513913	NON	NON
MvSl-1064-A1-R4_MC06g07506	454	1365	MvSl-1064-A2-R4_MC06-2g07771	454	1365	Auto	Auto	6	91.1667	547	6	91.1667	547	0	0	0	1661661	1662030	6.68446841	-0.0812607	0.08126068	0.70306595	0.99994992	6.4902452	6.78176698	6.93612664	6.47630873	NON	NON
MvSl-1064-A1-R4_MC06g07508	873	2622	MvSl-1064-A2-R4_MC06-2g07773	873	2622	Auto	Auto	3	79.3333	238	3	79.3333	238	0	0	0	1662838	1663020	8.28228434	-0.2790872	0.27908725	0.22341698	0.79491845	8.10417546	8.16733742	8.50010761	8.32475829	NON	NON
MvSl-1064-A1-R4_MC06g07509	133	402	MvSl-1064-A2-R4_MC06-2g07774	133	402	Auto	Auto	1	0	0	1	0	0	0	0	0	1663209	1663845	5.19614125	-0.1291274	0.12912743	0.58732377	0.9930078	5.33008249	4.89885158	5.18600735	5.32916096	NON	NON
MvSl-1064-A1-R4_MC06g07510	1471	4416	MvSl-1064-A2-R4_MC06-2g07775	1471	4416	Auto	Auto	7	76	532	7	76	532	0	0	0	1664365	1667061	7.36860306	-0.0425485	0.04254847	0.83021153	0.99994992	7.41467948	7.27640721	7.35820799	7.42057907	NON	NON
MvSl-1064-A1-R4_MC06g07511	106	321	MvSl-1064-A2-R4_MC06-2g07776	106	321	Auto	Auto	1	49	49	1	49	49	0	0	0	1667131	1668271	2.85842891	0.06683416	0.06683416	0.84346846	0.99994992	3.03257097	2.73344054	2.59783562	3.02162427	NON	NON
MvSl-1064-A1-R4_MC06g07512	114	345	MvSl-1064-A2-R4_MC06-2g07777	114	345	Auto	Auto	2	156	312	2	156	312	0	0	0	1669708	1670507	2.22193798	0.08435013	0.08435013	0.80869337	0.99994992	2.22812035	2.2948318	2.22398658	2.1327231	NON	NON
MvSl-1064-A1-R4_MC06g07513	60	183	MvSl-1064-A2-R4_MC06-2g07778	60	183	Auto	Auto	1	0	0	1	0	0	0	0	0	1670939	1672260	1.15491629	0.12860851	0.12860851	0.75870805	0.99994992	1.38165766	1.0233725	0.93200343	1.23447949	NON	NON
MvSl-1064-A1-R4_MC06g07514	160	483	MvSl-1064-A2-R4_MC06-2g07779	160	483	Auto	Auto	2	77	154	2	77	154	0	0	0	1672982	1674443	3.77303252	0.21237345	0.21237345	0.44834315	0.97133441	3.93728063	3.80746552	3.62980677	3.69541712	NON	NON
MvSl-1064-A1-R4_MC06g07515	667	2004	MvSl-1064-A2-R4_MC06-2g07780	667	2004	Auto	Auto	5	138.6	693	5	138.6	693	0	0	0	1674605	1677894	7.64301744	0.01312921	0.01312921	0.94992654	0.99994992	7.59336371	7.70365547	7.76340964	7.49714849	NON	NON
MvSl-1064-A1-R4_MC06g07516	282	849	MvSl-1064-A2-R4_MC06-2g07781	282	849	Auto	Auto	3	97.3333	292	3	97.3333	292	0	0	0	1678500	1680709	4.34665014	-0.0097541	0.00975406	0.97234972	0.99994992	4.48902776	4.17795674	4.07867638	4.58142355	NON	NON
MvSl-1064-A1-R4_MC06g07517	201	606	MvSl-1064-A2-R4_MC06-2g07782	201	606	Auto	Auto	2	97	194	2	97	194	0	0	0	1683144	1683705	5.27133241	0.55553593	0.55553593	0.01184091	0.13372252	5.52036703	5.52193775	4.96076688	4.97324104	NON	NON
MvSl-1064-A1-R4_MC06g07518	342	1029	MvSl-1064-A2-R4_MC06-2g07783	342	1029	Auto	Auto	3	97.6667	293	3	97.6667	293	0	0	0	1684166	1684845	6.21002324	-0.0921528	0.09215279	0.6504295	0.99994992	6.23720778	6.08546778	6.07789684	6.41354664	NON	NON
MvSl-1064-A1-R4_MC06g07520	954	2865	MvSl-1064-A2-R4_MC06-2g07785	954	2865	Auto	Auto	6	70.8333	425	6	70.8333	425	0	0	0	1687790	1690123	6.28751514	-0.0174078	0.01740784	0.93291317	0.99994992	6.37338514	6.1775671	6.0835616	6.48163944	NON	NON
MvSl-1064-A1-R4_MC06g07521	653	1962	MvSl-1064-A2-R4_MC06-2g07786	653	1962	Auto	Auto	3	82.6667	248	3	82.6667	248	0	0	0	1690395	1690741	5.17115612	-0.1478241	0.14782405	0.52139318	0.98553807	5.10291684	5.08860607	5.07664264	5.39279116	NON	NON
MvSl-1064-A1-R4_MC06g07522	105	318	MvSl-1064-A2-R4_MC06-2g07787	105	318	Auto	Auto	3	81.3333	244	3	81.3333	244	0	0	0	1691084	1693529	8.76770101	-0.3399462	0.33994624	0.32385517	0.90301298	8.27525275	8.84456919	9.36151231	8.30434657	NON	NON
