gida1	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	intron_nr_a2	intron_mean_a2	intron_total_a2	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE								
MvSl-1064-A1-R4_MC01-1g02007	Auto	Auto	5	76.8	384	5	76.8	384	0	0	0	382362	382675	5.125552216	0.729014747	0.729014747	0.002590107	0.038779025	5.35861402	5.521937747	4.90299064	4.499707782	Up								
MvSl-1064-A1-R4_A1g00854	Purple	OldStrata	8	97.125	777	9	99.2222	893	1	2.0972	116	1796095	1800988	7.27391874	0.751578848	0.751578848	0.000343104	0.006853261	7.590182561	7.611418397	6.648830291	7.026183504	Up								
MvSl-1064-A1-R4_MC11g10213	Auto	Auto	4	75	300	4	75	300	0	0	0	117886	118818	7.197628291	0.753413712	0.753413712	0.000187165	0.003950797	7.365909487	7.668668434	6.776022589	6.768590708	Up								
MvSl-1064-A1-R4_MC12g11020	Auto	Auto	3	59.3333	178	3	59.3333	178	0	0	0	689900	692574	6.675660318	0.753556187	0.753556187	0.000148115	0.003205669	7.039337205	6.965958867	6.395528555	6.088555329	Up								
MvSl-1064-A1-R4_MC04-1g05942	Auto	Auto	6	127.833	767	6	127.833	767	0	0	0	1554327	1556717	6.08649375	0.757018715	0.757018715	0.000186214	0.00394045	6.347661043	6.479038797	5.522649238	5.783655318	Up								
MvSl-1064-A1-R4_MC16g12190	Auto	Auto	1	0	0	1	0	0	0	0	0	47318	47719	4.945626965	0.759085015	0.759085015	0.001181825	0.020323077	5.302703834	5.24377455	4.427673268	4.601149233	Up								
MvSl-1064-A1-R4_A1g01376	Black	OldStrata	11	71.8182	790	12	99.3333	1192	1	27.5151	402	903456	904193	5.367418152	0.760387737	0.760387737	0.001064882	0.018655082	5.83181894	5.546872142	4.774403219	5.084863863	Up								
MvSl-1064-A1-R4_MC13g11692	Auto	Auto	5	106.2	531	5	106.2	531	0	0	0	939337	941503	5.31590912	0.76049825	0.76049825	0.000864962	0.015633314	5.763172285	5.516007666	4.965683246	4.802001691	Up								
MvSl-1064-A1-R4_MC09-2g09089	Auto	Auto	9	91.1111	820	9	91.1111	820	0	0	0	391574	393954	5.941290105	0.76236208	0.76236208	0.002501772	0.037854247	6.486447895	6.018884458	5.169056594	5.786529689	Up								
MvSl-1064-A1-R4_MC03g05112	Auto	Auto	4	69.75	279	4	69.75	279	0	0	0	2088953	2089315	5.699129775	0.767192914	0.767192914	0.000150816	0.003255874	6.004251491	6.057161656	5.269885322	5.260528431	Up								
MvSl-1064-A1-R4_MC05-2g06373	Auto	Auto	8	74.375	595	8	74.375	595	0	0	0	229114	231419	6.311726606	0.772612795	0.772612795	0.000638606	0.012051752	6.881165681	6.364903353	5.704222827	6.026690619	Up								
MvSl-1064-A1-R4_MC10-2g10037	Auto	Auto	1	0	0	1	0	0	0	0	0	568609	571317	6.205371874	0.775713973	0.775713973	0.000118481	0.002637832	6.634481107	6.440423316	5.633384516	5.887707484	Up								
MvSl-1064-A1-R4_MC05-3g06538	Auto	Auto	6	84	504	6	84	504	0	0	0	353635	356122	5.366711835	0.781271572	0.781271572	0.000293936	0.005954645	5.698992404	5.707698263	4.920820922	4.927098277	Up								
MvSl-1064-A1-R4_MC07g07612	Auto	Auto	2	197	394	2	197	394	0	0	0	181738	182867	7.048399729	0.782407567	0.782407567	0.001336725	0.022451203	7.057367059	7.654567497	6.826892434	6.342080079	Up								
MvSl-1064-A1-R4_MC01-1g01992	Auto	Auto	5	67.8	339	5	67.8	339	0	0	0	366735	370125	7.968613353	0.782766935	0.782766935	0.000393148	0.007744282	8.263984452	8.349268315	7.643511104	7.395381236	Up								
MvSl-1064-A1-R4_MC01-1g02763	Auto	Auto	6	114.833	689	6	114.833	689	0	0	0	2041497	2045395	8.791415703	0.787958756	0.787958756	0.001893383	0.029975055	9.016031194	9.239498888	8.334673399	8.353875796	Up								
MvSl-1064-A1-R4_MC03g04650	Auto	Auto	2	131	262	2	131	262	0	0	0	940434	940661	6.227563858	0.794465156	0.794465156	0.000503837	0.009811623	6.530631562	6.607986141	6.049234501	5.439193963	Up								
MvSl-1064-A1-R4_MC10-1g09726	Auto	Auto	10	63.9	639	10	63.9	639	0	0	0	189544	190847	6.103973968	0.803651532	0.803651532	0.000110672	0.002489831	6.602560727	6.278220684	5.733342827	5.554975455	Up								
MvSl-1064-A1-R4_MC08g08472	Auto	Auto	1	198	198	1	198	198	0	0	0	567564	568214	5.93540126	0.805701023	0.805701023	0.000214488	0.004439851	6.413932724	6.13564025	5.289624358	5.643247788	Up								
MvSl-1064-A1-R4_MC02g03229	Auto	Auto	11	88.9091	978	11	88.9091	978	0	0	0	158789	159670	4.751199091	0.806135047	0.806135047	0.001019423	0.01789538	5.233707227	4.94371942	4.312758806	4.272539874	Up								
MvSl-1064-A1-R4_MC13g11462	Auto	Auto	1	0	0	1	0	0	0	0	0	415327	415476	4.34980113	0.807174573	0.807174573	0.002622068	0.039120529	4.525012155	4.845467207	3.989765004	3.784378229	Up								
MvSl-1064-A1-R4_MC06g06943	Auto	Auto	7	98	686	7	98	686	0	0	0	220266	221920	5.987499241	0.808477899	0.808477899	0.000341303	0.006836635	6.114642797	6.525529651	5.69389036	5.338984151	Up								
MvSl-1064-A1-R4_A1g00073	bPAR	bPAR	3	107.667	323	3	107.667	323	0	0	0	160618	163050	5.103829051	0.811477637	0.811477637	0.001586955	0.025743608	5.292301387	5.59407755	4.36206763	4.876735855	Up								
MvSl-1064-A1-R4_MC01-2g03117	Auto	Auto	7	95.7143	670	7	95.7143	670	0	0	0	2894136	2896739	7.541452385	0.833389279	0.833389279	0.000738686	0.013639358	8.094977789	7.670671649	6.758423341	7.318524595	Up								
MvSl-1064-A1-R4_MC01-1g02853	Auto	Auto	6	69.6667	418	6	69.6667	418	0	0	0	2278915	2279088	5.747408158	0.836664946	0.836664946	5.17E-05	0.001247389	6.061524025	6.146236745	5.330217568	5.205749366	Up								
MvSl-1064-A1-R4_MC11g10656	Auto	Auto	7	109	763	7	109	763	0	0	0	1219688	1220586	6.375598022	0.836865651	0.836865651	2.83E-05	0.000712999	6.877110938	6.573427032	5.821407911	5.969661351	Up								
MvSl-1064-A1-R4_MC03g04423	Auto	Auto	2	210	420	2	210	420	0	0	0	403096	404129	6.690412138	0.841987833	0.841987833	5.26E-06	0.000147986	7.071123459	7.028737699	6.255006557	6.161225709	Up								
MvSl-1064-A1-R4_MC06g06929	Auto	Auto	2	73	146	2	73	146	0	0	0	187971	189682	7.78895188	0.844566611	0.844566611	0.000135758	0.002968269	8.263096931	8.027138966	7.159601478	7.438507631	Up								
MvSl-1064-A1-R4_A1g01375	Black	OldStrata	2	71	142	2	65.5	131	0	-5.5	-11	901642	902941	4.90234178	0.846875736	0.846875736	0.000520405	0.010111233	5.246336701	5.277465751	4.579713548	4.235155183	Up								
MvSl-1064-A1-R4_MC11g10239	Auto	Auto	6	91.5	549	6	91.5	549	0	0	0	181482	183273	5.162218079	0.849148153	0.849148153	0.001993251	0.031381766	5.774427453	5.2184361	4.376906652	4.924491	Up								
MvSl-1064-A1-R4_MC02g03617	Auto	Auto	2	149	298	2	149	298	0	0	0	1086136	1086456	5.296359824	0.854666215	0.854666215	0.000260415	0.005300681	5.472027568	5.825061482	4.768788472	4.843997649	Up								
MvSl-1064-A1-R4_MC10-2g10050	Auto	Auto	1	164	164	1	164	164	0	0	0	579936	581622	7.326310209	0.856270191	0.856270191	6.57E-05	0.001548164	7.62721142	7.752704867	6.62494401	7.019479899	Up								
MvSl-1064-A1-R4_MC05-2g06342	Auto	Auto	3	55.3333	166	3	55.3333	166	0	0	0	206953	208744	4.318542882	0.858692768	0.858692768	0.001008078	0.017769188	4.665976114	4.69612526	3.910393091	3.737615786	Up								
MvSl-1064-A1-R4_MC03g04777	Auto	Auto	4	54.75	219	4	54.75	219	0	0	0	1264442	1266803	4.788346638	0.860788238	0.860788238	0.000634804	0.012006499	5.346933996	4.928173904	4.301136466	4.288849324	Up								
MvSl-1064-A1-R4_MC01-1g02186	Auto	Auto	2	72	144	2	72	144	0	0	0	669160	669324	5.036096767	0.865460841	0.865460841	0.000341472	0.006836635	5.575742628	5.205598012	4.510749811	4.568121645	Up								
MvSl-1064-A1-R4_MC06g07527	Auto	Auto	2	119	238	2	119	238	0	0	0	1703196	1705563	5.924273004	0.869316531	0.869316531	0.000973422	0.017229372	6.032651257	6.513674689	5.736222758	5.027704314	Up								
MvSl-1064-A1-R4_MC14g11775	Auto	Auto	3	97.6667	293	3	97.6667	293	0	0	0	109461	110580	4.722148276	0.871340089	0.871340089	0.000743003	0.013689513	5.258856574	4.898851581	4.060408143	4.367740499	Up								
MvSl-1064-A1-R4_MC02g03493	Auto	Auto	2	56	112	2	56	112	0	0	0	787392	787596	5.502808549	0.873272705	0.873272705	4.76E-05	0.001162701	5.830621317	5.913431249	5.085703463	4.911383465	Up								
MvSl-1064-A1-R4_A1g00970	Black	OldStrata	3	71.3333	214	3	71.3333	214	0	0	0	2512310	2513349	6.837559554	0.874880085	0.874880085	6.97E-06	0.000192241	7.221699352	7.196165158	6.494949115	6.154566255	Up								
MvSl-1064-A1-R4_MC01-1g01740	Auto	Auto	1	0	0	1	0	0	0	0	0	53416	54394	3.564506832	0.895446108	0.895446108	0.00247035	0.037578335	3.998285752	3.873886934	3.122900599	2.971985664	Up								
MvSl-1064-A1-R4_MC10-2g10116	Auto	Auto	7	100.286	702	7	100.286	702	0	0	0	694326	694586	5.774090125	0.89561803	0.89561803	0.000200164	0.004183869	5.99144767	6.296497892	5.504182933	4.960570938	Up								
MvSl-1064-A1-R4_MC13g11584	Auto	Auto	8	84.5	676	8	84.5	676	0	0	0	703687	705596	4.515121938	0.897924097	0.897924097	0.00058495	0.011212416	4.891767269	4.891999411	4.196283047	3.767019451	Up								
MvSl-1064-A1-R4_MC02g03915	Auto	Auto	1	104	104	1	104	104	0	0	0	1749117	1751879	3.488030744	0.900234537	0.900234537	0.003270196	0.047545753	3.985428639	3.727610951	2.841966829	3.08836837	Up								
MvSl-1064-A1-R4_A1g00350	Black	OldStrata	2	155.5	311	1	71	71	-1	-84.5	-240	1608112	1609203	4.674464515	0.902069081	0.902069081	0.000693619	0.012975377	4.77956537	5.282714221	4.225270795	4.079797675	Up								
MvSl-1064-A1-R4_MC07g07981	Auto	Auto	3	51.6667	155	3	51.6667	155	0	0	0	1068375	1070028	6.316261764	0.903544842	0.903544842	3.07E-06	9.04E-05	6.717814917	6.676710615	5.897989752	5.683897075	Up								
MvSl-1064-A1-R4_MC02g04208	Auto	Auto	1	79	79	1	79	79	0	0	0	2472298	2473826	4.538965349	0.905097022	0.905097022	0.000421155	0.008276905	5.048326484	4.775212452	3.915483842	4.112236419	Up								
MvSl-1064-A1-R4_MC06g06910	Auto	Auto	3	85.3333	256	3	86	258	0	0.6667	2	139489	139896	5.792223207	0.90645564	0.90645564	3.98E-05	0.000992409	6.357673241	5.963312805	5.283730953	5.254312893	Up								
MvSl-1064-A1-R4_MC11g10721	Auto	Auto	3	79.3333	238	3	79.3333	238	0	0	0	1379145	1381294	3.397151928	0.913470449	0.913470449	0.003325092	0.048261816	3.950572065	3.576256754	2.852622281	2.888830688	Up								
MvSl-1064-A1-R4_MC10-2g10108	Auto	Auto	2	91.5	183	2	91.5	183	0	0	0	679604	681028	5.094440409	0.914203981	0.914203981	0.000351383	0.007002273	5.730155247	5.172051447	4.527471251	4.604410784	Up								
MvSl-1064-A1-R4_A1g01135	Black	OldStrata	3	80.6667	242	1	87	87	-2	6.3333	-155	1112670	1116562	5.749579335	0.917019786	0.917019786	1.04E-05	0.000281899	6.122493514	6.147196214	5.311029848	5.121749635	Up								
MvSl-1064-A1-R4_MC10-2g09942	Auto	Auto	4	69	276	4	80	320	0	11	44	449964	450988	6.086684037	0.918180283	0.918180283	1.16E-05	0.00031218	6.647462248	6.273834625	5.571842623	5.539723658	Up								
MvSl-1064-A1-R4_MC01-1g02509	Auto	Auto	1	83	83	1	83	83	0	0	0	1434301	1436358	6.434348811	0.92421791	0.92421791	0.002345203	0.036059607	6.394612048	7.15239583	6.283833672	5.373803915	Up								
MvSl-1064-A1-R4_MC09-2g09143	Auto	Auto	1	49	49	1	49	49	0	0	0	524685	531893	5.5123405	0.924462066	0.924462066	2.37E-05	0.000611171	6.033692439	5.752520445	5.01394684	4.940064447	Up								
MvSl-1064-A1-R4_MC04-1g06022	Auto	Auto	2	41	82	2	41	82	0	0	0	1743606	1743866	6.416684209	0.940585564	0.940585564	2.76E-05	0.000698846	7.031019335	6.550402575	5.690924583	6.031544774	Up								
MvSl-1064-A1-R4_MC03g04730	Auto	Auto	15	78.7333	1181	15	78.7333	1181	0	0	0	1151193	1152134	5.571835549	0.941309491	0.941309491	6.37E-05	0.001505372	6.150599509	5.752520445	4.832075244	5.197134104	Up								
MvSl-1064-A1-R4_MC03g04791	Auto	Auto	17	88.8235	1510	17	88.8235	1510	0	0	0	1305527	1308404	7.417628783	0.942533901	0.942533901	2.35E-06	7.11E-05	7.875040991	7.747652898	6.87798669	6.863523639	Up								
MvSl-1064-A1-R4_MC01-1g02764	Auto	Auto	12	124.333	1492	12	124.333	1492	0	0	0	2045748	2047942	8.064248284	0.947348825	0.947348825	3.80E-05	0.000952398	8.586616325	8.32382307	7.410977563	7.610571486	Up								
MvSl-1064-A1-R4_MC12g10912	Auto	Auto	1	0	0	1	0	0	0	0	0	412894	415158	3.29884009	0.948054165	0.948054165	0.00280867	0.041470322	3.854852985	3.500196473	2.610447149	2.878091043	Up								
MvSl-1064-A1-R4_MC11g10558	Auto	Auto	4	85.5	342	4	85.5	342	0	0	0	979265	980114	6.148474419	0.950311916	0.950311916	1.57E-06	4.85E-05	6.464224228	6.622547467	5.669991661	5.519133827	Up								
MvSl-1064-A1-R4_MC03g05244	Auto	Auto	6	64.1667	385	6	64.1667	385	0	0	0	2407825	2409650	3.351942831	0.951125142	0.951125142	0.002340467	0.036059607	3.887470093	3.581944763	2.683885317	2.91007307	Up								
MvSl-1064-A1-R4_MC10-1g09729	Auto	Auto	1	49	49	1	49	49	0	0	0	191437	192358	3.008256985	0.958533649	0.958533649	0.002421162	0.037027749	3.41147	3.387789116	2.451304939	2.455250276	Up								
MvSl-1064-A1-R4_MC14g11916	Auto	Auto	10	108.8	1088	10	108.8	1088	0	0	0	431351	431855	4.984477889	0.959937246	0.959937246	8.29E-05	0.001921304	5.19514158	5.549777468	4.391594598	4.46064975	Up								
MvSl-1064-A1-R4_MC05-1g06215	Auto	Auto	2	47	94	2	47	94	0	0	0	99173	100465	4.776380366	0.969286676	0.969286676	5.05E-05	0.001224217	5.187677403	5.16827544	4.285492918	4.134968366	Up								
MvSl-1064-A1-R4_MC04-1g05378	Auto	Auto	5	70	350	5	70	350	0	0	0	174063	174694	5.421422733	0.970073278	0.970073278	1.04E-05	0.000281899	5.916664615	5.725794582	4.785567579	4.924491	Up								
MvSl-1064-A1-R4_MC04-1g05677	Auto	Auto	1	0	0	1	0	0	0	0	0	899230	899526	5.494072223	0.976347781	0.976347781	0.000669363	0.012576666	6.288702181	5.364192454	5.009192492	4.835695686	Up								
MvSl-1064-A1-R4_MC12g10792	Auto	Auto	2	174	348	2	174	348	0	0	0	123465	124646	8.7823272	0.987346729	0.987346729	0.000127145	0.002808678	9.094462497	9.285105268	8.321310366	8.080233127	Up								
MvSl-1064-A1-R4_MC01-1g02744	Auto	Auto	3	61.3333	184	3	61.3333	184	0	0	0	1992894	1995725	4.188561465	0.989211157	0.989211157	0.000522361	0.010126231	4.772098398	4.393821927	3.430860999	3.772828948	Up								
MvSl-1064-A1-R4_MC02g03288	Auto	Auto	6	137.333	824	6	137.333	824	0	0	0	293276	295296	6.215671858	0.990964441	0.990964441	2.45E-07	8.75E-06	6.657628645	6.594683758	5.673000739	5.599786642	Up								
MvSl-1064-A1-R4_MC04-1g05308	Auto	Auto	1	79	79	1	79	79	0	0	0	46216	47141	4.35435216	0.991324397	0.991324397	0.000165722	0.003541903	4.689949139	4.831209763	3.895012163	3.645628494	Up								
MvSl-1064-A1-R4_MC02g03205	Auto	Auto	3	118.667	356	3	118.667	356	0	0	0	92362	93729	6.228889958	0.993299368	0.993299368	5.28E-06	0.000147986	6.854309207	6.389437651	5.733342827	5.558342957	Up								
MvSl-1064-A1-R4_A1g01049	Centro	Centro	1	45	45	3	87	261	2	42	216	1304949	1306659	5.68079335	0.997497083	0.997497083	2.45E-06	7.38E-05	6.151558982	6.03244923	4.950883604	5.231290704	Up								
MvSl-1064-A1-R4_MC07g07983	Auto	Auto	6	74.8333	449	6	74.8333	449	0	0	0	1072044	1072293	3.735667152	0.998664546	0.998664546	0.000574555	0.011062763	4.113063117	4.174196178	3.289010405	3.001973294	Up								
MvSl-1064-A1-R4_MC05-1g06125	Auto	Auto	5	90.2	451	5	90.2	451	0	0	0	14286	18278	3.624170786	0.998850301	0.998850301	0.000643518	0.012117698	4.105160774	3.955024849	3.022670386	3.060140989	Up								
MvSl-1064-A1-R4_MC01-1g02873	Auto	Auto	1	135	135	1	135	135	0	0	0	2340468	2340984	2.803284586	0.998863033	0.998863033	0.002344537	0.036059607	3.144754949	3.265877848	2.207478765	2.237268772	Up								
MvSl-1064-A1-R4_MC10-2g10100	Auto	Auto	3	65	195	3	65	195	0	0	0	664955	666359	4.176924027	0.999784759	0.999784759	0.00254669	0.038280846	4.952485134	4.096850028	3.365403496	3.790118383	Up								
MvSl-1064-A1-R4_MC11g10369	Auto	Auto	3	78	234	3	78	234	0	0	0	496257	498627	5.25569513	1.000204055	1.000204055	0.000119867	0.002661674	5.759400964	5.571382902	4.305020992	4.963113875	Up								
MvSl-1064-A1-R4_MC04-1g05592	Auto	Auto	3	112	336	3	112	336	0	0	0	682780	686191	4.792802081	1.000413436	1.000413436	4.26E-05	0.001050753	5.072844224	5.325724476	4.281555382	4.130450541	Up								
MvSl-1064-A1-R4_MC01-1g02353	Auto	Auto	2	74	148	2	74	148	0	0	0	1051049	1051717	2.58975147	1.002100063	1.002100063	0.003361098	0.048619332	3.09774007	2.879155457	1.913891853	2.096120404	Up								
MvSl-1064-A1-R4_MC13g11307	Auto	Auto	3	137.333	412	3	137.333	412	0	0	0	53736	55376	5.510465073	1.00224516	1.00224516	1.73E-05	0.000458589	6.066619618	5.766324584	4.720159705	5.103424629	Up								
MvSl-1064-A1-R4_MC06g06875	Auto	Auto	3	81.3333	244	3	81.3333	244	0	0	0	66153	71990	5.421085152	1.007242061	1.007242061	0.0021897	0.034160122	5.582873177	6.052048026	4.140852832	5.297269599	Up								
MvSl-1064-A1-R4_MC12g11005	Auto	Auto	1	134	134	1	134	134	0	0	0	647337	652899	3.347832429	1.009915293	1.009915293	0.002980866	0.043785945	3.963742167	3.518108122	2.422986917	3.031350278	Up								
MvSl-1064-A1-R4_MC09-2g09545	Auto	Auto	2	85.5	171	2	85.5	171	0	0	0	1543700	1545536	5.681652728	1.013232718	1.013232718	2.35E-06	7.11E-05	6.22540936	5.961132087	4.975465997	5.192807103	Up								
MvSl-1064-A1-R4_MC05-2g06375	Auto	Auto	2	52	104	2	52	104	0	0	0	231831	233255	3.346372981	1.014309577	1.014309577	0.001176772	0.020282717	3.923865594	3.570546231	2.765090189	2.742563392	Up								
MvSl-1064-A1-R4_MC01-1g02382	Auto	Auto	1	206	206	1	206	206	0	0	0	1117355	1118182	2.805406753	1.015600349	1.015600349	0.002070079	0.032531448	3.298197579	3.124934353	2.240307638	2.185942725	Up								
MvSl-1064-A1-R4_MC15g12147	Auto	Auto	8	88.5	708	8	88.5	708	0	0	0	342114	343845	6.13979169	1.020123424	1.020123424	1.23E-05	0.0003282	6.79291204	6.282593449	5.343498729	5.715913078	Up								
MvSl-1064-A1-R4_MC08g08762	Auto	Auto	1	43	43	1	43	43	0	0	0	1254288	1255224	6.084534618	1.023509393	1.023509393	7.37E-07	2.41E-05	6.6542478	6.340783552	5.4207162	5.544825527	Up								
MvSl-1064-A1-R4_MC08g08498	Auto	Auto	6	140.333	842	6	140.333	842	0	0	0	628158	630126	9.013272156	1.023726587	1.023726587	0.000576199	0.011069486	9.153964105	9.671804327	8.623450174	8.165233557	Up								
MvSl-1064-A1-R4_MC10-1g09809	Auto	Auto	2	59	118	2	59	118	0	0	0	284000	284197	5.817045022	1.037371183	1.037371183	6.09E-07	2.02E-05	6.306902601	6.175687535	5.143251087	5.268774378	Up								
MvSl-1064-A1-R4_A1g00718	Black	OldStrata	2	71.5	143	2	71	142	0	-0.5	-1	646353	651020	5.277681998	1.042239841	1.042239841	4.09E-05	0.001013304	5.444107525	5.924666038	4.826680933	4.482085104	Up								
MvSl-1064-A1-R4_MC03g04831	Auto	Auto	1	124	124	1	124	124	0	0	0	1401619	1402875	3.626337742	1.048826104	1.048826104	0.000470411	0.009223726	3.963742167	4.132169807	3.157687891	2.845383926	Up								
MvSl-1064-A1-R4_MC09-2g09506	Auto	Auto	1	80	80	1	80	80	0	0	0	1458343	1463719	3.48824946	1.052940038	1.052940038	0.000834809	0.015152407	4.124836061	3.664678656	2.925085012	2.811918076	Up								
MvSl-1064-A1-R4_MC05-2g06306	Auto	Auto	6	142	852	6	142	852	0	0	0	180667	185119	2.782015147	1.066954713	1.066954713	0.002074281	0.03253767	3.379067724	3.011493646	1.973684198	2.318951758	Up								
MvSl-1064-A1-R4_MC01-1g02686	Auto	Auto	2	83	166	2	83	166	0	0	0	1852201	1852996	3.75305615	1.067948881	1.067948881	0.000179706	0.003812171	4.113063117	4.251180007	3.122900599	3.125165782	Up								
MvSl-1064-A1-R4_MC01-1g02046	Auto	Auto	1	0	0	1	0	0	0	0	0	429728	431119	3.614389019	1.06833939	1.06833939	0.000527174	0.010196408	4.219378178	3.845794212	2.831232093	3.125165782	Up								
MvSl-1064-A1-R4_MC10-2g09962	Auto	Auto	1	0	0	1	0	0	0	0	0	474885	475908	3.014264445	1.078304162	1.078304162	0.000897648	0.016121834	3.591942843	3.279943544	2.408616701	2.350372556	Up								
MvSl-1064-A1-R4_MC14g11772	Auto	Auto	1	0	0	1	0	0	0	0	0	102226	104487	3.340824184	1.078405774	1.078405774	0.001175683	0.020282717	3.864247648	3.675359863	2.349660208	2.992046514	Up								
MvSl-1064-A1-R4_MC07g08078	Auto	Auto	3	121.667	365	5	122.4	612	2	0.733	247	1311203	1311672	2.686681367	1.094428264	1.094428264	0.001363265	0.02276279	3.212523658	3.019899107	2.190779875	1.876302765	Up								
MvSl-1064-A1-R4_MC02g03352	Auto	Auto	4	89.5	358	4	89.5	358	0	0	0	449144	458208	7.143913879	1.094837538	1.094837538	1.22E-08	5.00E-07	7.560871065	7.616969716	6.559785474	6.427424735	Up								
MvSl-1064-A1-R4_MC10-2g09980	Auto	Auto	1	137	137	1	137	137	0	0	0	499776	500178	3.490617601	1.101777122	1.101777122	0.000266786	0.005417471	4.015252251	3.841058445	2.765090189	2.91007307	Up								
MvSl-1064-A1-R4_A1g01347	Black	OldStrata	5	89.4	447	5	89.4	447	0	0	0	2994712	2997178	6.966932186	1.102009758	1.102009758	5.33E-09	2.29E-07	7.476094476	7.349922341	6.247961129	6.375872141	Up								
MvSl-1064-A1-R4_MC02g03373	Auto	Auto	2	167.5	335	2	167.5	335	0	0	0	524827	527169	2.527234753	1.105863354	1.105863354	0.00141538	0.023405559	2.955555039	2.968715681	1.718032715	2.020005433	Up								
MvSl-1064-A1-R4_MC11g10626	Auto	Auto	1	104	104	1	104	104	0	0	0	1136661	1136858	4.938323898	1.123876553	1.123876553	3.63E-06	0.000104555	5.523335138	5.24377455	4.187892716	4.348418447	Up								
MvSl-1064-A1-R4_A1g00923	Black	OldStrata	1	0	0	1	0	0	0	0	0	3070504	3073816	4.056643808	1.125181115	1.125181115	9.40E-05	0.002148465	4.551423418	4.460180654	3.131676377	3.607125973	Up								
MvSl-1064-A1-R4_MC10-2g10125	Auto	Auto	9	102.667	924	9	102.667	924	0	0	0	710850	711768	2.77811765	1.127381508	1.127381508	0.001569419	0.025556124	3.461845944	2.933555908	1.934099233	2.270498966	Up								
MvSl-1064-A1-R4_MC13g11325	Auto	Auto	3	146.333	439	3	146.333	439	0	0	0	103156	103770	4.270038039	1.128857814	1.128857814	1.91E-05	0.000501737	4.804179799	4.634512433	3.629806773	3.567567658	Up								
MvSl-1064-A1-R4_MC02g03872	Auto	Auto	4	85.25	341	4	85.25	341	0	0	0	1658307	1658501	3.971214855	1.133635611	1.133635611	5.95E-05	0.001412118	4.548512598	4.286443555	3.24115428	3.351660216	Up								
MvSl-1064-A1-R4_MC07g07960	Auto	Auto	8	76.375	611	8	76.375	611	0	0	0	1027350	1030206	3.156135867	1.134160386	1.134160386	0.002399699	0.036765288	3.989727087	3.077404797	2.319253151	2.631848648	Up								
MvSl-1064-A1-R4_A1g00542	Black	OldStrata	4	79.5	318	4	79.5	318	0	0	0	1378554	1381105	5.769783827	1.135990453	1.135990453	4.33E-08	1.67E-06	6.255172849	6.198082282	5.030464746	5.15326876	Up								
MvSl-1064-A1-R4_A1g01288	Black	OldStrata	1	0	0	1	0	0	0	0	0	1186986	1189109	5.740145903	1.137327982	1.137327982	1.02E-06	3.26E-05	6.014835218	6.359946026	5.247855824	4.849505868	Up								
MvSl-1064-A1-R4_MC11g10624	Auto	Auto	3	113.667	341	3	113.667	341	0	0	0	1132737	1135054	6.803099676	1.142115258	1.142115258	1.05E-09	4.99E-08	7.34969754	7.170912637	6.137929997	6.1059188	Up								
MvSl-1064-A1-R4_MC07g07592	Auto	Auto	1	83	83	1	83	83	0	0	0	123980	126397	3.364090597	1.144536887	1.144536887	0.000807054	0.014682726	3.706057135	3.919525672	3.013203578	2.253979542	Up								
MvSl-1064-A1-R4_MC10-1g09732	Auto	Auto	4	167.5	670	4	167.5	670	0	0	0	195494	196697	4.712758421	1.148159284	1.148159284	2.54E-05	0.000648047	5.422012107	4.868920905	4.140852832	3.905668658	Up								
MvSl-1064-A1-R4_MC02g04224	Auto	Auto	4	134.75	539	4	134.75	539	0	0	0	2513704	2518547	5.356975029	1.166539328	1.166539328	0.000373407	0.007423846	6.143865267	5.409679522	4.096716189	5.063693531	Up								
MvSl-1064-A1-R4_MC02g03482	Auto	Auto	2	65	130	2	65	130	0	0	0	767990	769723	4.751700726	1.174197786	1.174197786	1.05E-06	3.36E-05	5.219136851	5.2184361	4.03256459	4.065668924	Up								
MvSl-1064-A1-R4_A1g01432	Blue	OldStrata	4	84.25	337	4	84	336	0	-0.25	-1	1966448	1967834	4.827251695	1.19652809	1.19652809	1.15E-05	0.000311293	5.202567338	5.393598278	3.74866531	4.398127407	Up								
MvSl-1064-A1-R4_MC12g10896	Auto	Auto	11	83	913	11	83	913	0	0	0	377315	379044	7.547824452	1.206044552	1.206044552	1.59E-08	6.45E-07	8.110110316	7.940411117	6.670070253	6.960251082	Up								
MvSl-1064-A1-R4_MC01-1g02725	Auto	Auto	1	64	64	1	64	64	0	0	0	1946927	1950270	4.293292332	1.206746158	1.206746158	8.34E-06	0.000228581	4.891767269	4.634512433	3.452036416	3.676947153	Up								
MvSl-1064-A1-R4_MC11g10390	Auto	Auto	1	146	146	1	146	146	0	0	0	566417	566773	1.560994275	1.20786005	1.20786005	0.002486405	0.03775538	2.106727046	1.916894901	0.806091164	0.894198711	Up								
MvSl-1064-A1-R4_MC07g08235	Auto	Auto	4	96.75	387	4	96.75	387	0	0	0	1691898	1695699	6.523466387	1.213794313	1.213794313	3.66E-08	1.44E-06	6.816696967	7.17185584	5.981673354	5.575063565	Up								
