gida1	a1GC0	a1GC3	gida2	a2GC0	a2GC3	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	part8	youngold	GC0diff	GC3diff	DE
MvSl-1064-A1-R4_MC09-2g09355	59.84	66.8	MvSl-1064-A2-R4_MC09g09629	59.84	66.8	1085711	1087458	6.418712132	-0.199623327	0.199623327	0.323247882	0.90276607	6.206144173	6.417543432	6.664789507	6.347929506	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10379	55.3	68.2	MvSl-1064-A2-R4_MC11g10641	55.3	68.2	518598	521307	5.473320656	0.2149189	0.2149189	0.322774794	0.90276607	5.479688197	5.666801249	5.265904898	5.451923693	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10480	50.27	55.14	MvSl-1064-A2-R4_MC11g10742	50.27	55.14	780054	780771	1.072078264	-0.415448175	0.415448175	0.323599632	0.90276607	0.923519267	0.807311011	1.084425927	1.423608167	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g10811	61.13	72.2	MvSl-1064-A2-R4_MC12g11074	61.13	72.2	176414	178252	10.03933414	0.3076481	0.3076481	0.323499226	0.90276607	10.0303725	10.32454343	9.943911986	9.807507756	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07522	54.72	57.55	MvSl-1064-A2-R4_MC06-2g07787	54.72	57.55	1691084	1693529	8.767701011	-0.339946239	0.339946239	0.323855165	0.903012984	8.275252748	8.844569191	9.36151231	8.304346568	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01756	52.77	59.06	MvSl-1064-A2-R4_MC01g02037	52.77	59.06	78270	78644	5.293185347	-0.253173702	0.253173702	0.323974477	0.903051126	5.029660811	5.282714221	5.681990496	5.084863863	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g11036	55.87	68.42	MvSl-1064-A2-R4_MC12g11299	55.87	68.42	732581	736158	1.482587086	0.387960558	0.387960558	0.324273985	0.903296936	1.769408099	1.526479497	1.189025871	1.363278739	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g11178	56.9	57.87	MvSl-1064-A2-R4_MC12g11441	56.9	57.87	1072866	1074382	8.093018965	-0.215484179	0.215484179	0.324203028	0.903296936	7.967839367	7.99472423	8.231551678	8.161086555	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC04-1g05559	58.14	61.24	MvSl-1064-A2-R4_MC04-1g05835	58.14	61.24	606697	607524	7.61017234	-0.260132977	0.260132977	0.324505821	0.903648293	7.118508801	7.759622565	7.985706489	7.429801031	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_A1g01485	59.01	71.61	MvSl-1064-A2-R4_A2g01798	59.01	71.61	3318298	3320270	6.902147023	-0.198257752	0.198257752	0.325934283	0.904108696	6.719756954	6.875643118	7.179839729	6.789517119	bPAR	bPAR	0	0	NON
MvSl-1064-A1-R4_MC01-1g01855	57.4	67.92	MvSl-1064-A2-R4_MC01g02136	57.4	67.92	192929	193317	7.186309523	-0.190003163	0.190003163	0.325541232	0.904108696	7.087259284	7.089397516	7.347889227	7.204942455	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01865	55.7	63.56	MvSl-1064-A2-R4_MC01g02146	55.7	63.56	203961	204488	4.889531666	-0.22719799	0.22719799	0.329616789	0.904108696	4.67934361	4.85958513	5.011571624	4.985800835	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02035	55.85	62.71	MvSl-1064-A2-R4_MC01g02316	55.85	62.71	420475	422842	8.050953626	-0.236348415	0.236348415	0.32493505	0.904108696	7.868636936	7.985097561	8.386233739	7.901858673	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02090	59.17	67.46	MvSl-1064-A2-R4_MC01g02371	59.17	67.46	499637	500414	2.593947196	0.332708327	0.332708327	0.326424357	0.904108696	2.883464683	2.594032769	2.319253151	2.511925948	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02119	60.14	54.64	MvSl-1064-A2-R4_MC01g02400	60.14	54.64	536058	537463	5.648250975	0.203532838	0.203532838	0.326138302	0.904108696	5.855564966	5.627463865	5.485477193	5.598151552	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03255	54.46	62.64	MvSl-1064-A2-R4_MC02g03535	54.46	62.64	223305	225830	5.30416842	-0.21705046	0.21705046	0.329069219	0.904108696	5.274795538	5.104500667	5.362262204	5.453733092	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03319	58.72	66.53	MvSl-1064-A2-R4_MC02g03599	58.72	66.53	373566	375396	5.800699441	0.217956667	0.217956667	0.326778439	0.904108696	6.101793557	5.677466811	5.631838874	5.741320289	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03567	54.49	61.74	MvSl-1064-A2-R4_MC02g03845	54.97	61.52	943327	944277	4.35899766	0.27829001	0.27829001	0.328168561	0.904108696	4.660594241	4.296856705	3.930649193	4.449811446	Auto	Auto	-0.48	0.22	NON
MvSl-1064-A1-R4_MC02g03804	55.84	66.23	MvSl-1064-A2-R4_MC02g04082	55.84	66.23	1510217	1511579	3.692461014	0.292503826	0.292503826	0.32669586	0.904108696	4.011029296	3.621145015	3.416569388	3.651946853	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03976	57.38	62.3	MvSl-1064-A2-R4_MC02g04254	57.38	62.3	1895255	1895944	5.067337129	0.232381225	0.232381225	0.325107602	0.904108696	5.281823388	5.066461066	4.80215378	5.077841547	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03985	55.84	62.52	MvSl-1064-A2-R4_MC02g04263	55.84	62.52	1917831	1919164	5.612503816	-0.221850215	0.221850215	0.327056838	0.904108696	5.375137422	5.610867282	5.917151101	5.489452518	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g04140	58.52	65.23	MvSl-1064-A2-R4_MC02g04418	58.52	65.23	2315901	2316738	7.200377647	-0.204341584	0.204341584	0.325104099	0.904108696	7.202847128	6.977872464	7.127056827	7.452601294	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04366	57.06	66.98	MvSl-1064-A2-R4_MC03g04644	57.06	66.98	258259	261008	6.383858353	-0.198344009	0.198344009	0.329510589	0.904108696	6.166824408	6.387814948	6.637321787	6.302465806	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04545	54.46	59.51	MvSl-1064-A2-R4_MC03g04823	54.46	59.51	696325	701263	5.433360949	-0.249649633	0.249649633	0.327699758	0.904108696	5.145919507	5.445999954	5.834905071	5.201448166	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04976	59.02	80	MvSl-1064-A2-R4_MC03g05253	59.02	80	1748567	1749038	3.941161893	-0.299820888	0.299820888	0.32630513	0.904108696	4.06498644	3.438832055	3.945656786	4.209682777	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g05161	59.06	79.45	MvSl-1064-A2-R4_MC03g05438	59.06	79.45	2198705	2201422	6.431121247	-0.271332455	0.271332455	0.326185432	0.904108696	5.828223084	6.638328743	6.834303339	6.221941646	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC04-1g05296	58.58	63.43	MvSl-1064-A2-R4_MC04-1g05573	58.58	63.43	37726	38276	4.918000787	0.236562227	0.236562227	0.326905098	0.904108696	5.056545447	5.004278665	4.617690091	4.952915121	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC04-1g05723	57.29	71.53	MvSl-1064-A2-R4_MC04-1g05999	57.29	71.53	1021396	1022088	4.239448733	-0.264290245	0.264290245	0.326181041	0.904108696	3.919366053	4.265389025	4.308895087	4.420504806	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC04-1g05735	59	69.12	MvSl-1064-A2-R4_MC04-1g06011	59	69.12	1048417	1051119	6.582194492	-0.186690777	0.186690777	0.329796193	0.904108696	6.407521205	6.560521018	6.754167382	6.585965729	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC04-1g05754	58.95	73.8	MvSl-1064-A2-R4_MC04-1g06030	58.95	73.8	1105888	1106877	7.896619331	-0.273458438	0.273458438	0.329626206	0.904108696	7.99935797	7.457101286	7.614066501	8.347563971	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC04-2g06101	53.03	68.18	MvSl-1064-A2-R4_MC04-2g06372	53.03	68.18	1935217	1937471	6.234918793	0.18905185	0.18905185	0.329790719	0.904108696	6.318055535	6.334058231	6.030587176	6.236729611	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-2g06468	57.52	71.57	MvSl-1064-A2-R4_MC05g06742	57.52	71.57	299662	299901	8.193802809	-0.266783733	0.266783733	0.327826622	0.904108696	7.749487186	8.305890921	8.560864737	8.033208829	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g06883	55.86	61.9	MvSl-1064-A2-R4_MC06-1g07146	55.86	61.9	80149	80573	5.23685388	-0.251840668	0.251840668	0.329390122	0.904108696	5.401187437	4.734934879	5.426076757	5.285126212	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g06939	57.93	62.16	MvSl-1064-A2-R4_MC06-1g07202	57.93	62.16	215725	216027	2.976026308	0.319491881	0.319491881	0.327465755	0.904108696	3.234423814	3.003038925	2.610447149	2.982050958	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g06975	57.85	67.7	MvSl-1064-A2-R4_MC06-1g07238	57.85	67.7	315132	316885	6.210659975	0.189985184	0.189985184	0.326374975	0.904108696	6.384037633	6.215568166	6.053858914	6.168956418	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07319	55	62.33	MvSl-1064-A2-R4_MC06-2g07584	55	62.33	1221202	1222069	6.718235106	0.17784299	0.17784299	0.32849469	0.904108696	6.834132419	6.773712884	6.576754791	6.674746223	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07330	55.2	65.32	MvSl-1064-A2-R4_MC06-2g07595	55.2	65.32	1242269	1246878	3.927996541	-0.299341843	0.299341843	0.328468438	0.904108696	3.614386179	3.915026221	4.343301608	3.731662449	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07460	56.8	76.22	MvSl-1064-A2-R4_MC06-2g07725	56.8	76.22	1535322	1536747	7.955324148	-0.20865797	0.20865797	0.326004137	0.904108696	7.817261852	7.876760448	8.043814671	8.0678818	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC07g07711	55.32	65.32	MvSl-1064-A2-R4_MC07g07976	55.32	65.32	392871	393690	8.148890797	-0.217011668	0.217011668	0.329653344	0.904108696	8.070582855	8.001371824	8.188830002	8.315086281	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC07g07883	55.38	62.69	MvSl-1064-A2-R4_MC07g08148	55.38	62.69	818064	818600	5.90826214	0.221837829	0.221837829	0.326517889	0.904108696	6.206144173	5.793542824	5.611593374	5.954405817	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08654	60.33	63.69	MvSl-1064-A2-R4_MC08-1g08919	60.33	63.69	1016974	1018818	5.445745697	-0.225150291	0.225150291	0.327003276	0.904108696	5.145919507	5.492040546	5.683483358	5.411531759	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08689	59.6	68.69	MvSl-1064-A2-R4_MC08-1g08954	59.6	68.69	1097838	1098173	7.125546421	0.185011038	0.185011038	0.327243513	0.904108696	7.219870917	7.210005666	6.965875321	7.091560131	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08864	57.47	71.22	MvSl-1064-A2-R4_MC08-2g09145	57.47	71.22	1528089	1531890	11.36013582	-0.379811655	0.379811655	0.328847667	0.904108696	11.00105827	11.29913632	11.81336738	11.19630503	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09541	55.27	63.96	MvSl-1064-A2-R4_MC09g09815	55.27	63.96	1538586	1538918	4.800884067	0.229275772	0.229275772	0.328209694	0.904108696	4.936987177	4.882812262	4.651645004	4.71113185	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC10-2g10012	54.97	65.86	MvSl-1064-A2-R4_MC10g10276	54.97	65.86	540956	542684	8.176928265	-0.256534534	0.256534534	0.329567498	0.904108696	7.856331506	8.208365977	8.564312574	7.974867575	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC10-2g10083	58.9	71.65	MvSl-1064-A2-R4_MC10g10347	58.9	71.65	623872	625949	5.915418943	-0.203977069	0.203977069	0.328648859	0.904108696	5.705540406	5.907780874	6.147697071	5.866130729	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10409	56.67	69.74	MvSl-1064-A2-R4_MC11g10671	56.67	69.74	605976	607184	3.744528642	-0.387785021	0.387785021	0.329853202	0.904108696	3.073645313	3.892316038	4.384269317	3.247032912	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10487	53.86	61.57	MvSl-1064-A2-R4_MC11g10749	53.86	61.57	789579	792831	5.6703129	-0.197820833	0.197820833	0.328712508	0.904108696	5.488827578	5.643871692	5.785712659	5.745757833	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10664	54.08	66.18	MvSl-1064-A2-R4_MC11g10928	54.08	66.18	1243910	1245635	4.898591779	-0.255897819	0.255897819	0.327691792	0.904108696	4.548512598	4.954721691	5.221379713	4.787726912	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g10928	54.81	72.12	MvSl-1064-A2-R4_MC12g11191	54.81	72.12	454369	457003	2.010672631	0.384036156	0.384036156	0.329022917	0.904108696	2.48109779	1.804622046	1.954027479	1.642475597	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g11091	54.03	63.31	MvSl-1064-A2-R4_MC12g11354	54.03	63.31	883988	885500	6.381809316	-0.185270035	0.185270035	0.327331078	0.904108696	6.22904993	6.341622017	6.408224461	6.532178837	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g11268	53.94	65.09	MvSl-1064-A2-R4_MC12g11531	53.94	65.09	1313886	1314246	7.950556529	0.221127116	0.221127116	0.329098366	0.904108696	8.207437583	7.88857021	7.713500518	7.948481897	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC13g11479	54.61	50.45	MvSl-1064-A2-R4_MC13g11740	54.61	50.45	464174	466871	6.54617327	-0.27722417	0.27722417	0.327530964	0.904108696	6.019047064	6.703048251	7.02653713	6.217688522	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC13g11556	55.5	58.71	MvSl-1064-A2-R4_MC13g11817	55.5	58.71	633183	633836	4.49333117	0.249665102	0.249665102	0.32713647	0.904108696	4.498108353	4.716953563	4.476714029	4.2393572	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC13g11633	61.83	74.19	MvSl-1064-A2-R4_MC13g11894	61.83	74.19	807154	808692	6.017039522	-0.192803943	0.192803943	0.328423946	0.904108696	5.835405857	5.995634083	6.158472382	6.060331642	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC14g11797	55.84	69.18	MvSl-1064-A2-R4_MC14g12058	55.84	69.18	150386	152009	8.865671849	-0.25323271	0.25323271	0.329550995	0.904108696	8.662113679	8.801644476	9.123529721	8.835606675	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC14g11961	51.78	56.01	MvSl-1064-A2-R4_MC14g12222	51.78	56.01	530544	531644	3.61409176	0.29185713	0.29185713	0.32620504	0.904108696	3.919366053	3.559056924	3.49347704	3.427276915	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC15g12024	54.95	62.71	MvSl-1064-A2-R4_MC15g12273	54.95	62.71	31125	31328	8.050097287	0.265117606	0.265117606	0.327302591	0.904108696	8.391286306	7.923990232	7.556572981	8.19609695	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02062	59.43	76.64	MvSl-1064-A2-R4_MC01g02343	59.43	76.64	455267	457049	6.397908957	0.182090756	0.182090756	0.330196429	0.904216621	6.537254059	6.432574622	6.300468343	6.307477486	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10645	59.41	66.37	MvSl-1064-A2-R4_MC11g10909	59.41	66.37	1190743	1195779	4.987437451	0.233905581	0.233905581	0.330209883	0.904216621	5.204417821	4.985089023	4.723066048	4.995770534	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC13g11502	63.37	70.37	MvSl-1064-A2-R4_MC13g11763	63.37	70.37	507491	509867	3.191516608	-0.297083286	0.297083286	0.330143915	0.904216621	2.998848184	3.077404797	3.273234092	3.389963926	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC10-1g09612	62.83	80.76	MvSl-1064-A2-R4_MC10g09879	62.83	80.76	41989	43848	6.41789595	0.184877913	0.184877913	0.330354828	0.904323862	6.421111787	6.588339561	6.295595672	6.348902109	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02249	57.38	50.76	MvSl-1064-A2-R4_MC01g02531	57.38	50.76	827930	828127	5.896075566	-0.209162439	0.209162439	0.330619189	0.904757826	5.602653234	5.952376105	6.093702459	5.893051626	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04794	59.41	74.26	MvSl-1064-A2-R4_MC03g05072	59.41	74.26	1315940	1316326	7.344532473	-0.196714279	0.196714279	0.330919881	0.905290899	7.164387138	7.317473761	7.541422765	7.329898731	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04992	58.96	63.58	MvSl-1064-A2-R4_MC03g05269	58.96	63.58	1790897	1792941	8.480134735	-0.28956981	0.28956981	0.331643656	0.906532816	7.882861859	8.667976961	8.834355938	8.362569907	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04998	57.94	71.39	MvSl-1064-A2-R4_MC03g05275	57.94	71.39	1800760	1802416	8.124071912	-0.213243628	0.213243628	0.331798009	0.906532816	8.012092088	8.015101475	8.210737269	8.24262809	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09051	58.11	68.81	MvSl-1064-A2-R4_MC09g09326	58.11	68.81	296139	297409	3.815652952	0.312807744	0.312807744	0.331740512	0.906532816	3.835878111	4.076847742	3.980079058	3.221771198	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g10827	57.23	62.27	MvSl-1064-A2-R4_MC12g11090	57.23	62.27	208941	209560	4.494268157	-0.244240109	0.244240109	0.331514688	0.906532816	4.294269463	4.438398466	4.490424847	4.72318365	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08809	62.67	77.95	MvSl-1064-A2-R4_MC08-2g09090	62.67	77.95	1376378	1376593	3.029035587	-0.322011332	0.322011332	0.331909391	0.906547406	3.113582545	2.559854427	3.157687891	3.204680919	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03235	61.89	69.09	MvSl-1064-A2-R4_MC02g03515	61.89	69.09	171654	172563	8.451608942	-0.228039928	0.228039928	0.332426406	0.907371464	8.232591674	8.427170568	8.551698136	8.570518146	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04603	58.51	63.35	MvSl-1064-A2-R4_MC03g04881	58.51	63.35	840409	841081	6.109471732	-0.191335385	0.191335385	0.332576745	0.907371464	5.922297369	6.094449488	6.281863981	6.117379424	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-3g06652	55.49	61.9	MvSl-1064-A2-R4_MC05g06915	55.49	61.9	443640	445950	5.989007426	0.18894761	0.18894761	0.332847925	0.907371464	6.054359824	6.10535173	5.862844636	5.919479363	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07261	57.38	75.23	MvSl-1064-A2-R4_MC06-2g07526	57.38	75.23	1074144	1075481	6.619934534	0.194731595	0.194731595	0.332726448	0.907371464	6.584201375	6.832752236	6.649594271	6.375872141	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08325	58.94	70.07	MvSl-1064-A2-R4_MC08-1g08590	58.94	70.07	186161	186429	4.200537217	0.259654936	0.259654936	0.33260014	0.907371464	4.407838875	4.233219648	3.93566909	4.183752531	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g10750	56.32	71.54	MvSl-1064-A2-R4_MC12g11013	56.32	71.54	9836	11099	7.013185214	-0.179477455	0.179477455	0.332827367	0.907371464	6.871298608	6.968675154	7.113276851	7.086904083	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07495	54.09	64.91	MvSl-1064-A2-R4_MC06-2g07760	54.09	64.91	1624067	1624386	5.792866261	-0.209393178	0.209393178	0.333020195	0.907551689	5.574312279	5.787401796	6.037608198	5.733893915	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10509	59.38	72.98	MvSl-1064-A2-R4_MC11g10771	59.38	72.98	848219	851722	6.299384368	-0.22163903	0.22163903	0.33320684	0.90777096	6.30086127	6.058182211	6.072209746	6.677071483	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC10-1g09714	59.71	71.01	MvSl-1064-A2-R4_MC10g09981	59.71	71.01	169984	170429	7.288163009	-0.1964247	0.1964247	0.333834126	0.90919017	7.050696531	7.311066781	7.445701188	7.317531289	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03292	58.86	54.56	MvSl-1064-A2-R4_MC02g03572	58.86	54.56	306895	307640	6.149519013	0.195441027	0.195441027	0.334119315	0.909387464	6.274679427	6.211904499	5.875961381	6.202703065	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07480	54.92	61.11	MvSl-1064-A2-R4_MC06-2g07745	54.92	61.11	1589579	1590278	5.811098044	-0.202908393	0.202908393	0.334036014	0.909387464	5.605456948	5.800877717	6.000959467	5.810733343	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09080	59.1	78.53	MvSl-1064-A2-R4_MC09g09355	59.1	78.53	374196	374387	7.937309662	-0.205234135	0.205234135	0.334577553	0.910060548	7.816657092	7.845476612	8.095193091	7.974867575	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10462	53.79	60	MvSl-1064-A2-R4_MC11g10724	53.79	60	734379	736597	5.859481261	0.19398172	0.19398172	0.334579518	0.910060548	5.933497327	5.97200286	5.792646068	5.724931509	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09115	54.51	60.25	MvSl-1064-A2-R4_MC09g09390	54.51	60.25	449692	451784	6.84174595	-0.225542611	0.225542611	0.335223138	0.911521186	6.991377016	6.3975239	6.726193338	7.144051743	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC10-2g09927	56.06	59.73	MvSl-1064-A2-R4_MC10g10191	56.06	59.73	430333	430789	3.474496965	0.308488383	0.308488383	0.335331797	0.911526718	3.767428977	3.451315525	3.032075479	3.547374168	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02286	59.19	70.4	MvSl-1064-A2-R4_MC01g02568	59.19	70.4	906192	906521	5.178302258	-0.257175955	0.257175955	0.335776971	0.911938491	4.757047504	5.284459477	5.535932354	5.020397469	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02679	65.24	72.53	MvSl-1064-A2-R4_MC01g02961	65.24	72.53	1835265	1836168	7.384516073	0.189900811	0.189900811	0.335932589	0.911938491	7.488677423	7.463663146	7.235346903	7.335797656	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-1g06188	57.86	72.73	MvSl-1064-A2-R4_MC05g06460	57.86	72.73	75120	80861	6.019007017	-0.186758277	0.186758277	0.335891871	0.911938491	5.923421285	5.922426068	6.141193041	6.076862487	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10325	56.78	68.59	MvSl-1064-A2-R4_MC11g10586	56.78	68.59	375644	377693	7.096312834	0.213929038	0.213929038	0.336123311	0.911938491	7.409876001	6.952300182	6.785785193	7.160763753	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g10929	55.13	63.46	MvSl-1064-A2-R4_MC12g11192	55.13	63.46	457253	459704	2.184697128	0.338653469	0.338653469	0.33609403	0.911938491	2.256937217	2.414418429	2.012211966	2.000332249	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g11007	56.76	64.38	MvSl-1064-A2-R4_MC12g11270	56.76	64.38	656307	659732	4.769934342	-0.237022757	0.237022757	0.335609443	0.911938491	4.571636362	4.719536085	5.037486362	4.71113185	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04590	59.43	73.96	MvSl-1064-A2-R4_MC03g04868	59.43	73.96	805768	808664	7.256657477	0.189629525	0.189629525	0.336275282	0.912059374	7.40505648	7.289067729	7.077956076	7.235239623	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-1g06232	44.87	51.92	MvSl-1064-A2-R4_MC05g06504	44.87	51.92	113532	114952	3.064290638	-0.336160287	0.336160287	0.336672296	0.912059374	2.685704454	3.069328708	3.520457247	2.845383926	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC10-1g09746	58.85	63.58	MvSl-1064-A2-R4_MC10g10013	58.85	63.58	212229	212544	7.047022941	-0.202485477	0.202485477	0.336539669	0.912059374	6.782420258	7.086399331	7.325594194	6.937802063	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g11049	57.56	66.19	MvSl-1064-A2-R4_MC12g11312	57.56	66.19	767647	771254	7.204476036	-0.221623616	0.221623616	0.336668572	0.912059374	6.910935077	7.248514391	7.550450164	7.023749432	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC13g11450	56.74	64.49	MvSl-1064-A2-R4_MC13g11711	56.74	64.49	383884	386472	4.424655963	0.257507167	0.257507167	0.336701296	0.912059374	4.657895757	4.425802233	4.078676383	4.474975314	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03829	57.87	65.35	MvSl-1064-A2-R4_MC02g04107	57.87	65.35	1566548	1572533	3.923805071	0.269705392	0.269705392	0.337200895	0.912583416	4.14038535	3.955024849	3.635988111	3.916205701	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-1g06175	56.4	61.79	MvSl-1064-A2-R4_MC05g06447	56.4	61.79	63672	64505	5.19031419	0.231660837	0.231660837	0.337206258	0.912583416	5.517392805	5.046029953	5.02576461	5.112616227	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC07g07557	54.4	65.11	MvSl-1064-A2-R4_MC07g07822	54.4	65.11	40232	41408	5.781878455	0.2018829	0.2018829	0.337321745	0.912583416	5.771933882	5.978486222	5.592649647	5.757524984	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09043	56.91	69.05	MvSl-1064-A2-R4_MC09g09318	56.91	69.05	275051	277003	6.980372179	-0.184079256	0.184079256	0.337309536	0.912583416	6.85076904	6.91954354	7.198754419	6.927422143	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03856	59	66.37	MvSl-1064-A2-R4_MC02g04134	59	66.37	1628799	1630137	3.657375204	-0.294215458	0.294215458	0.337703477	0.912863522	3.318844056	3.670029144	3.994583699	3.567567658	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08531	60.94	63.72	MvSl-1064-A2-R4_MC08-1g08796	60.94	63.72	711789	712985	5.172599312	-0.217358152	0.217358152	0.337745622	0.912863522	5.040060429	5.080592614	5.151904311	5.392791161	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09316	57.53	68.52	MvSl-1064-A2-R4_MC09g09590	57.53	68.52	988329	988721	5.575423262	-0.209641892	0.209641892	0.33770464	0.912863522	5.271268733	5.639787197	5.698327624	5.654304983	Auto	Auto	0	0	NON
